time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 11:07:24.294346
",convexHull,4812.39,23.54,96.0,24.52%,0.0,0.0,0.00044536590576171875,0.0
"2025-02-17 11:07:24.294346
",spark,326.43,0.2779296875,96.0,0.29%,0.0,0.0,3.910064697265625e-06,3.1280517578125e-05
"2025-02-17 11:07:26.632554
",convexHull,36.61,34.54,96.0,35.98%,0.0,0.0,0.53515625,0.0
"2025-02-17 11:07:26.632554
",spark,367.25,0.46591796875,96.0,0.49%,0.0,0.0,1.9550323486328125e-05,3.1280517578125e-05
"2025-02-17 11:07:28.644865
",convexHull,38.54,34.54,96.0,35.98%,0.0,0.0,1.55,0.0
"2025-02-17 11:07:28.644865
",spark,238.84,0.6251953125,96.0,0.65%,0.0,0.0,1.9550323486328125e-05,3.1280517578125e-05
"2025-02-17 11:07:30.655890
",convexHull,31.10,34.55,96.0,35.99%,0.0,0.0,2.41,0.0
"2025-02-17 11:07:30.655890
",spark,459.30,0.8884765625,96.0,0.93%,0.0,0.0,1.9550323486328125e-05,3.1280517578125e-05
"2025-02-17 11:07:32.666492
",convexHull,26.20,34.55,96.0,35.99%,0.0,0.0,3.09,0.0
"2025-02-17 11:07:32.666492
",spark,869.12,1.213,96.0,1.26%,0.0,0.0,5.855560302734375e-05,3.1280517578125e-05
"2025-02-17 11:07:34.679771
",convexHull,24.46,34.55,96.0,35.99%,0.0,0.0,3.78,0.0
"2025-02-17 11:07:34.679771
",spark,947.97,2.368,96.0,2.47%,0.0,0.0,0.00010967254638671875,3.1280517578125e-05
"2025-02-17 11:07:36.690268
",convexHull,31.92,34.55,96.0,35.99%,0.0,0.0,4.56,0.0
"2025-02-17 11:07:36.690268
",spark,835.43,2.439,96.0,2.54%,0.0,0.0,0.00011730194091796875,3.1280517578125e-05
"2025-02-17 11:07:38.703557
",convexHull,34.72,34.55,96.0,35.99%,0.0,0.0,5.57,0.0
"2025-02-17 11:07:38.703557
",spark,841.22,2.466,96.0,2.57%,0.0,0.0,0.00013637542724609375,3.1280517578125e-05
"2025-02-17 11:07:40.717706
",convexHull,30.66,34.55,96.0,35.99%,0.0,0.0,6.57,0.0
"2025-02-17 11:07:40.717706
",spark,859.37,2.475,96.0,2.58%,0.0,0.0,0.00014495849609375,3.1280517578125e-05
"2025-02-17 11:07:42.729028
",convexHull,23.76,34.56,96.0,36.00%,0.0,0.0,7.26,0.0
"2025-02-17 11:07:42.729028
",spark,971.79,2.471,96.0,2.57%,0.0,0.0,0.00014495849609375,3.1280517578125e-05
"2025-02-17 11:07:44.740702
",convexHull,24.76,34.56,96.0,36.00%,0.0,0.0,7.95,0.0
"2025-02-17 11:07:44.740702
",spark,834.36,2.491,96.0,2.59%,0.0,0.0,0.000148773193359375,3.1280517578125e-05
"2025-02-17 11:07:46.753486
",convexHull,27.21,34.56,96.0,36.00%,0.0,0.0,8.68,0.0
"2025-02-17 11:07:46.753486
",spark,876.99,2.492,96.0,2.60%,0.0,0.0,0.000148773193359375,3.1280517578125e-05
"2025-02-17 11:07:48.765532
",convexHull,34.41,34.56,96.0,36.00%,0.0,0.0,9.69,0.0
"2025-02-17 11:07:48.765532
",spark,851.03,2.479,96.0,2.58%,0.0,0.0,0.000148773193359375,3.1280517578125e-05
