time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 11:24:23.521709
",nBody,1780.44,1.808,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:23.521709
",spark,340.76,0.27998046875,96.0,0.29%,0.0,0.0,1.1730194091796876e-05,3.1280517578125e-05
"2025-02-17 11:24:25.863996
",nBody,0.09,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:25.863996
",spark,408.38,0.49814453125,96.0,0.52%,0.0,0.0,2.7370452880859374e-05,3.1280517578125e-05
"2025-02-17 11:24:27.876694
",nBody,0.09,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:27.876694
",spark,254.32,0.65830078125,96.0,0.69%,0.0,0.0,2.7370452880859374e-05,3.1280517578125e-05
"2025-02-17 11:24:29.889377
",nBody,0.09,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:29.889377
",spark,474.24,0.952734375,96.0,0.99%,0.0,0.0,3.1280517578125e-05,3.1280517578125e-05
"2025-02-17 11:24:31.902881
",nBody,0.09,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:31.902881
",spark,875.71,1.318,96.0,1.37%,0.0,0.0,7.419586181640625e-05,3.1280517578125e-05
"2025-02-17 11:24:33.914393
",nBody,0.08,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:33.914393
",spark,1016.05,2.443,96.0,2.54%,0.0,0.0,0.00012874603271484375,3.1280517578125e-05
"2025-02-17 11:24:35.926161
",nBody,0.08,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:35.926161
",spark,882.31,2.476,96.0,2.58%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:24:37.938412
",nBody,0.08,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:37.938412
",spark,842.36,2.469,96.0,2.57%,0.0,0.0,0.00018405914306640625,3.1280517578125e-05
"2025-02-17 11:24:39.950372
",nBody,0.08,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:39.950372
",spark,871.42,2.478,96.0,2.58%,0.0,0.0,0.00019931793212890625,3.1280517578125e-05
"2025-02-17 11:24:41.962516
",nBody,0.08,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:41.962516
",spark,878.79,2.488,96.0,2.59%,0.0,0.0,0.00020313262939453125,3.1280517578125e-05
"2025-02-17 11:24:43.973275
",nBody,0.08,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:43.973275
",spark,868.60,2.479,96.0,2.58%,0.0,0.0,0.00021457672119140625,3.1280517578125e-05
"2025-02-17 11:24:45.985293
",nBody,0.08,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:45.985293
",spark,860.35,2.495,96.0,2.60%,0.0,0.0,0.00021839141845703125,3.1280517578125e-05
"2025-02-17 11:24:47.997955
",nBody,0.08,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:47.997955
",spark,811.70,2.485,96.0,2.59%,0.0,0.0,0.00021839141845703125,3.1280517578125e-05
"2025-02-17 11:24:50.007280
",nBody,0.08,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
"2025-02-17 11:24:50.007280
",spark,816.06,2.486,96.0,2.59%,0.0,0.0,0.00021839141845703125,3.1280517578125e-05
"2025-02-17 11:24:52.019950
",nBody,0.08,1.806,96.0,1.88%,0.0,0.0,0.54296875,0.0
