time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 11:16:43.491564
",nearestNeighbors,43.57,2.607,96.0,2.72%,0.0,0.0,0.8642578125,0.0
"2025-02-17 11:16:43.491564
",spark,317.52,0.27236328125,96.0,0.28%,0.0,0.0,7.810592651367187e-06,3.1280517578125e-05
"2025-02-17 11:16:45.824936
",nearestNeighbors,40.03,2.608,96.0,2.72%,0.0,0.0,1.95,0.0
"2025-02-17 11:16:45.824936
",spark,357.46,0.51044921875,96.0,0.53%,0.0,0.0,2.346038818359375e-05,3.1280517578125e-05
"2025-02-17 11:16:47.836255
",nearestNeighbors,30.20,2.609,96.0,2.72%,0.0,0.0,2.68,0.0
"2025-02-17 11:16:47.836255
",spark,221.94,0.68271484375,96.0,0.71%,0.0,0.0,2.346038818359375e-05,3.1280517578125e-05
"2025-02-17 11:16:49.847951
",nearestNeighbors,4774.42,9.395,96.0,9.79%,0.0,0.0,2.78,0.0
"2025-02-17 11:16:49.847951
",spark,533.40,1.005,96.0,1.05%,0.0,0.0,3.1280517578125e-05,3.1280517578125e-05
"2025-02-17 11:16:51.858971
",nearestNeighbors,4795.12,31.55,96.0,32.86%,0.0,0.0,2.78,0.0
"2025-02-17 11:16:51.858971
",spark,925.91,1.4,96.0,1.46%,0.0,0.0,8.20159912109375e-05,3.1280517578125e-05
"2025-02-17 11:16:53.872949
",nearestNeighbors,4776.48,49.1,96.0,51.15%,0.0,0.0,2.78,0.0
"2025-02-17 11:16:53.872949
",spark,940.19,2.483,96.0,2.59%,0.0,0.0,0.00013637542724609375,3.1280517578125e-05
"2025-02-17 11:16:55.885138
",nearestNeighbors,4772.27,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 11:16:55.885138
",spark,861.26,2.505,96.0,2.61%,0.0,0.0,0.0001678466796875,3.1280517578125e-05
"2025-02-17 11:16:57.896672
",nearestNeighbors,4804.29,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 11:16:57.896672
",spark,847.91,2.495,96.0,2.60%,0.0,0.0,0.00018405914306640625,3.1280517578125e-05
"2025-02-17 11:16:59.908575
",nearestNeighbors,4809.28,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 11:16:59.908575
",spark,880.60,2.502,96.0,2.61%,0.0,0.0,0.00018787384033203125,3.1280517578125e-05
"2025-02-17 11:17:01.919063
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:01.919063
",spark,884.77,2.527,96.0,2.63%,0.0,0.0,0.00019550323486328125,3.1280517578125e-05
"2025-02-17 11:17:03.933989
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:03.933989
",spark,872.59,2.521,96.0,2.63%,0.0,0.0,0.00019550323486328125,3.1280517578125e-05
"2025-02-17 11:17:05.944064
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:05.944064
",spark,836.86,2.522,96.0,2.63%,0.0,0.0,0.00020313262939453125,3.1280517578125e-05
"2025-02-17 11:17:07.956933
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:07.956933
",spark,854.36,2.531,96.0,2.64%,0.0,0.0,0.00021076202392578125,3.1280517578125e-05
"2025-02-17 11:17:09.967306
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:09.967306
",spark,822.65,2.532,96.0,2.64%,0.0,0.0,0.00021457672119140625,3.1280517578125e-05
"2025-02-17 11:17:11.979018
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:11.979018
",spark,815.95,2.533,96.0,2.64%,0.0,0.0,0.00021839141845703125,3.1280517578125e-05
"2025-02-17 11:17:13.989404
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:13.989404
",spark,815.21,2.534,96.0,2.64%,0.0,0.0,0.0002269744873046875,3.1280517578125e-05
"2025-02-17 11:17:16.001156
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:16.001156
",spark,857.25,2.537,96.0,2.64%,0.0,0.0,0.0002346038818359375,3.1280517578125e-05
"2025-02-17 11:17:18.015707
",nearestNeighbors,0.09,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:18.015707
",spark,808.74,2.529,96.0,2.63%,0.0,0.0,0.0002384185791015625,3.1280517578125e-05
"2025-02-17 11:17:20.028119
",nearestNeighbors,0.09,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:20.028119
",spark,822.27,2.529,96.0,2.63%,0.0,0.0,0.0002422332763671875,3.1280517578125e-05
"2025-02-17 11:17:22.041668
",nearestNeighbors,0.09,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:22.041668
",spark,844.12,2.531,96.0,2.64%,0.0,0.0,0.0002422332763671875,3.1280517578125e-05
"2025-02-17 11:17:24.052354
",nearestNeighbors,0.09,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:24.052354
",spark,827.83,2.534,96.0,2.64%,0.0,0.0,0.0002422332763671875,3.1280517578125e-05
"2025-02-17 11:17:26.065345
",nearestNeighbors,0.09,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:26.065345
",spark,861.70,2.534,96.0,2.64%,0.0,0.0,0.0002422332763671875,3.1280517578125e-05
"2025-02-17 11:17:28.076881
",nearestNeighbors,0.08,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:28.076881
",spark,820.65,2.535,96.0,2.64%,0.0,0.0,0.0002422332763671875,3.1280517578125e-05
"2025-02-17 11:17:30.088933
",nearestNeighbors,0.09,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:30.088933
",spark,834.41,2.535,96.0,2.64%,0.0,0.0,0.0002422332763671875,3.1280517578125e-05
"2025-02-17 11:17:32.100073
",nearestNeighbors,0.09,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:32.100073
",spark,819.28,2.536,96.0,2.64%,0.0,0.0,0.0002422332763671875,3.1280517578125e-05
"2025-02-17 11:17:34.112964
",nearestNeighbors,0.09,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:34.112964
",spark,822.23,2.538,96.0,2.64%,0.0,0.0,0.0002422332763671875,3.1280517578125e-05
"2025-02-17 11:17:36.123529
",nearestNeighbors,0.09,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:36.123529
",spark,817.62,2.538,96.0,2.64%,0.0,0.0,0.0002422332763671875,3.1280517578125e-05
"2025-02-17 11:17:38.134188
",nearestNeighbors,0.09,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:38.134188
",spark,822.51,2.538,96.0,2.64%,0.0,0.0,0.0002422332763671875,3.1280517578125e-05
"2025-02-17 11:17:40.147319
",nearestNeighbors,0.09,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:40.147319
",spark,828.34,2.539,96.0,2.64%,0.0,0.0,0.0002422332763671875,3.1280517578125e-05
"2025-02-17 11:17:42.159676
",nearestNeighbors,0.09,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:42.159676
",spark,856.57,2.541,96.0,2.65%,0.0,0.0,0.0002422332763671875,3.1280517578125e-05
"2025-02-17 11:17:44.171151
",nearestNeighbors,0.08,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
"2025-02-17 11:17:44.171151
",spark,816.02,2.543,96.0,2.65%,0.0,0.0,0.0002422332763671875,3.1280517578125e-05
"2025-02-17 11:17:46.185401
",nearestNeighbors,0.08,52.35,96.0,54.53%,0.0,0.0,2.78,0.0
