Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.45,1.41,2025-02-17 11:16:24.429,0.0,4.97,4.48,0.73,0.68,28.879999999999992,32968,31824,0.01,0.01,88,0.0,0.0,46,0.01,0.01,80
9.12,1.39,2025-02-17 11:16:24.529,0.1,4.67,4.45,0.71,0.68,14.0,32864,31616,0.0,0.0,69,0.0,0.0,41,0.0,0.0,57
9.12,1.41,2025-02-17 11:16:24.630,0.201,4.69,4.43,0.73,0.68,18.089999999999993,33280,31616,0.0,0.0,67,0.0,0.0,57,0.0,0.0,64
9.14,1.39,2025-02-17 11:16:24.730,0.301,4.64,4.5,0.71,0.68,14.210000000000017,33280,31616,0.0,0.0,76,0.0,0.0,46,0.0,0.0,62
9.12,1.39,2025-02-17 11:16:24.829,0.4,4.64,4.48,0.72,0.67,14.290000000000015,33384,31616,0.0,0.0,62,0.0,0.0,50,0.0,0.0,57
9.22,1.38,2025-02-17 11:16:24.928,0.499,4.64,4.58,0.7,0.67,30.87000000000001,33592,31928,0.0,0.0,75,0.0,0.0,67,0.01,0.0,71
9.68,1.42,2025-02-17 11:16:25.029,0.6,4.73,4.94,0.74,0.69,41.290000000000006,33072,34216,0.01,0.02,2,0.01,0.0,95,0.02,0.02,32
9.2,1.39,2025-02-17 11:16:25.129,0.7,4.66,4.54,0.71,0.67,15.310000000000006,33176,34424,0.0,0.0,50,0.0,0.0,57,0.0,0.0,54
9.1,1.38,2025-02-17 11:16:25.228,0.799,4.64,4.47,0.71,0.67,14.430000000000017,33176,34424,0.0,0.0,60,0.0,0.0,50,0.0,0.0,56
9.19,1.4,2025-02-17 11:16:25.329,0.9,4.65,4.54,0.72,0.68,14.000000000000012,33176,34424,0.0,0.0,55,0.0,0.0,49,0.0,0.0,51
