time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 10:26:57.753441
",removeDuplicates,371.41,0.029072265625,96.0,0.03%,0.0,0.0,0.90625,0.0
"2025-02-17 10:26:57.753441
",spark,346.54,0.2681640625,96.0,0.28%,0.0,0.0,1.1730194091796876e-05,3.1280517578125e-05
"2025-02-17 10:27:00.080818
",removeDuplicates,352.78,0.0401953125,96.0,0.04%,0.0,0.0,1.92,0.0
"2025-02-17 10:27:00.080818
",spark,381.20,0.45029296875,96.0,0.47%,0.0,0.0,3.1280517578125e-05,3.1280517578125e-05
"2025-02-17 10:27:02.093544
",removeDuplicates,335.83,0.052099609375,96.0,0.05%,0.0,0.0,2.87,0.0
"2025-02-17 10:27:02.093544
",spark,238.58,0.63486328125,96.0,0.66%,0.0,0.0,3.1280517578125e-05,3.1280517578125e-05
"2025-02-17 10:27:04.107925
",removeDuplicates,358.41,0.062568359375,96.0,0.07%,0.0,0.0,3.85,0.0
"2025-02-17 10:27:04.107925
",spark,377.23,0.94072265625,96.0,0.98%,0.0,0.0,3.1280517578125e-05,3.1280517578125e-05
"2025-02-17 10:27:06.119447
",removeDuplicates,354.96,0.074775390625,96.0,0.08%,0.0,0.0,4.82,0.0
"2025-02-17 10:27:06.119447
",spark,640.74,1.048,96.0,1.09%,0.0,0.0,5.464553833007812e-05,3.1280517578125e-05
"2025-02-17 10:27:08.133858
",removeDuplicates,335.04,0.08576171875,96.0,0.09%,0.0,0.0,5.8,0.0
"2025-02-17 10:27:08.133858
",spark,902.46,2.331,96.0,2.43%,0.0,0.0,8.983612060546875e-05,3.1280517578125e-05
"2025-02-17 10:27:10.148312
",removeDuplicates,331.46,0.096416015625,96.0,0.10%,0.0,0.0,6.79,0.0
"2025-02-17 10:27:10.148312
",spark,827.44,2.472,96.0,2.57%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 10:27:12.162557
",removeDuplicates,322.64,0.1064453125,96.0,0.11%,0.0,0.0,7.75,0.0
