Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.34,1.4,2025-02-17 10:26:38.711,0.0,4.82,4.52,0.72,0.68,12.619999999999997,35048,34944,0.0,0.0,63,0.0,0.0,59,0.0,0.0,61
9.23,1.4,2025-02-17 10:26:38.811,0.1,4.76,4.47,0.71,0.68,17.67,35152,34840,0.0,0.0,66,0.0,0.0,42,0.0,0.0,56
9.16,1.38,2025-02-17 10:26:38.911,0.2,4.69,4.47,0.7,0.68,19.009999999999998,35256,34736,0.0,0.0,60,0.0,0.0,51,0.0,0.0,56
9.29,1.4,2025-02-17 10:26:39.011,0.3,4.84,4.45,0.72,0.68,16.109999999999996,34736,34736,0.0,0.0,64,0.0,0.0,47,0.0,0.0,55
9.2,1.39,2025-02-17 10:26:39.112,0.401,4.74,4.46,0.71,0.68,23.009999999999973,35152,34528,0.0,0.0,31,0.0,0.0,76,0.01,0.0,48
9.6,1.4,2025-02-17 10:26:39.212,0.501,4.81,4.79,0.72,0.68,46.41999999999997,34008,34008,0.01,0.01,4,0.01,0.01,91,0.02,0.02,37
9.28,1.4,2025-02-17 10:26:39.312,0.601,4.82,4.46,0.72,0.68,21.02999999999997,34216,35256,0.0,0.0,16,0.0,0.0,78,0.01,0.0,41
9.24,1.39,2025-02-17 10:26:39.413,0.702,4.78,4.46,0.71,0.68,17.04,34112,34840,0.0,0.0,49,0.0,0.0,54,0.0,0.0,51
9.24,1.4,2025-02-17 10:26:39.513,0.802,4.78,4.46,0.71,0.68,17.839999999999993,34112,34840,0.0,0.0,51,0.0,0.0,54,0.0,0.0,52
9.2,1.39,2025-02-17 10:26:39.613,0.902,4.78,4.41,0.71,0.68,17.909999999999997,34216,34736,0.0,0.0,55,0.0,0.0,57,0.0,0.0,56
9.25,1.39,2025-02-17 10:26:39.713,1.002,4.8,4.45,0.71,0.68,16.36,34112,34632,0.0,0.0,61,0.0,0.0,47,0.0,0.0,54
9.19,1.38,2025-02-17 10:26:39.813,1.102,4.74,4.46,0.71,0.67,23.929999999999996,34112,33800,0.0,0.0,32,0.0,0.0,72,0.01,0.0,53
9.32,1.39,2025-02-17 10:26:39.912,1.201,4.74,4.58,0.71,0.68,45.53999999999998,33904,35568,0.01,0.01,4,0.01,0.0,92,0.02,0.01,39
9.12,1.38,2025-02-17 10:26:40.011,1.3,4.73,4.39,0.7,0.67,16.410000000000004,34112,35360,0.0,0.0,53,0.0,0.0,50,0.0,0.0,51
9.25,1.39,2025-02-17 10:26:40.112,1.401,4.78,4.47,0.71,0.68,20.92999999999998,34112,35360,0.0,0.0,57,0.0,0.0,57,0.0,0.0,57
9.39,1.4,2025-02-17 10:26:40.212,1.501,4.8,4.6,0.72,0.68,26.949999999999996,34216,34944,0.0,0.0,44,0.0,0.0,64,0.01,0.0,56
9.21,1.4,2025-02-17 10:26:40.312,1.601,4.77,4.44,0.72,0.68,20.16999999999999,34320,34840,0.0,0.0,54,0.0,0.0,55,0.0,0.0,54
9.25,1.39,2025-02-17 10:26:40.413,1.702,4.73,4.51,0.71,0.68,21.089999999999996,33800,34320,0.0,0.0,46,0.0,0.0,65,0.01,0.0,56
9.35,1.4,2025-02-17 10:26:40.513,1.802,4.83,4.52,0.72,0.67,41.21999999999998,33800,34528,0.0,0.0,14,0.01,0.0,84,0.01,0.01,46
9.16,1.38,2025-02-17 10:26:40.613,1.902,4.73,4.44,0.71,0.68,18.22999999999999,33696,34320,0.0,0.0,81,0.0,0.0,33,0.0,0.0,57
9.32,1.41,2025-02-17 10:26:40.713,2.002,4.84,4.48,0.72,0.69,17.950000000000003,33904,34320,0.0,0.0,73,0.0,0.0,31,0.01,0.0,55
9.14,1.38,2025-02-17 10:26:40.814,2.103,4.73,4.41,0.71,0.67,17.59,33696,34320,0.0,0.0,55,0.0,0.0,55,0.0,0.0,55
9.24,1.39,2025-02-17 10:26:40.914,2.203,4.79,4.45,0.71,0.68,17.370000000000008,33904,34320,0.0,0.0,46,0.0,0.0,65,0.0,0.0,55
9.25,1.39,2025-02-17 10:26:41.014,2.303,4.78,4.47,0.72,0.68,21.129999999999985,34008,33904,0.0,0.0,44,0.0,0.0,64,0.01,0.0,56
9.54,1.4,2025-02-17 10:26:41.115,2.404,4.81,4.73,0.72,0.68,43.579999999999984,34008,34424,0.0,0.0,29,0.01,0.0,81,0.01,0.0,55
