time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 10:19:59.663223
",spark,281.09,0.22265625,96.0,0.23%,0.0,0.0,0.03408203125,3.1280517578125e-05
"2025-02-17 10:19:59.663223
",spark,281.01,0.22880859375,96.0,0.24%,0.0,0.0,0.04208984375,3.1280517578125e-05
"2025-02-17 10:20:02.037172
",spark,321.89,0.39521484375,96.0,0.41%,0.0,0.0,0.04560546875,3.1280517578125e-05
"2025-02-17 10:20:02.037172
",spark,319.50,0.40107421875,96.0,0.42%,0.0,0.0,0.05791015625,3.1280517578125e-05
"2025-02-17 10:20:04.047751
",spark,574.77,0.6283203125,96.0,0.65%,0.0,0.0,0.05595703125,3.1280517578125e-05
"2025-02-17 10:20:04.047751
",spark,569.27,0.65576171875,96.0,0.68%,0.0,0.0,0.0662109375,3.1280517578125e-05
"2025-02-17 10:20:06.062637
",spark,298.90,0.817578125,96.0,0.85%,0.0,0.0,0.05625,3.1280517578125e-05
"2025-02-17 10:20:06.062637
",spark,280.37,0.8404296875,96.0,0.88%,0.0,0.0,0.0767578125,3.1280517578125e-05
"2025-02-17 10:20:08.073393
",spark,576.43,1.042,96.0,1.09%,0.0,0.0,0.06005859375,3.1280517578125e-05
"2025-02-17 10:20:08.073393
",spark,562.87,1.078,96.0,1.12%,0.0,0.0,0.0783203125,3.1280517578125e-05
"2025-02-17 10:20:10.086252
",spark,742.11,1.918,96.0,2.00%,0.0,0.0,0.23828125,3.1280517578125e-05
"2025-02-17 10:20:10.086252
",spark,770.32,1.983,96.0,2.07%,0.0,0.0,0.2783203125,3.1280517578125e-05
"2025-02-17 10:20:12.100802
",spark,825.40,2.924,96.0,3.05%,0.0,0.0,0.64453125,3.1280517578125e-05
"2025-02-17 10:20:12.100802
",spark,857.09,2.994,96.0,3.12%,0.0,0.0,0.6435546875,3.1280517578125e-05
"2025-02-17 10:20:14.113867
",spark,643.94,3.441,96.0,3.58%,0.0,0.0,1.21,3.1280517578125e-05
"2025-02-17 10:20:14.113867
",spark,649.31,3.243,96.0,3.38%,0.0,0.0,0.9208984375,3.1280517578125e-05
"2025-02-17 10:20:16.125645
",spark,874.86,3.564,96.0,3.71%,0.0,0.0,1.37,3.1280517578125e-05
"2025-02-17 10:20:16.125645
",spark,626.48,3.781,96.0,3.94%,0.0,0.0,1.63,3.1280517578125e-05
"2025-02-17 10:20:18.138820
",spark,632.66,3.921,96.0,4.08%,0.0,0.0,1.84,3.1280517578125e-05
"2025-02-17 10:20:18.138820
",spark,718.55,4.103,96.0,4.27%,0.0,0.0,2.01,3.1280517578125e-05
"2025-02-17 10:20:20.153563
",spark,681.60,4.289,96.0,4.47%,0.0,0.0,2.28,3.1280517578125e-05
"2025-02-17 10:20:20.153563
",spark,674.10,4.426,96.0,4.61%,0.0,0.0,2.41,3.1280517578125e-05
"2025-02-17 10:20:22.164750
",spark,710.28,4.521,96.0,4.71%,0.0,0.0,2.57,3.1280517578125e-05
"2025-02-17 10:20:22.164750
",spark,647.45,4.856,96.0,5.06%,0.0,0.0,2.96,3.1280517578125e-05
"2025-02-17 10:20:24.176377
",spark,641.95,4.812,96.0,5.01%,0.0,0.0,2.92,3.1280517578125e-05
"2025-02-17 10:20:24.176377
",spark,663.23,5.277,96.0,5.50%,0.0,0.0,3.46,3.1280517578125e-05
"2025-02-17 10:20:26.187736
",spark,622.64,5.176,96.0,5.39%,0.0,0.0,3.37,3.1280517578125e-05
"2025-02-17 10:20:26.187736
",spark,614.51,5.572,96.0,5.80%,0.0,0.0,3.83,3.1280517578125e-05
"2025-02-17 10:20:28.198691
",spark,686.38,5.515,96.0,5.75%,0.0,0.0,3.8,3.1280517578125e-05
"2025-02-17 10:20:28.198691
",spark,669.91,5.906,96.0,6.15%,0.0,0.0,4.24,3.1280517578125e-05
"2025-02-17 10:20:30.212395
",spark,637.25,5.824,96.0,6.07%,0.0,0.0,4.2,3.1280517578125e-05
"2025-02-17 10:20:30.212395
",spark,629.25,6.211,96.0,6.47%,0.0,0.0,4.64,3.1280517578125e-05
"2025-02-17 10:20:32.222950
",spark,623.84,6.146,96.0,6.40%,0.0,0.0,4.62,3.1280517578125e-05
"2025-02-17 10:20:32.222950
",spark,629.99,6.519,96.0,6.79%,0.0,0.0,5.04,3.1280517578125e-05
"2025-02-17 10:20:34.236435
",spark,588.40,6.472,96.0,6.74%,0.0,0.0,5.03,3.1280517578125e-05
"2025-02-17 10:20:34.236435
",spark,610.67,6.848,96.0,7.13%,0.0,0.0,5.46,3.1280517578125e-05
"2025-02-17 10:20:36.252576
",spark,623.03,6.816,96.0,7.10%,0.0,0.0,5.46,3.1280517578125e-05
"2025-02-17 10:20:36.252576
",spark,631.76,7.149,96.0,7.45%,0.0,0.0,5.84,3.1280517578125e-05
"2025-02-17 10:20:38.262748
",spark,634.39,7.157,96.0,7.46%,0.0,0.0,5.9,3.1280517578125e-05
"2025-02-17 10:20:38.262748
",spark,643.16,7.453,96.0,7.76%,0.0,0.0,6.23,3.1280517578125e-05
"2025-02-17 10:20:40.276149
",spark,621.41,7.446,96.0,7.76%,0.0,0.0,6.27,3.1280517578125e-05
"2025-02-17 10:20:40.276149
",spark,618.20,7.791,96.0,8.12%,0.0,0.0,6.67,3.1280517578125e-05
"2025-02-17 10:20:42.288035
",spark,624.51,7.748,96.0,8.07%,0.0,0.0,6.66,3.1280517578125e-05
"2025-02-17 10:20:42.288035
",spark,615.48,8.119,96.0,8.46%,0.0,0.0,7.09,3.1280517578125e-05
"2025-02-17 10:20:44.299603
",spark,618.92,8.122,96.0,8.46%,0.0,0.0,7.14,3.1280517578125e-05
"2025-02-17 10:20:44.299603
",spark,615.73,8.387,96.0,8.74%,0.0,0.0,7.43,3.1280517578125e-05
"2025-02-17 10:20:46.312650
",spark,649.39,8.463,96.0,8.82%,0.0,0.0,7.57,3.1280517578125e-05
"2025-02-17 10:20:46.312650
",spark,629.02,8.698,96.0,9.06%,0.0,0.0,7.83,3.1280517578125e-05
"2025-02-17 10:20:48.324300
",spark,616.72,8.785,96.0,9.15%,0.0,0.0,7.99,3.1280517578125e-05
"2025-02-17 10:20:48.324300
",spark,631.43,9.003,96.0,9.38%,0.0,0.0,8.22,3.1280517578125e-05
"2025-02-17 10:20:50.337201
",spark,594.35,9.077,96.0,9.46%,0.0,0.0,8.36,3.1280517578125e-05
"2025-02-17 10:20:50.337201
",spark,598.96,9.333,96.0,9.72%,0.0,0.0,8.65,3.1280517578125e-05
"2025-02-17 10:20:52.350280
",spark,614.99,9.385,96.0,9.78%,0.0,0.0,8.76,3.1280517578125e-05
"2025-02-17 10:20:52.350280
",spark,610.65,9.656,96.0,10.06%,0.0,0.0,9.07,3.1280517578125e-05
"2025-02-17 10:20:54.365986
",spark,613.71,9.679,96.0,10.08%,0.0,0.0,9.13,3.1280517578125e-05
