Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.31,1.4,2025-02-17 10:19:40.621,0.0,4.7,4.61,0.72,0.68,11.71,35464,34632,0.0,0.0,63,0.0,0.0,53,0.0,0.0,60
9.2,1.39,2025-02-17 10:19:40.720,0.099,4.62,4.58,0.71,0.68,19.98,35152,34632,0.0,0.0,78,0.0,0.0,38,0.0,0.0,61
9.13,1.38,2025-02-17 10:19:40.819,0.198,4.58,4.54,0.71,0.67,16.060000000000002,35048,34528,0.0,0.0,62,0.0,0.0,52,0.0,0.0,58
9.31,1.39,2025-02-17 10:19:40.920,0.299,4.76,4.55,0.71,0.67,17.32,35256,34528,0.0,0.0,67,0.0,0.0,42,0.0,0.0,56
9.29,1.4,2025-02-17 10:19:41.020,0.399,4.67,4.62,0.72,0.68,16.039999999999996,35256,34528,0.0,0.0,58,0.0,0.0,50,0.0,0.0,54
9.66,1.4,2025-02-17 10:19:41.120,0.499,4.76,4.9,0.72,0.69,34.66000000000002,35256,34528,0.0,0.0,35,0.01,0.0,72,0.01,0.01,55
9.59,1.41,2025-02-17 10:19:41.221,0.6,4.71,4.87,0.72,0.69,43.330000000000005,34840,35776,0.01,0.01,3,0.01,0.0,93,0.02,0.01,31
9.34,1.4,2025-02-17 10:19:41.321,0.7,4.74,4.6,0.72,0.68,16.789999999999996,35152,35672,0.0,0.0,51,0.0,0.0,52,0.0,0.0,52
9.29,1.39,2025-02-17 10:19:41.421,0.8,4.69,4.6,0.71,0.68,16.28,35256,35672,0.0,0.0,63,0.0,0.0,49,0.0,0.0,56
9.31,1.39,2025-02-17 10:19:41.522,0.901,4.72,4.59,0.71,0.68,14.400000000000013,35672,35672,0.0,0.0,67,0.0,0.0,48,0.0,0.0,57
9.26,1.4,2025-02-17 10:19:41.622,1.001,4.67,4.59,0.72,0.68,15.409999999999998,35464,35568,0.0,0.0,65,0.0,0.0,63,0.0,0.0,64
9.27,1.4,2025-02-17 10:19:41.722,1.101,4.67,4.6,0.72,0.68,19.950000000000003,35568,35464,0.0,0.0,28,0.0,0.0,74,0.0,0.0,55
9.28,1.39,2025-02-17 10:19:41.822,1.201,4.62,4.66,0.71,0.68,38.13999999999998,35464,35360,0.0,0.0,8,0.01,0.0,90,0.01,0.01,48
9.15,1.38,2025-02-17 10:19:41.921,1.3,4.61,4.54,0.71,0.67,16.72000000000001,35568,34944,0.0,0.0,61,0.0,0.0,59,0.0,0.0,59
9.17,1.38,2025-02-17 10:19:42.020,1.399,4.62,4.54,0.71,0.67,14.210000000000015,35568,35048,0.0,0.0,52,0.0,0.0,47,0.0,0.0,49
9.29,1.38,2025-02-17 10:19:42.120,1.499,4.6,4.69,0.71,0.67,28.950000000000006,35568,34840,0.0,0.0,48,0.0,0.0,64,0.01,0.0,58
9.24,1.4,2025-02-17 10:19:42.220,1.599,4.64,4.6,0.72,0.68,17.06000000000001,35672,34840,0.0,0.0,59,0.0,0.0,55,0.0,0.0,57
9.25,1.4,2025-02-17 10:19:42.320,1.699,4.64,4.6,0.72,0.68,18.230000000000008,35776,34736,0.0,0.0,36,0.0,0.0,83,0.0,0.0,63
9.44,1.4,2025-02-17 10:19:42.421,1.8,4.66,4.77,0.72,0.68,38.48999999999995,35256,35256,0.0,0.0,12,0.01,0.0,93,0.01,0.01,54
9.2,1.39,2025-02-17 10:19:42.521,1.9,4.66,4.54,0.72,0.67,14.44000000000001,35360,35152,0.0,0.0,51,0.0,0.0,52,0.0,0.0,51
9.28,1.41,2025-02-17 10:19:42.621,2.0,4.64,4.64,0.72,0.69,18.889999999999986,35464,35256,0.0,0.0,88,0.0,0.0,26,0.0,0.0,58
9.21,1.39,2025-02-17 10:19:42.722,2.101,4.66,4.55,0.72,0.67,18.539999999999974,35152,35256,0.0,0.0,85,0.0,0.0,19,0.01,0.0,57
9.24,1.4,2025-02-17 10:19:42.822,2.201,4.64,4.6,0.72,0.68,15.750000000000009,35152,35256,0.0,0.0,53,0.0,0.0,48,0.0,0.0,51
9.27,1.41,2025-02-17 10:19:42.922,2.301,4.6,4.66,0.72,0.69,26.409999999999986,35256,35256,0.0,0.0,42,0.0,0.0,76,0.0,0.0,62
9.28,1.39,2025-02-17 10:19:43.021,2.4,4.66,4.63,0.71,0.68,38.29999999999996,34840,35048,0.0,0.0,43,0.01,0.0,80,0.01,0.0,63
9.11,1.38,2025-02-17 10:19:43.121,2.5,4.6,4.52,0.71,0.67,26.400000000000013,35048,34632,0.0,0.0,51,0.0,0.0,64,0.0,0.0,60
9.12,1.38,2025-02-17 10:19:43.220,2.599,4.56,4.56,0.7,0.67,13.250000000000027,35048,34528,0.0,0.0,50,0.0,0.0,58,0.0,0.0,53
9.27,1.41,2025-02-17 10:19:43.320,2.699,4.67,4.59,0.73,0.68,14.470000000000013,34736,34320,0.0,0.0,56,0.0,0.0,53,0.0,0.0,55
