time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 11:00:04.923691
",suffixArray,4811.14,14.87,96.0,15.49%,0.0,0.0,0.00063323974609375,0.0
"2025-02-17 11:00:04.923691
",spark,356.69,0.25927734375,96.0,0.27%,0.0,0.0,7.810592651367187e-06,3.1280517578125e-05
"2025-02-17 11:00:07.255227
",suffixArray,4796.31,23.94,96.0,24.93%,0.0,0.0,0.00063323974609375,0.0
"2025-02-17 11:00:07.255227
",spark,417.52,0.462890625,96.0,0.48%,0.0,0.0,1.9550323486328125e-05,3.1280517578125e-05
"2025-02-17 11:00:09.268485
",suffixArray,114.42,20.32,96.0,21.17%,0.0,0.0,0.00063323974609375,0.0
"2025-02-17 11:00:09.268485
",spark,257.99,0.62490234375,96.0,0.65%,0.0,0.0,1.9550323486328125e-05,3.1280517578125e-05
"2025-02-17 11:00:11.280233
",suffixArray,2255.84,23.8,96.0,24.79%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:11.280233
",spark,371.98,0.9205078125,96.0,0.96%,0.0,0.0,1.9550323486328125e-05,3.1280517578125e-05
"2025-02-17 11:00:13.298435
",suffixArray,1297.58,15.08,96.0,15.70%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:13.298435
",spark,629.09,1.048,96.0,1.09%,0.0,0.0,4.69207763671875e-05,3.1280517578125e-05
"2025-02-17 11:00:15.310888
",suffixArray,4735.62,33.18,96.0,34.57%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:15.310888
",spark,886.01,2.475,96.0,2.58%,0.0,0.0,6.6375732421875e-05,3.1280517578125e-05
"2025-02-17 11:00:17.321901
",suffixArray,4789.69,39.74,96.0,41.39%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:17.321901
",spark,842.24,2.524,96.0,2.63%,0.0,0.0,9.72747802734375e-05,3.1280517578125e-05
"2025-02-17 11:00:19.332083
",suffixArray,2071.03,31.97,96.0,33.30%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:19.332083
",spark,850.78,2.496,96.0,2.60%,0.0,0.0,0.00012493133544921875,3.1280517578125e-05
"2025-02-17 11:00:21.345546
",suffixArray,4814.59,25.25,96.0,26.30%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:21.345546
",spark,866.54,2.497,96.0,2.60%,0.0,0.0,0.00013256072998046875,3.1280517578125e-05
"2025-02-17 11:00:23.354548
",suffixArray,4797.36,41.05,96.0,42.76%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:23.354548
",spark,911.08,2.502,96.0,2.61%,0.0,0.0,0.00013256072998046875,3.1280517578125e-05
"2025-02-17 11:00:25.373369
",suffixArray,1723.46,34.99,96.0,36.44%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:25.373369
",spark,879.80,2.512,96.0,2.62%,0.0,0.0,0.00014495849609375,3.1280517578125e-05
"2025-02-17 11:00:27.383666
",suffixArray,4794.75,32.14,96.0,33.48%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:27.383666
",spark,874.33,2.514,96.0,2.62%,0.0,0.0,0.00014495849609375,3.1280517578125e-05
"2025-02-17 11:00:29.396272
",suffixArray,4797.55,32.14,96.0,33.48%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:29.396272
",spark,844.38,2.52,96.0,2.62%,0.0,0.0,0.00014495849609375,3.1280517578125e-05
"2025-02-17 11:00:31.408954
",suffixArray,4769.96,36.74,96.0,38.27%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:31.408954
",spark,893.31,2.522,96.0,2.63%,0.0,0.0,0.000148773193359375,3.1280517578125e-05
"2025-02-17 11:00:33.421197
",suffixArray,4793.40,39.61,96.0,41.26%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:33.421197
",spark,921.66,2.524,96.0,2.63%,0.0,0.0,0.000148773193359375,3.1280517578125e-05
"2025-02-17 11:00:35.431826
",suffixArray,408.10,32.15,96.0,33.49%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:35.431826
",spark,832.03,2.516,96.0,2.62%,0.0,0.0,0.000156402587890625,3.1280517578125e-05
"2025-02-17 11:00:37.443769
",suffixArray,4818.06,38.81,96.0,40.43%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:37.443769
",spark,852.80,2.517,96.0,2.62%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:00:39.456652
",suffixArray,1600.16,39.05,96.0,40.68%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:39.456652
",spark,834.81,2.52,96.0,2.62%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:00:41.475083
",suffixArray,4792.87,41.83,96.0,43.57%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:41.475083
",spark,856.58,2.521,96.0,2.63%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:00:43.486738
",suffixArray,4803.81,44.59,96.0,46.45%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:43.486738
",spark,854.41,2.521,96.0,2.63%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:00:45.498135
",suffixArray,99.51,31.76,96.0,33.08%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:45.498135
",spark,842.67,2.526,96.0,2.63%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:00:47.510118
",suffixArray,0.00,27.73,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:47.510118
",spark,863.83,2.527,96.0,2.63%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:00:49.522398
",suffixArray,0.00,27.73,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:49.522398
",spark,830.03,2.528,96.0,2.63%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:00:51.532814
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:51.532814
",spark,820.67,2.529,96.0,2.63%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:00:53.547232
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:53.547232
",spark,824.53,2.529,96.0,2.63%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:00:55.558007
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:55.558007
",spark,817.82,2.53,96.0,2.64%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:00:57.571335
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:57.571335
",spark,822.37,2.531,96.0,2.64%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:00:59.582838
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:00:59.582838
",spark,856.22,2.532,96.0,2.64%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:01:01.593272
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:01.593272
",spark,831.60,2.533,96.0,2.64%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:01:03.612638
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:03.612638
",spark,823.23,2.536,96.0,2.64%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:01:05.624672
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:05.624672
",spark,821.56,2.539,96.0,2.64%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:01:07.636917
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:07.636917
",spark,832.68,2.539,96.0,2.64%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:01:09.650372
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:09.650372
",spark,826.08,2.54,96.0,2.65%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:01:11.662991
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:11.662991
",spark,831.79,2.541,96.0,2.65%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:01:13.675730
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:13.675730
",spark,843.19,2.544,96.0,2.65%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:01:15.688234
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:15.688234
",spark,828.09,2.546,96.0,2.65%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:01:17.701257
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:17.701257
",spark,829.36,2.547,96.0,2.65%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:01:19.712603
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:19.712603
",spark,816.87,2.547,96.0,2.65%,0.0,0.0,0.00016021728515625,3.1280517578125e-05
"2025-02-17 11:01:21.725502
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:21.725502
",spark,822.14,2.548,96.0,2.65%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:23.737225
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:23.737225
",spark,824.85,2.549,96.0,2.65%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:25.750698
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:25.750698
",spark,188.08,2.553,96.0,2.66%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:27.762838
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:27.762838
",spark,0.07,2.552,96.0,2.66%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:29.771366
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:29.771366
",spark,0.06,2.552,96.0,2.66%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:31.782685
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:31.782685
",spark,0.06,2.551,96.0,2.66%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:33.790565
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:33.790565
",spark,0.09,2.551,96.0,2.66%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:35.799798
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:35.799798
",spark,0.06,2.551,96.0,2.66%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:37.811598
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:37.811598
",spark,0.06,2.551,96.0,2.66%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:39.821676
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:39.821676
",spark,0.06,2.551,96.0,2.66%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:41.831337
",suffixArray,0.00,27.72,96.0,28.88%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:41.831337
",spark,0.06,2.551,96.0,2.66%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:43.839962
",suffixArray,2598.39,26.43,96.0,27.54%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:43.839962
",spark,834.15,2.553,96.0,2.66%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:45.852074
",suffixArray,4780.21,45.5,96.0,47.40%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:45.852074
",spark,868.23,2.56,96.0,2.67%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:47.867515
",suffixArray,2200.28,43.2,96.0,45.00%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:47.867515
",spark,835.03,2.56,96.0,2.67%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:49.878720
",suffixArray,4816.21,41.07,96.0,42.78%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:49.878720
",spark,817.04,2.562,96.0,2.67%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:51.909802
",suffixArray,3087.83,38.73,96.0,40.35%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:51.909802
",spark,845.39,2.566,96.0,2.67%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:53.915468
",suffixArray,4809.81,54.47,96.0,56.74%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:53.915468
",spark,897.94,2.567,96.0,2.67%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:55.929018
",suffixArray,4798.75,55.8,96.0,58.12%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:55.929018
",spark,902.19,2.568,96.0,2.68%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:57.936879
",suffixArray,1184.40,32.19,96.0,33.53%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:57.936879
",spark,815.12,2.569,96.0,2.68%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
"2025-02-17 11:01:59.960405
",suffixArray,4726.91,43.43,96.0,45.24%,0.0,0.0,0.000640869140625,0.0
"2025-02-17 11:01:59.960405
",spark,834.67,2.572,96.0,2.68%,0.0,0.0,0.000164031982421875,3.1280517578125e-05
