Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.7,1.42,2025-02-17 10:59:45.853,0.0,4.76,4.94,0.73,0.69,40.09,35256,34008,0.01,0.02,7,0.01,0.0,87,0.02,0.02,27
9.14,1.4,2025-02-17 10:59:45.953,0.1,4.66,4.47,0.72,0.68,19.06,35256,34216,0.0,0.0,84,0.0,0.0,23,0.01,0.0,57
9.1,1.4,2025-02-17 10:59:46.054,0.201,4.65,4.45,0.72,0.68,16.850000000000005,35360,34112,0.0,0.0,56,0.0,0.0,51,0.0,0.0,54
9.21,1.4,2025-02-17 10:59:46.154,0.301,4.73,4.48,0.72,0.68,18.229999999999997,35360,34112,0.0,0.0,62,0.0,0.0,50,0.0,0.0,56
9.18,1.4,2025-02-17 10:59:46.254,0.401,4.7,4.47,0.72,0.68,17.58,35256,34216,0.0,0.0,54,0.0,0.0,54,0.0,0.0,54
9.42,1.4,2025-02-17 10:59:46.355,0.502,4.72,4.7,0.72,0.68,32.1,35256,34112,0.0,0.0,27,0.01,0.0,78,0.01,0.0,55
9.35,1.4,2025-02-17 10:59:46.455,0.602,4.73,4.62,0.72,0.68,48.45999999999999,35568,34320,0.01,0.01,18,0.01,0.0,85,0.02,0.01,45
9.06,1.38,2025-02-17 10:59:46.554,0.701,4.65,4.41,0.71,0.67,17.569999999999997,35568,34216,0.0,0.0,60,0.0,0.0,51,0.0,0.0,56
9.08,1.38,2025-02-17 10:59:46.654,0.801,4.65,4.43,0.71,0.67,21.090000000000003,35672,34216,0.0,0.0,55,0.0,0.0,50,0.0,0.0,53
9.15,1.38,2025-02-17 10:59:46.753,0.9,4.72,4.43,0.71,0.67,19.959999999999994,35672,34216,0.0,0.0,58,0.0,0.0,50,0.0,0.0,54
9.17,1.4,2025-02-17 10:59:46.853,1.0,4.7,4.47,0.72,0.68,18.409999999999982,35360,34216,0.0,0.0,59,0.0,0.0,51,0.0,0.0,55
9.25,1.4,2025-02-17 10:59:46.954,1.101,4.73,4.51,0.72,0.68,21.82999999999997,35360,34320,0.0,0.0,40,0.0,0.0,72,0.01,0.0,57
9.29,1.41,2025-02-17 10:59:47.054,1.201,4.73,4.56,0.72,0.69,42.949999999999974,35256,33904,0.0,0.0,16,0.01,0.0,89,0.01,0.01,50
9.19,1.39,2025-02-17 10:59:47.154,1.301,4.77,4.42,0.72,0.67,17.050000000000008,35464,33800,0.0,0.0,54,0.0,0.0,52,0.0,0.0,53
9.2,1.41,2025-02-17 10:59:47.255,1.402,4.71,4.49,0.72,0.69,20.029999999999983,35464,33800,0.0,0.0,54,0.0,0.0,54,0.0,0.0,54
9.25,1.4,2025-02-17 10:59:47.355,1.502,4.72,4.53,0.72,0.68,29.370000000000005,35360,33696,0.0,0.0,46,0.0,0.0,68,0.01,0.0,60
9.09,1.4,2025-02-17 10:59:47.455,1.602,4.67,4.42,0.72,0.68,17.670000000000005,35464,33696,0.0,0.0,53,0.0,0.0,51,0.0,0.0,52
9.12,1.4,2025-02-17 10:59:47.555,1.702,4.68,4.45,0.72,0.68,20.54999999999999,35464,33072,0.0,0.0,48,0.0,0.0,74,0.01,0.0,59
9.34,1.4,2025-02-17 10:59:47.656,1.803,4.81,4.54,0.72,0.68,39.14999999999998,35672,34424,0.0,0.0,32,0.01,0.0,83,0.01,0.0,59
9.09,1.39,2025-02-17 10:59:47.756,1.903,4.71,4.38,0.72,0.67,17.5,35568,34216,0.0,0.0,56,0.0,0.0,51,0.0,0.0,53
