time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 10:52:57.165168
",wordCounts,267.56,0.85234375,96.0,0.89%,0.0,0.0,0.88671875,0.0
"2025-02-17 10:52:57.165168
",spark,26.42,0.026416015625,96.0,0.03%,0.0,0.0,0.002412109375,3.1280517578125e-05
"2025-02-17 10:52:59.515863
",wordCounts,733.91,2.401,96.0,2.50%,0.0,0.0,1.79,0.0
"2025-02-17 10:52:59.515863
",spark,51.63,0.058447265625,96.0,0.06%,0.0,0.0,0.005087890625,3.1280517578125e-05
"2025-02-17 10:53:01.528511
",wordCounts,3855.65,13.42,96.0,13.98%,0.0,0.0,1.79,0.0
"2025-02-17 10:53:01.528511
",spark,279.68,0.28740234375,96.0,0.30%,0.0,0.0,0.01640625,3.1280517578125e-05
"2025-02-17 10:53:03.539427
",wordCounts,0.00,4.895,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 10:53:03.539427
",spark,417.82,0.50537109375,96.0,0.53%,0.0,0.0,0.02978515625,3.1280517578125e-05
"2025-02-17 10:53:05.552699
",wordCounts,0.00,4.894,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 10:53:05.552699
",spark,226.06,0.70625,96.0,0.74%,0.0,0.0,0.03837890625,3.1280517578125e-05
"2025-02-17 10:53:07.566108
",wordCounts,0.00,4.894,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 10:53:07.566108
",spark,380.72,1.0,96.0,1.04%,0.0,0.0,0.046875,3.1280517578125e-05
"2025-02-17 10:53:09.577157
",wordCounts,0.00,4.894,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 10:53:09.577157
",spark,777.23,1.112,96.0,1.16%,0.0,0.0,0.05087890625,3.1280517578125e-05
"2025-02-17 10:53:11.591094
",wordCounts,0.00,4.894,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 10:53:11.591094
",spark,858.98,2.503,96.0,2.61%,0.0,0.0,0.05087890625,3.1280517578125e-05
"2025-02-17 10:53:13.603293
",wordCounts,0.00,4.894,96.0,5.10%,0.0,0.0,1.79,0.0
"2025-02-17 10:53:13.603293
",spark,855.60,2.527,96.0,2.63%,0.0,0.0,0.05087890625,3.1280517578125e-05
