Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.61,1.41,2025-02-17 10:52:38.119,0.0,4.89,4.71,0.72,0.69,22.729999999999986,34840,33072,0.01,0.01,44,0.0,0.0,49,0.01,0.01,45
9.22,1.39,2025-02-17 10:52:38.219,0.1,4.8,4.42,0.72,0.68,13.160000000000009,34840,32968,0.0,0.0,74,0.0,0.0,39,0.0,0.0,59
9.2,1.4,2025-02-17 10:52:38.320,0.201,4.79,4.42,0.72,0.68,16.89000000000001,34944,32968,0.0,0.0,49,0.0,0.0,51,0.0,0.0,50
9.22,1.39,2025-02-17 10:52:38.420,0.301,4.78,4.44,0.72,0.67,19.389999999999986,34840,32864,0.0,0.0,59,0.0,0.0,48,0.0,0.0,53
9.2,1.41,2025-02-17 10:52:38.520,0.401,4.78,4.41,0.72,0.69,17.689999999999998,35152,32864,0.0,0.0,57,0.0,0.0,59,0.0,0.0,58
9.23,1.4,2025-02-17 10:52:38.621,0.502,4.79,4.45,0.72,0.68,23.94999999999998,34736,33280,0.0,0.0,73,0.0,0.0,51,0.01,0.0,64
9.49,1.41,2025-02-17 10:52:38.721,0.602,4.77,4.72,0.73,0.68,46.079999999999984,34840,34528,0.01,0.02,4,0.01,0.01,92,0.02,0.02,32
9.18,1.4,2025-02-17 10:52:38.821,0.702,4.77,4.41,0.71,0.68,15.32000000000001,34424,34320,0.0,0.0,48,0.0,0.0,55,0.0,0.0,51
9.21,1.4,2025-02-17 10:52:38.922,0.803,4.79,4.42,0.72,0.68,13.720000000000017,34632,34320,0.0,0.0,63,0.0,0.0,49,0.0,0.0,56
9.12,1.38,2025-02-17 10:52:39.021,0.902,4.72,4.4,0.71,0.67,14.540000000000013,34424,34216,0.0,0.0,55,0.0,0.0,58,0.0,0.0,56
9.14,1.39,2025-02-17 10:52:39.120,1.001,4.73,4.41,0.71,0.68,13.85000000000001,34632,34216,0.0,0.0,48,0.0,0.0,48,0.0,0.0,48
9.19,1.39,2025-02-17 10:52:39.221,1.102,4.78,4.41,0.72,0.67,27.90999999999999,34424,34216,0.0,0.0,25,0.0,0.0,79,0.0,0.0,52
9.41,1.41,2025-02-17 10:52:39.321,1.202,4.8,4.62,0.73,0.68,42.78000000000001,34632,33072,0.0,0.01,7,0.01,0.0,92,0.01,0.01,43
9.19,1.39,2025-02-17 10:52:39.421,1.302,4.76,4.43,0.72,0.68,14.96000000000001,33904,32656,0.0,0.0,59,0.0,0.0,49,0.0,0.0,53
9.21,1.4,2025-02-17 10:52:39.522,1.403,4.75,4.45,0.72,0.68,17.47,34320,32448,0.0,0.0,50,0.0,0.0,65,0.0,0.0,56
9.21,1.4,2025-02-17 10:52:39.622,1.503,4.78,4.43,0.72,0.68,18.779999999999994,34216,32656,0.0,0.0,63,0.0,0.0,65,0.0,0.0,64
9.27,1.39,2025-02-17 10:52:39.722,1.603,4.79,4.48,0.72,0.68,20.419999999999995,34424,32344,0.0,0.0,47,0.0,0.0,69,0.0,0.0,60
9.2,1.39,2025-02-17 10:52:39.823,1.704,4.73,4.47,0.71,0.68,26.439999999999984,34320,32032,0.0,0.0,23,0.0,0.0,87,0.0,0.0,59
9.46,1.4,2025-02-17 10:52:39.923,1.804,4.78,4.68,0.72,0.68,38.88,34632,33176,0.0,0.0,7,0.01,0.0,95,0.01,0.01,55
9.21,1.39,2025-02-17 10:52:40.023,1.904,4.79,4.42,0.72,0.68,14.830000000000004,34424,33176,0.0,0.0,60,0.0,0.0,54,0.0,0.0,57
9.18,1.39,2025-02-17 10:52:40.124,2.005,4.76,4.42,0.71,0.68,13.840000000000014,34528,33176,0.0,0.0,49,0.0,0.0,50,0.0,0.0,50
9.12,1.38,2025-02-17 10:52:40.223,2.104,4.74,4.38,0.71,0.67,17.879999999999992,34320,33176,0.0,0.0,53,0.0,0.0,53,0.0,0.0,53
9.13,1.38,2025-02-17 10:52:40.322,2.203,4.76,4.37,0.71,0.67,17.12000000000001,34216,33280,0.0,0.0,52,0.0,0.0,57,0.0,0.0,53
9.22,1.4,2025-02-17 10:52:40.423,2.304,4.76,4.46,0.72,0.68,20.629999999999992,34112,33904,0.0,0.0,39,0.0,0.0,82,0.0,0.0,66
9.47,1.4,2025-02-17 10:52:40.523,2.404,4.8,4.67,0.72,0.68,39.66000000000001,34424,34424,0.0,0.0,14,0.01,0.0,91,0.01,0.01,59
9.2,1.4,2025-02-17 10:52:40.623,2.504,4.77,4.44,0.72,0.68,19.779999999999998,34008,34112,0.0,0.0,45,0.0,0.0,67,0.0,0.0,61
9.22,1.4,2025-02-17 10:52:40.723,2.604,4.78,4.43,0.72,0.68,19.96,34216,34112,0.0,0.0,46,0.0,0.0,62,0.0,0.0,56
9.16,1.39,2025-02-17 10:52:40.824,2.705,4.78,4.38,0.72,0.67,16.020000000000007,34008,34008,0.0,0.0,53,0.0,0.0,51,0.0,0.0,52
9.19,1.39,2025-02-17 10:52:40.924,2.805,4.77,4.42,0.72,0.68,16.690000000000012,34320,34008,0.0,0.0,68,0.0,0.0,53,0.0,0.0,61
9.21,1.4,2025-02-17 10:52:41.024,2.905,4.77,4.44,0.72,0.68,18.21,34112,33592,0.0,0.0,44,0.0,0.0,74,0.0,0.0,63
9.36,1.4,2025-02-17 10:52:41.125,3.006,4.79,4.57,0.72,0.68,37.80000000000001,34320,34528,0.0,0.0,22,0.01,0.0,90,0.01,0.0,65
