time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-13 20:46:12.503871
",suffixArray,99.27,0.1720703125,96.0,0.18%,0.0,0.0,2.346038818359375e-05,0.0
"2024-11-13 20:46:14.150265
",suffixArray,99.16,0.323828125,96.0,0.34%,0.0,0.0,2.346038818359375e-05,0.0
"2024-11-13 20:46:16.159340
",suffixArray,99.50,0.36943359375,96.0,0.38%,0.0,0.0,2.346038818359375e-05,0.0
"2024-11-13 20:46:18.166782
",suffixArray,96.08,0.0391015625,96.0,0.04%,0.0,0.0,5.464553833007812e-05,0.01591796875
"2024-11-13 20:46:20.175636
",suffixArray,100.02,0.2919921875,96.0,0.30%,0.0,0.0,5.464553833007812e-05,0.01591796875
"2024-11-13 20:46:22.187051
",suffixArray,100.04,0.38427734375,96.0,0.40%,0.0,0.0,5.464553833007812e-05,0.01591796875
"2024-11-13 20:46:24.193184
",suffixArray,99.20,0.40595703125,96.0,0.42%,0.0,0.0,5.464553833007812e-05,0.01591796875
"2024-11-13 20:46:26.201021
",suffixArray,99.96,0.40703125,96.0,0.42%,0.0,0.0,5.464553833007812e-05,0.01591796875
"2024-11-13 20:46:28.210548
",suffixArray,99.05,0.420703125,96.0,0.44%,0.0,0.0,5.464553833007812e-05,0.01591796875
"2024-11-13 20:46:30.217862
",suffixArray,100.13,0.46572265625,96.0,0.49%,0.0,0.0,5.464553833007812e-05,0.01591796875
"2024-11-13 20:46:32.225738
",suffixArray,100.03,0.03943359375,96.0,0.04%,0.0,0.0,6.246566772460938e-05,0.044140625
"2024-11-13 20:46:34.234503
",suffixArray,100.15,0.2923828125,96.0,0.30%,0.0,0.0,6.6375732421875e-05,0.044140625
"2024-11-13 20:46:36.243356
",suffixArray,100.05,0.33388671875,96.0,0.35%,0.0,0.0,6.6375732421875e-05,0.044140625
"2024-11-13 20:46:38.252016
",suffixArray,99.99,0.37578125,96.0,0.39%,0.0,0.0,6.6375732421875e-05,0.044140625
"2024-11-13 20:46:40.261554
",suffixArray,2202.89,5.352,96.0,5.58%,0.0,0.0,7.419586181640625e-05,0.06689453125
"2024-11-13 20:46:42.270103
",suffixArray,4791.93,19.03,96.0,19.82%,0.0,0.0,7.419586181640625e-05,0.06689453125
