Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.5,0.47,2024-11-13 20:45:54.164,0.0,3.05,2.45,0.26,0.21,69.82999999999998,32136,33488,0.01,0.01,19,0.02,0.0,87,0.02,0.01,47
6.33,0.56,2024-11-13 20:45:54.264,0.1,3.49,2.84,0.31,0.25,104.03,31096,31200,0.01,0.01,48,0.02,0.0,67,0.03,0.02,56
4.81,0.36,2024-11-13 20:45:54.364,0.2,2.69,2.12,0.21,0.15,44.82,31512,29744,0.0,0.0,67,0.01,0.0,50,0.01,0.0,61
5.75,0.49,2024-11-13 20:45:54.464,0.3,3.21,2.54,0.27,0.21,50.26000000000001,31512,29848,0.0,0.0,79,0.01,0.0,41,0.01,0.0,67
7.17,0.66,2024-11-13 20:45:54.565,0.401,3.9,3.27,0.35,0.31,64.09,30992,29640,0.0,0.0,45,0.02,0.0,75,0.02,0.01,61
5.66,0.44,2024-11-13 20:45:54.665,0.501,3.15,2.51,0.25,0.19,51.179999999999986,31408,29952,0.0,0.0,65,0.01,0.0,62,0.01,0.0,63
6.81,0.6,2024-11-13 20:45:54.774,0.61,3.74,3.08,0.32,0.27,61.44999999999998,31824,30160,0.0,0.0,57,0.02,0.0,66,0.02,0.01,61
7.27,0.69,2024-11-13 20:45:54.865,0.701,3.99,3.27,0.37,0.31,90.97,31096,33280,0.01,0.01,17,0.02,0.0,90,0.03,0.01,53
4.59,0.32,2024-11-13 20:45:54.966,0.802,2.6,1.99,0.19,0.12,35.919999999999995,30992,32760,0.0,0.0,58,0.0,0.0,59,0.01,0.0,58
5.1,0.39,2024-11-13 20:45:55.065,0.901,2.83,2.27,0.23,0.16,48.279999999999994,30784,32968,0.0,0.0,67,0.0,0.0,63,0.01,0.0,65
4.72,0.29,2024-11-13 20:45:55.166,1.002,2.65,2.07,0.16,0.13,41.360000000000014,30576,33280,0.0,0.0,61,0.0,0.0,57,0.01,0.0,59
5.19,0.38,2024-11-13 20:45:55.266,1.102,2.93,2.26,0.21,0.18,45.69999999999998,30992,33384,0.0,0.0,69,0.01,0.0,61,0.01,0.0,65
5.47,0.44,2024-11-13 20:45:55.367,1.203,3.03,2.44,0.24,0.19,57.339999999999996,31512,32656,0.0,0.0,70,0.01,0.0,65,0.02,0.0,68
7.25,0.64,2024-11-13 20:45:55.467,1.303,3.96,3.29,0.34,0.3,85.17999999999996,31408,34736,0.01,0.0,20,0.02,0.0,90,0.02,0.01,56
7.47,0.7,2024-11-13 20:45:55.567,1.403,4.11,3.35,0.38,0.32,66.80999999999999,31512,34424,0.0,0.0,58,0.02,0.0,73,0.02,0.0,68
5.09,0.41,2024-11-13 20:45:55.676,1.512,2.84,2.25,0.24,0.17,42.55999999999999,32448,34424,0.0,0.0,83,0.01,0.0,50,0.01,0.0,68
