Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
6.11,0.53,2024-11-14 01:01:15.868,0.0,3.32,2.8,0.29,0.24,82.82999999999998,33280,36504,0.01,0.01,12,0.02,0.0,92,0.03,0.02,43
5.7,0.47,2024-11-14 01:01:15.968,0.1,3.13,2.57,0.27,0.2,76.80999999999999,32344,34216,0.01,0.01,55,0.02,0.0,69,0.02,0.01,60
5.78,0.46,2024-11-14 01:01:16.068,0.2,3.24,2.54,0.25,0.21,49.19000000000001,31408,34008,0.0,0.0,68,0.01,0.0,57,0.01,0.0,65
4.99,0.39,2024-11-14 01:01:16.168,0.3,2.76,2.23,0.22,0.17,48.24,31720,33800,0.0,0.0,58,0.01,0.0,71,0.01,0.0,62
7.52,0.69,2024-11-14 01:01:16.269,0.401,4.11,3.42,0.37,0.31,65.34,30992,33800,0.0,0.0,51,0.02,0.0,78,0.02,0.01,65
5.09,0.4,2024-11-14 01:01:16.369,0.501,2.84,2.25,0.22,0.18,42.23,30472,34216,0.0,0.0,58,0.01,0.0,73,0.01,0.0,64
6.62,0.57,2024-11-14 01:01:16.478,0.61,3.64,2.99,0.31,0.26,53.51,30888,33592,0.0,0.0,60,0.01,0.0,78,0.02,0.0,67
7.09,0.66,2024-11-14 01:01:16.570,0.702,3.86,3.23,0.35,0.32,89.09000000000002,31096,34632,0.01,0.01,32,0.02,0.01,92,0.03,0.01,62
5.47,0.45,2024-11-14 01:01:16.670,0.802,3.06,2.41,0.25,0.2,36.33999999999999,31096,35048,0.0,0.0,61,0.0,0.0,63,0.01,0.0,62
5.17,0.42,2024-11-14 01:01:16.770,0.902,2.89,2.28,0.23,0.19,47.78999999999999,31408,35048,0.0,0.0,74,0.01,0.0,59,0.01,0.0,68
4.72,0.32,2024-11-14 01:01:16.870,1.002,2.63,2.08,0.19,0.13,41.919999999999995,31512,34840,0.0,0.0,65,0.01,0.0,61,0.01,0.0,63
5.51,0.44,2024-11-14 01:01:16.970,1.102,3.08,2.43,0.25,0.2,49.18999999999999,32032,35360,0.0,0.0,67,0.01,0.0,72,0.01,0.0,69
5.71,0.45,2024-11-14 01:01:17.071,1.203,3.14,2.58,0.25,0.21,55.44999999999999,31304,35048,0.0,0.0,57,0.01,0.0,74,0.02,0.0,65
7.84,0.73,2024-11-14 01:01:17.171,1.303,4.28,3.56,0.38,0.35,87.65,31512,36816,0.0,0.0,29,0.02,0.0,91,0.03,0.01,66
7.63,0.7,2024-11-14 01:01:17.271,1.403,4.17,3.46,0.36,0.33,65.91000000000001,30992,36504,0.0,0.0,65,0.02,0.0,74,0.02,0.0,71
5.19,0.4,2024-11-14 01:01:17.380,1.512,2.91,2.28,0.23,0.17,34.69,31304,37024,0.0,0.0,67,0.01,0.0,69,0.01,0.0,68
5.88,0.48,2024-11-14 01:01:17.472,1.604,3.27,2.62,0.27,0.21,45.999999999999986,30680,36608,0.0,0.0,67,0.01,0.0,71,0.01,0.0,68
5.85,0.48,2024-11-14 01:01:17.572,1.704,3.22,2.62,0.26,0.22,48.02999999999998,30472,36816,0.0,0.0,66,0.01,0.0,68,0.01,0.0,67
5.34,0.43,2024-11-14 01:01:17.672,1.804,2.98,2.36,0.25,0.19,52.43000000000001,30160,36088,0.0,0.0,47,0.01,0.0,75,0.01,0.0,62
6.9,0.63,2024-11-14 01:01:17.772,1.904,3.76,3.14,0.33,0.3,86.46,30472,36296,0.0,0.0,32,0.01,0.0,91,0.02,0.01,70
6.41,0.55,2024-11-14 01:01:17.873,2.005,3.54,2.87,0.3,0.25,53.129999999999995,30680,36712,0.0,0.0,57,0.01,0.0,80,0.01,0.0,69
5.09,0.4,2024-11-14 01:01:17.972,2.104,2.85,2.24,0.23,0.18,43.59,31200,36712,0.0,0.0,68,0.01,0.0,68,0.01,0.0,68
4.84,0.33,2024-11-14 01:01:18.072,2.204,2.71,2.12,0.19,0.14,39.56999999999999,31616,37336,0.0,0.0,73,0.0,0.0,65,0.01,0.0,70
5.26,0.39,2024-11-14 01:01:18.182,2.314,2.91,2.35,0.21,0.18,34.83000000000001,32032,37128,0.0,0.0,76,0.01,0.0,55,0.01,0.0,69
