time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-14 01:12:31.280432
",nBody,99.63,0.28798828125,96.0,0.30%,0.0,0.0,0.0,0.0
"2024-11-14 01:12:31.280432
",suffixArray,99.97,0.1736328125,96.0,0.18%,0.0,0.0,0.0,0.0
"2024-11-14 01:12:33.937520
",nBody,99.07,0.35869140625,96.0,0.37%,0.0,0.0,0.0,0.0
"2024-11-14 01:12:33.937520
",suffixArray,99.13,0.34482421875,96.0,0.36%,0.0,0.0,0.0,0.0
"2024-11-14 01:12:35.949900
",nBody,100.28,0.40556640625,96.0,0.42%,0.0,0.0,0.0,0.0
"2024-11-14 01:12:35.949900
",suffixArray,100.19,0.38984375,96.0,0.41%,0.0,0.0,0.0,0.0
"2024-11-14 01:12:37.964139
",nBody,95.99,0.051015625,96.0,0.05%,0.0,0.0,0.0,0.01904296875
"2024-11-14 01:12:37.964139
",suffixArray,99.98,0.16630859375,96.0,0.17%,0.0,0.0,0.0,0.016015625
"2024-11-14 01:12:39.980061
",nBody,100.27,0.2857421875,96.0,0.30%,0.0,0.0,0.0,0.01904296875
"2024-11-14 01:12:39.980061
",suffixArray,100.04,0.34912109375,96.0,0.36%,0.0,0.0,0.0,0.016015625
"2024-11-14 01:12:41.996521
",nBody,100.15,0.4662109375,96.0,0.49%,0.0,0.0,0.0,0.01904296875
"2024-11-14 01:12:41.996521
",suffixArray,99.99,0.39775390625,96.0,0.41%,0.0,0.0,0.0,0.016015625
"2024-11-14 01:12:44.010873
",nBody,99.67,0.47607421875,96.0,0.50%,0.0,0.0,0.0,0.01904296875
"2024-11-14 01:12:44.010873
",suffixArray,99.64,0.40693359375,96.0,0.42%,0.0,0.0,0.0,0.016015625
"2024-11-14 01:12:46.024113
",nBody,100.07,0.5044921875,96.0,0.53%,0.0,0.0,0.0,0.01904296875
"2024-11-14 01:12:46.024113
",suffixArray,100.15,0.40791015625,96.0,0.42%,0.0,0.0,0.0,0.016015625
