Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
7.19,0.66,2024-11-14 01:07:38.283,0.0,3.92,3.27,0.35,0.31,90.52999999999999,31408,37024,0.01,0.02,16,0.02,0.01,91,0.03,0.02,48
6.79,0.62,2024-11-14 01:07:38.383,0.1,3.75,3.04,0.34,0.28,58.69000000000001,31096,35984,0.01,0.01,61,0.01,0.0,56,0.01,0.01,59
5.64,0.49,2024-11-14 01:07:38.484,0.201,3.13,2.51,0.27,0.22,58.869999999999976,31616,35672,0.0,0.0,73,0.01,0.0,36,0.01,0.0,61
4.82,0.35,2024-11-14 01:07:38.584,0.301,2.71,2.11,0.19,0.16,56.080000000000005,31512,36192,0.0,0.0,76,0.01,0.0,40,0.01,0.0,64
7.96,0.74,2024-11-14 01:07:38.683,0.4,4.33,3.63,0.39,0.36,78.96999999999997,31096,35568,0.0,0.0,44,0.02,0.0,77,0.02,0.01,62
5.2,0.44,2024-11-14 01:07:38.784,0.501,2.89,2.31,0.25,0.19,63.28000000000002,31304,36192,0.0,0.0,48,0.01,0.0,78,0.02,0.0,62
7.04,0.59,2024-11-14 01:07:38.892,0.609,3.84,3.21,0.32,0.28,83.32000000000001,30680,32864,0.01,0.01,22,0.02,0.01,92,0.03,0.01,55
6.32,0.54,2024-11-14 01:07:38.984,0.701,3.48,2.83,0.3,0.24,66.01,31096,37336,0.0,0.0,67,0.01,0.0,58,0.01,0.0,63
4.99,0.39,2024-11-14 01:07:39.085,0.802,2.83,2.16,0.22,0.17,45.54000000000001,30680,37440,0.0,0.0,71,0.01,0.0,56,0.01,0.0,65
5.02,0.4,2024-11-14 01:07:39.185,0.902,2.77,2.24,0.22,0.18,50.60999999999997,30992,37336,0.0,0.0,71,0.01,0.0,59,0.01,0.0,66
4.91,0.38,2024-11-14 01:07:39.285,1.002,2.75,2.15,0.21,0.17,44.67999999999999,29848,36920,0.0,0.0,61,0.01,0.0,61,0.01,0.0,61
6.83,0.61,2024-11-14 01:07:39.385,1.102,3.76,3.07,0.33,0.28,43.56999999999999,30056,36816,0.0,0.0,67,0.01,0.0,59,0.01,0.0,63
