Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
6.01,0.55,2024-11-15 00:18:32.447,0.0,3.31,2.7,0.29,0.25,71.12999999999997,32864,34944,0.0,0.01,37,0.02,0.0,79,0.02,0.01,54
7.0,0.66,2024-11-15 00:18:32.547,0.1,3.79,3.21,0.36,0.3,105.88,32344,34320,0.01,0.02,25,0.02,0.01,79,0.03,0.02,44
5.91,0.5,2024-11-15 00:18:32.646,0.199,3.24,2.67,0.28,0.22,53.00000000000002,32344,33800,0.0,0.0,63,0.0,0.0,59,0.01,0.0,61
4.23,0.28,2024-11-15 00:18:32.746,0.299,2.38,1.86,0.16,0.12,51.739999999999995,32344,33592,0.0,0.0,59,0.0,0.0,61,0.01,0.0,60
6.02,0.53,2024-11-15 00:18:32.847,0.4,3.32,2.69,0.29,0.24,62.310000000000024,32344,33280,0.0,0.0,75,0.01,0.0,54,0.01,0.0,70
6.68,0.58,2024-11-15 00:18:32.946,0.499,3.68,3.0,0.32,0.26,73.23,32032,33176,0.01,0.01,86,0.01,0.0,32,0.02,0.01,71
5.59,0.41,2024-11-15 00:18:33.057,0.61,3.29,2.3,0.25,0.17,62.489999999999995,32136,33800,0.0,0.0,51,0.01,0.0,74,0.01,0.01,58
7.11,0.64,2024-11-15 00:18:33.148,0.701,3.65,3.46,0.31,0.33,90.93,33072,34736,0.01,0.01,21,0.02,0.0,91,0.03,0.01,55
5.06,0.4,2024-11-15 00:18:33.247,0.8,2.81,2.25,0.23,0.17,52.85999999999999,32760,34840,0.0,0.0,64,0.01,0.0,56,0.01,0.0,61
4.62,0.33,2024-11-15 00:18:33.348,0.901,2.59,2.03,0.19,0.14,52.47,32968,34840,0.0,0.0,64,0.0,0.0,63,0.01,0.0,63
5.25,0.41,2024-11-15 00:18:33.448,1.001,2.9,2.35,0.23,0.18,47.350000000000016,32656,34840,0.0,0.0,66,0.0,0.0,58,0.01,0.0,63
4.92,0.36,2024-11-15 00:18:33.548,1.101,2.74,2.18,0.21,0.15,42.94999999999998,33280,34736,0.0,0.0,68,0.01,0.0,52,0.01,0.0,62
4.74,0.34,2024-11-15 00:18:33.649,1.202,2.63,2.11,0.18,0.16,53.6,32864,34840,0.0,0.0,53,0.01,0.0,74,0.01,0.0,63
5.46,0.45,2024-11-15 00:18:33.748,1.301,3.02,2.44,0.25,0.19,51.610000000000014,32760,34944,0.01,0.0,27,0.01,0.0,92,0.02,0.0,57
7.6,0.71,2024-11-15 00:18:33.849,1.402,4.12,3.48,0.38,0.32,100.48000000000005,32864,33800,0.01,0.0,44,0.02,0.0,82,0.02,0.01,63
5.91,0.49,2024-11-15 00:18:33.958,1.511,3.28,2.63,0.28,0.21,47.61,32760,34216,0.0,0.0,68,0.01,0.0,52,0.01,0.0,62
