workload,pgbench-100,pgbench-50,pgbench-10,x265,llama,faiss,spark,removeDuplicates,breadthFirstSearch,minSpanningForest,wordCounts,suffixArray,convexHull,nearestNeighbors,nBody,nothing
pgbench-100,354.29639562110987,354.51101702376286,353.2750047006957,353.5094303387241,323.0068363554905,362.1805663351444,354.5270776041854,360.10432729998195,352.6543342518391,361.2909894016725,355.6199811659961,359.7310545733928,360.1576435096087,358.2741944042268,351.9629087729035,333.8786258564384
pgbench-50,354.51101702376286,354.97860896222454,350.294376943545,353.31934336503423,302.99337170835514,360.8494441710969,355.14236314007377,359.71897407128205,358.3402898471392,362.0985409997126,350.2236830952089,358.9953745911992,358.70429588883644,356.88336520076484,349.5956799974884,340.4470362294196
pgbench-10,353.2750047006957,350.294376943545,215.23855439040105,331.61297164903067,287.0968903829992,326.67445601286846,217.9608215153444,314.36265749768137,322.76944607766006,348.7626055488541,305.69477911646584,310.93020654307304,350.1182929872723,356.00925896962684,342.0186067792733,157.5774672684785
x265,353.5094303387241,353.31934336503423,331.61297164903067,348.2698847867188,306.56461833651025,351.6297607717726,325.20189454735856,350.598485472809,357.70347710818805,360.8629804257751,342.102518675458,348.8054751845509,358.2561431414808,355.9489674526432,347.6336690662142,271.8909586369496
llama,323.0068363554905,302.99337170835514,287.0968903829992,306.56461833651025,310.5286039035282,342.7798880041933,319.53554935664675,309.4749234403058,315.3070254767196,328.36350326528776,300.89375898086604,304.88221228016045,323.75578321216136,319.5499761148734,311.8811575434577,286.80003295961933
faiss,362.1805663351444,360.8494441710969,326.67445601286846,351.6297607717726,342.7798880041933,363.5599590889372,337.5670272296538,354.6345732709955,353.9368946990179,362.40945244005263,348.46451003677055,353.89523421797514,361.7514647514648,360.0802319184577,355.58061886392096,287.75844033987244
spark,354.5270776041854,355.14236314007377,217.9608215153444,325.20189454735856,319.53554935664675,337.5670272296538,223.699305236606,319.00907485915405,329.0288445127155,348.7260075996233,307.4164257739649,314.90434339574574,355.0148490532333,356.4843684781701,343.1954752715675,167.18782854118896
removeDuplicates,360.10432729998195,359.71897407128205,314.36265749768137,350.598485472809,309.4749234403058,354.6345732709955,319.00907485915405,339.42852280462904,349.8101372097486,357.8039885513803,340.6901815129044,350.0333915446468,359.50066603980565,363.9099171788604,357.10979135301886,297.21541186891056
breadthFirstSearch,352.6543342518391,358.3402898471392,322.76944607766006,357.70347710818805,315.3070254767196,353.9368946990179,329.0288445127155,349.8101372097486,342.9822126319473,356.77200377257435,353.90914948453604,347.6475676320577,353.00240895564684,363.8784194528875,360.28938077494286,314.2633472036109
minSpanningForest,361.2909894016725,362.0985409997126,348.7626055488541,360.8629804257751,328.36350326528776,362.40945244005263,348.7260075996233,357.8039885513803,356.77200377257435,355.8891798728623,359.45315287457487,358.8854903990094,360.4274572129386,364.54381061976,360.0657291857578,341.3684887242213
wordCounts,355.6199811659961,350.2236830952089,305.69477911646584,342.102518675458,300.89375898086604,348.46451003677055,307.4164257739649,340.6901815129044,353.90914948453604,359.45315287457487,318.718440868153,341.68484061575026,357.7874620353339,359.6492515044512,349.8006124662808,292.37440427976713
suffixArray,359.7310545733928,358.9953745911992,310.93020654307304,348.8054751845509,304.88221228016045,353.89523421797514,314.90434339574574,350.0333915446468,347.6475676320577,358.8854903990094,341.68484061575026,334.9743565390825,360.6058538337225,364.06933929088575,356.0405125622517,300.71878189860496
convexHull,360.1576435096087,358.70429588883644,350.1182929872723,358.2561431414808,323.75578321216136,361.7514647514648,355.0148490532333,359.50066603980565,353.00240895564684,360.4274572129386,357.7874620353339,360.6058538337225,357.6860821364691,361.9074819739676,357.11498869836885,338.5716054541796
nearestNeighbors,358.2741944042268,356.88336520076484,356.00925896962684,355.9489674526432,319.5499761148734,360.0802319184577,356.4843684781701,363.9099171788604,363.8784194528875,364.54381061976,359.6492515044512,364.06933929088575,361.9074819739676,359.8401449523973,355.0450246934737,354.9550312708397
nBody,351.9629087729035,349.5956799974884,342.0186067792733,347.6336690662142,311.8811575434577,355.58061886392096,343.1954752715675,357.10979135301886,360.28938077494286,360.0657291857578,349.8006124662808,356.0405125622517,357.11498869836885,355.0450246934737,346.748504854369,337.7862214183516
