workload,pgbench-100,pgbench-50,pgbench-10,x265,llama,faiss,spark,removeDuplicates,breadthFirstSearch,minSpanningForest,wordCounts,suffixArray,convexHull,nearestNeighbors,nBody,nothing
pgbench-100,0.06115327003127989,0.06179608267645137,0.05809410169489969,0.05879623001301841,-0.032562100892384066,0.08476715275231576,0.061844185727017616,0.07854860842400882,0.05623513139614356,0.08210278053864069,0.0651175416029957,0.07743061913783732,0.07870829582385358,0.07306717668796817,0.05416424267973657,0.0
pgbench-50,0.04131033405403433,0.04268379861298728,0.02892473620328267,0.03781001379298324,-0.11001319011579024,0.059928287723229126,0.04316479612632406,0.056607741560351,0.052558112462643816,0.06359727789112707,0.02871708614082644,0.054482302349315476,0.05362731266990286,0.048278666641906554,0.026872443565358915,0.0
pgbench-10,1.241913205133512,1.2229978880591972,0.365922159566636,1.1044441023032352,0.8219412671092572,1.073103862345272,0.38319789811055605,0.9949721425720991,1.0483223374045576,1.2132771366012423,0.9399650496706292,0.9731895170856762,1.2218804443070859,1.2592650151119815,1.170479147228241,0.0
x265,0.3001882523455218,0.29948912290538593,0.219654280934831,0.2809174918234644,0.12752781436126992,0.29327493100385355,0.1960746917722775,0.289481957143547,0.31561372581654,0.3272342053404872,0.2582342582868319,0.28288736386524593,0.3176464011068967,0.30916073574897546,0.2785775253762751,0.0
llama,0.12624406985674583,0.05646212303962946,0.001035067605524603,0.06891416703454048,0.08273559350409772,0.19518775666408586,0.11414056009413534,0.07906167320377906,0.09939675467580575,0.14492142792577872,0.049141298471297834,0.0630480378050969,0.12885546027027583,0.11419086259263149,0.08745160983774956,0.0
faiss,0.25862708286635055,0.2540012509968306,0.13523848554027534,0.22196158818647183,0.19120706798151554,0.26342066164778816,0.17309166268399376,0.23240372324834474,0.22997919463624378,0.2594224934358472,0.21096190827694913,0.22983441875758126,0.2571358960807509,0.2513281330450837,0.23569136128185686,0.0
spark,1.1205316242075776,1.1242118295266912,0.3036883331590543,0.9451290048141316,0.9112369132656382,1.01908853159421,0.33801190665919,0.9080879131136146,0.9680191278496978,1.0858337035803416,0.8387488398907503,0.8835362965322852,1.1234491299453098,1.1322387615695684,1.0527539490532751,0.0
removeDuplicates,0.21159372266606782,0.21029717742207535,0.0576929894750335,0.17961071826061123,0.04124789994673094,0.19319039023255674,0.07332615375899744,0.1420286743216968,0.1769582708047299,0.20385408785326672,0.14627360462440883,0.17770942409619078,0.20956266628046374,0.22439786984991886,0.20151841759311337,0.0
breadthFirstSearch,0.1221618346200414,0.14025479915407027,0.02706678634253218,0.1382284325904297,0.0033210308564316864,0.12624299921843105,0.04698447159203091,0.11311147266278852,0.09138471184719302,0.13526444285410769,0.12615471270736084,0.10623007972615138,0.12326942386614664,0.15787737479016611,0.14645689349675167,0.0
minSpanningForest,0.058360690384477214,0.06072632056041445,0.021660220755191577,0.057106886972519144,-0.03809661960169908,0.061637100115674436,0.021553011242774197,0.04814591964414328,0.04512283809768085,0.042536706310850235,0.05297695817777563,0.05131405578837544,0.05583107146164939,0.06788945863793872,0.054771430519005106,0.0
wordCounts,0.21631707824092064,0.19786027083303426,0.04555930560854673,0.17008367924063225,0.02913851067806506,0.19184342040875757,0.051447805532950606,0.1652531019333173,0.21046556847666995,0.22942756825806626,0.09010377174869855,0.16865510665153496,0.2237304524542932,0.23009827891880064,0.19641325419021194,0.0
suffixArray,0.19623740260654993,0.19379099743840975,0.033956723886674714,0.1599058528448004,0.013844929655771528,0.1768311642646251,0.04717218328559141,0.16398912410688576,0.15605538648821737,0.19342559228647335,0.13622713705643452,0.11391232175191407,0.1991464302861868,0.21066378691850732,0.1839649998392847,0.0
convexHull,0.06375619723476919,0.05946361156792729,0.03410412257579405,0.05813995435587465,-0.043759789667368626,0.06846368367539399,0.048566516902667674,0.061815758464300694,0.04262260410795214,0.06455311492952959,0.05675566489214899,0.0650800245046684,0.05645623074814046,0.0689244937964716,0.05476945776156894,0.0
nearestNeighbors,0.0093509398120195,0.00543261472593067,0.002970031710813368,0.0028001749355261877,-0.0997451847046826,0.014439013948522761,0.004308537906491813,0.025228226448740995,0.025139489219520403,0.027014067992189736,0.013224830809708021,0.025677359713466366,0.019586849292531967,0.013762626956061142,0.0002535347148392098,0.0
nBody,0.04196940684858175,0.03496133894849031,0.012529775025014508,0.02915289915175806,-0.07669070622868968,0.05267946504996964,0.016013838073390425,0.05720650728004334,0.06661953013388568,0.06595742026970601,0.035568031749433855,0.05404095841224969,0.057221893773098505,0.051093864050028526,0.026532412714719716,0.0
