Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.36,0.43,2024-11-13 20:43:16.361,0.0,2.96,2.4,0.24,0.19,73.11,34736,33488,0.0,0.01,43,0.02,0.0,79,0.02,0.01,60
7.32,0.69,2024-11-13 20:43:16.460,0.099,4.01,3.31,0.37,0.32,109.21999999999996,31408,34944,0.01,0.02,29,0.03,0.01,81,0.04,0.02,51
5.21,0.39,2024-11-13 20:43:16.560,0.199,2.9,2.31,0.23,0.16,58.86999999999999,31824,33904,0.0,0.0,60,0.01,0.0,61,0.01,0.0,60
5.16,0.42,2024-11-13 20:43:16.661,0.3,2.93,2.23,0.24,0.18,58.52999999999999,31304,33800,0.0,0.0,68,0.01,0.0,55,0.01,0.0,63
7.69,0.7,2024-11-13 20:43:16.761,0.4,4.22,3.46,0.38,0.32,70.36000000000003,30472,33904,0.01,0.0,79,0.01,0.0,49,0.01,0.01,72
5.65,0.43,2024-11-13 20:43:16.861,0.5,3.13,2.51,0.24,0.19,57.22999999999998,30160,33488,0.0,0.0,70,0.01,0.0,60,0.01,0.01,67
6.52,0.55,2024-11-13 20:43:16.971,0.61,3.35,3.17,0.28,0.28,72.16000000000004,31096,32968,0.0,0.0,53,0.02,0.0,80,0.02,0.0,67
6.92,0.63,2024-11-13 20:43:17.062,0.701,4.06,2.86,0.37,0.26,87.52000000000004,32136,34216,0.01,0.01,21,0.01,0.01,92,0.02,0.01,54
4.79,0.38,2024-11-13 20:43:17.161,0.8,2.68,2.12,0.23,0.15,45.17000000000001,31616,33384,0.0,0.0,64,0.0,0.0,59,0.01,0.0,62
4.8,0.33,2024-11-13 20:43:17.262,0.901,2.68,2.12,0.18,0.15,54.93999999999998,31096,33176,0.0,0.0,62,0.01,0.0,69,0.01,0.0,65
4.72,0.32,2024-11-13 20:43:17.362,1.001,2.65,2.07,0.18,0.14,51.01999999999998,31408,33488,0.0,0.0,67,0.01,0.0,51,0.01,0.0,60
5.0,0.39,2024-11-13 20:43:17.463,1.102,2.84,2.15,0.22,0.16,56.64,31096,33384,0.0,0.0,67,0.0,0.0,62,0.01,0.0,65
5.41,0.43,2024-11-13 20:43:17.563,1.202,3.01,2.4,0.24,0.19,77.69000000000003,31200,32656,0.0,0.0,50,0.01,0.0,78,0.02,0.0,64
6.72,0.6,2024-11-13 20:43:17.664,1.303,3.7,3.02,0.32,0.27,92.79,31512,34008,0.01,0.0,43,0.02,0.0,81,0.03,0.01,61
8.07,0.76,2024-11-13 20:43:17.764,1.403,4.49,3.57,0.41,0.35,97.12000000000003,33072,33176,0.01,0.0,74,0.01,0.0,67,0.02,0.01,71
5.38,0.43,2024-11-13 20:43:17.872,1.511,3.02,2.36,0.24,0.19,37.97,33176,33072,0.0,0.0,73,0.01,0.0,59,0.01,0.0,68
6.51,0.53,2024-11-13 20:43:17.964,1.603,3.62,2.89,0.29,0.24,45.59999999999999,32968,32552,0.0,0.0,70,0.01,0.0,70,0.01,0.0,70
4.8,0.34,2024-11-13 20:43:18.064,1.703,2.7,2.1,0.2,0.14,43.25000000000002,33176,32968,0.0,0.0,70,0.0,0.0,60,0.01,0.0,66
4.94,0.35,2024-11-13 20:43:18.164,1.803,2.78,2.16,0.2,0.15,39.99999999999999,33280,32760,0.0,0.0,65,0.0,0.0,58,0.01,0.0,62
5.47,0.46,2024-11-13 20:43:18.265,1.904,3.04,2.43,0.26,0.2,57.480000000000004,33488,31928,0.0,0.0,84,0.02,0.0,46,0.02,0.01,67
8.25,0.78,2024-11-13 20:43:18.365,2.004,4.51,3.74,0.41,0.37,85.50000000000001,33592,34008,0.01,0.0,26,0.02,0.0,89,0.02,0.01,62
5.21,0.37,2024-11-13 20:43:18.465,2.104,2.91,2.3,0.2,0.16,43.12000000000001,32968,33488,0.0,0.0,67,0.01,0.0,68,0.01,0.0,68
5.02,0.39,2024-11-13 20:43:18.565,2.204,2.83,2.19,0.23,0.16,38.72999999999998,33384,32864,0.0,0.0,67,0.01,0.0,73,0.01,0.0,70
5.54,0.45,2024-11-13 20:43:18.675,2.314,3.07,2.47,0.25,0.2,37.82,33592,33176,0.0,0.0,63,0.01,0.0,60,0.01,0.0,61
