time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-14 00:46:12.214112
",convexHull,100.11,0.175,96.0,0.18%,0.0,0.0,1.9550323486328125e-05,0.0
"2024-11-14 00:46:12.214112
",wordCounts,100.12,0.29130859375,96.0,0.30%,0.0,0.0,0.0,0.0
"2024-11-14 00:46:14.870716
",convexHull,99.67,0.35068359375,96.0,0.37%,0.0,0.0,1.9550323486328125e-05,0.0
"2024-11-14 00:46:14.870716
",wordCounts,99.30,0.337890625,96.0,0.35%,0.0,0.0,0.0,0.0
"2024-11-14 00:46:16.885313
",convexHull,99.78,0.3958984375,96.0,0.41%,0.0,0.0,1.9550323486328125e-05,0.0
"2024-11-14 00:46:16.885313
",wordCounts,99.86,0.383984375,96.0,0.40%,0.0,0.0,0.0,0.0
"2024-11-14 00:46:18.901873
",convexHull,96.91,0.04638671875,96.0,0.05%,0.0,0.0,2.7370452880859374e-05,0.018359375
"2024-11-14 00:46:18.901873
",wordCounts,99.60,0.2044921875,96.0,0.21%,0.0,0.0,0.0,0.015625
"2024-11-14 00:46:20.915981
",convexHull,99.35,0.2921875,96.0,0.30%,0.0,0.0,2.7370452880859374e-05,0.018359375
"2024-11-14 00:46:20.915981
",wordCounts,99.27,0.336328125,96.0,0.35%,0.0,0.0,0.0,0.015625
"2024-11-14 00:46:22.932509
",convexHull,99.48,0.304296875,96.0,0.32%,0.0,0.0,8.983612060546875e-05,0.018359375
"2024-11-14 00:46:22.932509
",wordCounts,99.47,0.37998046875,96.0,0.40%,0.0,0.0,0.0,0.015625
"2024-11-14 00:46:24.945550
",convexHull,99.29,0.1505859375,96.0,0.16%,0.0,0.0,9.72747802734375e-05,0.03095703125
"2024-11-14 00:46:24.945550
",wordCounts,99.31,0.4212890625,96.0,0.44%,0.0,0.0,0.0,0.015625
"2024-11-14 00:46:26.960361
",convexHull,100.15,0.34111328125,96.0,0.36%,0.0,0.0,9.72747802734375e-05,0.03095703125
