Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
7.17,0.69,2024-11-14 00:45:53.926,0.0,3.91,3.25,0.37,0.32,93.40000000000005,34216,34424,0.01,0.02,12,0.03,0.01,91,0.03,0.03,45
6.45,0.55,2024-11-14 00:45:54.026,0.1,3.57,2.89,0.3,0.25,58.080000000000005,32240,32864,0.0,0.0,72,0.01,0.0,45,0.01,0.01,64
4.59,0.34,2024-11-14 00:45:54.125,0.199,2.56,2.03,0.2,0.14,46.920000000000016,32656,32864,0.0,0.0,72,0.0,0.0,47,0.01,0.0,64
4.88,0.39,2024-11-14 00:45:54.226,0.3,2.76,2.12,0.23,0.16,45.47999999999999,31928,32344,0.0,0.0,62,0.01,0.0,58,0.01,0.0,61
8.1,0.74,2024-11-14 00:45:54.326,0.4,4.41,3.69,0.39,0.36,73.68000000000002,32032,32136,0.0,0.0,50,0.02,0.0,75,0.02,0.01,63
5.89,0.46,2024-11-14 00:45:54.426,0.5,3.26,2.63,0.25,0.22,60.879999999999995,32136,32136,0.0,0.0,55,0.01,0.0,81,0.01,0.0,66
7.54,0.7,2024-11-14 00:45:54.535,0.609,4.08,3.45,0.37,0.33,90.63000000000004,31200,31200,0.01,0.01,27,0.02,0.01,87,0.03,0.01,56
4.77,0.36,2024-11-14 00:45:54.627,0.701,2.7,2.07,0.2,0.16,43.910000000000004,32032,31512,0.0,0.0,55,0.01,0.0,68,0.01,0.0,60
5.16,0.4,2024-11-14 00:45:54.727,0.801,2.87,2.29,0.23,0.18,39.20999999999998,31616,32032,0.0,0.0,64,0.01,0.0,59,0.01,0.0,62
4.88,0.39,2024-11-14 00:45:54.828,0.902,2.73,2.15,0.24,0.15,43.4,32344,32344,0.0,0.0,82,0.01,0.0,37,0.01,0.0,64
5.27,0.42,2024-11-14 00:45:54.928,1.002,2.94,2.33,0.24,0.18,41.38,31616,32552,0.0,0.0,78,0.0,0.0,37,0.01,0.0,65
5.17,0.38,2024-11-14 00:45:55.027,1.101,2.88,2.29,0.21,0.17,45.36,30160,31824,0.0,0.0,65,0.01,0.0,64,0.01,0.0,65
5.08,0.42,2024-11-14 00:45:55.128,1.202,2.81,2.26,0.24,0.18,61.24999999999999,31096,32448,0.0,0.0,63,0.01,0.0,70,0.01,0.0,66
8.14,0.77,2024-11-14 00:45:55.228,1.302,4.42,3.72,0.4,0.37,85.69999999999997,31096,34216,0.01,0.0,42,0.02,0.01,89,0.03,0.01,66
