Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.52,0.47,2024-11-14 00:56:37.053,0.0,3.06,2.45,0.26,0.21,80.34999999999998,33904,34320,0.0,0.01,45,0.01,0.0,74,0.02,0.01,59
6.93,0.66,2024-11-14 00:56:37.153,0.1,3.77,3.16,0.36,0.3,105.02999999999996,32032,34528,0.01,0.02,27,0.03,0.01,84,0.03,0.02,51
5.97,0.49,2024-11-14 00:56:37.253,0.2,3.31,2.66,0.27,0.23,53.689999999999976,31200,33904,0.0,0.0,63,0.01,0.0,55,0.01,0.0,61
5.2,0.38,2024-11-14 00:56:37.353,0.3,2.88,2.33,0.21,0.18,57.11000000000001,30472,33592,0.0,0.0,64,0.01,0.0,56,0.01,0.0,61
7.13,0.65,2024-11-14 00:56:37.454,0.401,3.95,3.18,0.36,0.3,69.57999999999998,30264,33904,0.0,0.0,49,0.02,0.0,73,0.02,0.01,62
5.99,0.5,2024-11-14 00:56:37.554,0.501,3.3,2.7,0.26,0.24,58.44,31096,33904,0.0,0.0,62,0.01,0.0,68,0.01,0.0,65
6.57,0.59,2024-11-14 00:56:37.663,0.61,3.62,2.95,0.32,0.27,64.84000000000002,30888,34424,0.0,0.0,56,0.02,0.0,74,0.02,0.01,63
6.64,0.63,2024-11-14 00:56:37.754,0.701,3.61,3.03,0.33,0.29,86.83999999999995,31408,35776,0.01,0.01,16,0.02,0.01,91,0.02,0.01,54
5.05,0.39,2024-11-14 00:56:37.854,0.801,2.83,2.22,0.22,0.17,43.37,31720,35464,0.0,0.0,65,0.0,0.0,61,0.01,0.0,63
4.69,0.38,2024-11-14 00:56:37.955,0.902,2.63,2.06,0.22,0.15,52.11999999999998,31096,35568,0.0,0.0,64,0.0,0.0,61,0.01,0.0,63
5.86,0.5,2024-11-14 00:56:38.055,1.002,3.25,2.61,0.28,0.22,56.850000000000016,30472,35464,0.0,0.0,81,0.0,0.0,50,0.01,0.0,69
5.01,0.38,2024-11-14 00:56:38.155,1.102,2.79,2.22,0.22,0.17,50.600000000000016,30888,36088,0.0,0.0,67,0.0,0.0,62,0.01,0.0,65
