time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2024-11-14 00:52:25.464744
",nearestNeighbors,99.93,0.29150390625,96.0,0.30%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:25.464744
",wordCounts,100.27,0.18251953125,96.0,0.19%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:28.123297
",nearestNeighbors,99.47,0.41162109375,96.0,0.43%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:28.123297
",wordCounts,99.37,0.33505859375,96.0,0.35%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:30.137479
",nearestNeighbors,100.17,0.6302734375,96.0,0.66%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:30.137479
",wordCounts,99.88,0.37724609375,96.0,0.39%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:32.151029
",nearestNeighbors,99.83,0.67099609375,96.0,0.70%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:32.151029
",wordCounts,100.10,0.16650390625,96.0,0.17%,0.0,0.0,0.0,0.0158203125
"2024-11-14 00:52:34.164186
",nearestNeighbors,99.22,0.71357421875,96.0,0.74%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:34.164186
",wordCounts,99.39,0.33154296875,96.0,0.35%,0.0,0.0,0.0,0.0158203125
"2024-11-14 00:52:36.182013
",nearestNeighbors,99.97,0.7544921875,96.0,0.79%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:36.182013
",wordCounts,99.84,0.37705078125,96.0,0.39%,0.0,0.0,0.0,0.0158203125
"2024-11-14 00:52:38.194645
",nearestNeighbors,100.20,0.79501953125,96.0,0.83%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:38.194645
",wordCounts,100.08,0.4189453125,96.0,0.44%,0.0,0.0,0.0,0.0158203125
"2024-11-14 00:52:40.211283
",nearestNeighbors,99.86,0.83447265625,96.0,0.87%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:40.211283
",wordCounts,95.65,0.028369140625,96.0,0.03%,0.0,0.0,0.0,0.03408203125
"2024-11-14 00:52:42.226986
",nearestNeighbors,100.10,0.87060546875,96.0,0.91%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:42.226986
",wordCounts,100.17,0.27119140625,96.0,0.28%,0.0,0.0,0.0,0.03408203125
"2024-11-14 00:52:44.240506
",nearestNeighbors,99.59,0.9181640625,96.0,0.96%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:44.240506
",wordCounts,97.82,0.00894140625,96.0,0.01%,0.0,0.0,0.0,0.04375
"2024-11-14 00:52:46.251704
",nearestNeighbors,99.43,0.97138671875,96.0,1.01%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:46.251704
",wordCounts,99.88,0.29013671875,96.0,0.30%,0.0,0.0,0.0,0.04375
"2024-11-14 00:52:48.266284
",nearestNeighbors,98.65,1.041,96.0,1.08%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:48.266284
",wordCounts,98.76,0.38798828125,96.0,0.40%,0.0,0.0,0.0,0.04375
"2024-11-14 00:52:50.281013
",nearestNeighbors,100.03,1.04,96.0,1.08%,0.0,0.0,0.0,0.0
"2024-11-14 00:52:50.281013
",wordCounts,100.47,0.40576171875,96.0,0.42%,0.0,0.0,0.0,0.04375
"2024-11-14 00:52:52.295245
",nearestNeighbors,100.27,1.041,96.0,1.08%,0.0,0.0,0.0,0.0
