Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.36,0.45,2024-11-14 00:52:07.110,0.0,2.97,2.39,0.24,0.21,76.05999999999999,32760,34216,0.0,0.01,42,0.01,0.0,78,0.02,0.01,55
8.18,0.77,2024-11-14 00:52:07.211,0.101,4.44,3.74,0.4,0.37,104.19999999999996,31824,36504,0.01,0.02,29,0.03,0.01,84,0.04,0.02,51
5.36,0.42,2024-11-14 00:52:07.311,0.201,2.97,2.39,0.23,0.19,60.32,33384,35464,0.01,0.0,75,0.01,0.0,49,0.01,0.01,68
5.02,0.39,2024-11-14 00:52:07.411,0.301,2.81,2.21,0.21,0.17,59.86,32864,35568,0.0,0.0,70,0.0,0.0,53,0.01,0.0,64
6.42,0.58,2024-11-14 00:52:07.510,0.4,3.52,2.91,0.31,0.27,57.33000000000001,33072,35776,0.0,0.0,60,0.01,0.0,72,0.02,0.0,66
6.4,0.54,2024-11-14 00:52:07.611,0.501,3.53,2.87,0.28,0.26,52.920000000000016,32448,35256,0.0,0.0,52,0.01,0.0,74,0.02,0.0,64
6.76,0.59,2024-11-14 00:52:07.720,0.61,3.73,3.04,0.32,0.27,56.73,32344,35568,0.0,0.0,56,0.02,0.0,78,0.02,0.01,64
7.84,0.76,2024-11-14 00:52:07.811,0.701,4.23,3.61,0.4,0.36,86.58,32760,36608,0.01,0.01,16,0.02,0.01,93,0.02,0.01,56
5.09,0.42,2024-11-14 00:52:07.912,0.802,2.85,2.24,0.24,0.18,37.209999999999994,32240,36088,0.0,0.0,77,0.01,0.0,52,0.01,0.0,68
4.51,0.3,2024-11-14 00:52:08.011,0.901,2.55,1.96,0.16,0.14,47.03,33072,36712,0.0,0.0,67,0.0,0.0,61,0.01,0.0,64
6.95,0.63,2024-11-14 00:52:08.112,1.002,3.84,3.11,0.34,0.29,52.970000000000006,32864,36192,0.0,0.0,68,0.0,0.0,60,0.01,0.0,65
4.78,0.35,2024-11-14 00:52:08.212,1.102,2.66,2.13,0.21,0.15,39.57,32968,35880,0.0,0.0,66,0.0,0.0,64,0.01,0.0,65
5.6,0.45,2024-11-14 00:52:08.313,1.203,3.1,2.5,0.25,0.2,51.610000000000035,32240,35464,0.0,0.0,63,0.01,0.0,72,0.02,0.0,67
6.92,0.62,2024-11-14 00:52:08.412,1.302,3.79,3.13,0.33,0.29,84.52000000000002,31824,35984,0.01,0.0,24,0.02,0.0,91,0.02,0.01,62
6.6,0.55,2024-11-14 00:52:08.513,1.403,3.65,2.94,0.29,0.26,53.980000000000004,32344,35568,0.0,0.0,63,0.02,0.0,77,0.02,0.0,71
6.44,0.58,2024-11-14 00:52:08.621,1.511,3.51,2.92,0.31,0.26,45.10999999999999,32968,35776,0.0,0.0,57,0.01,0.0,75,0.01,0.0,68
6.54,0.55,2024-11-14 00:52:08.713,1.603,3.61,2.93,0.29,0.26,46.12999999999999,31512,35048,0.0,0.0,68,0.01,0.0,69,0.01,0.0,69
5.1,0.38,2024-11-14 00:52:08.814,1.704,2.82,2.28,0.21,0.17,47.339999999999996,31720,35360,0.0,0.0,77,0.0,0.0,52,0.01,0.0,67
5.7,0.47,2024-11-14 00:52:08.914,1.804,3.18,2.52,0.26,0.21,55.91000000000001,30888,34944,0.0,0.0,85,0.01,0.0,46,0.02,0.01,69
5.66,0.46,2024-11-14 00:52:09.013,1.903,3.13,2.53,0.25,0.21,61.91999999999999,30784,34008,0.0,0.0,58,0.01,0.0,75,0.02,0.0,66
6.72,0.6,2024-11-14 00:52:09.114,2.004,3.66,3.05,0.32,0.27,98.64000000000003,31616,35048,0.01,0.0,51,0.02,0.0,89,0.02,0.01,72
4.75,0.34,2024-11-14 00:52:09.214,2.104,2.65,2.09,0.2,0.15,42.309999999999995,32240,34944,0.0,0.0,71,0.0,0.0,69,0.01,0.0,70
5.08,0.35,2024-11-14 00:52:09.315,2.205,2.81,2.27,0.19,0.16,39.430000000000014,32448,35152,0.0,0.0,71,0.0,0.0,68,0.01,0.0,69
5.56,0.45,2024-11-14 00:52:09.424,2.314,3.12,2.44,0.25,0.19,36.02000000000001,33384,35672,0.0,0.0,65,0.0,0.0,57,0.01,0.0,61
7.1,0.61,2024-11-14 00:52:09.515,2.405,3.89,3.21,0.32,0.29,59.82000000000001,33488,35256,0.0,0.0,73,0.02,0.0,75,0.02,0.01,74
6.78,0.59,2024-11-14 00:52:09.616,2.506,3.7,3.08,0.31,0.27,65.88,33800,35256,0.0,0.0,59,0.02,0.0,74,0.02,0.0,69
7.36,0.62,2024-11-14 00:52:09.715,2.605,4.01,3.35,0.32,0.3,108.74000000000001,33176,36816,0.01,0.0,34,0.01,0.01,92,0.02,0.01,70
4.77,0.37,2024-11-14 00:52:09.815,2.705,2.69,2.08,0.22,0.15,52.23999999999999,33488,36504,0.0,0.0,66,0.0,0.0,69,0.01,0.0,68
5.06,0.39,2024-11-14 00:52:09.920,2.81,2.82,2.23,0.22,0.17,46.04000000000001,32032,37024,0.0,0.0,70,0.0,0.0,60,0.01,0.0,66
5.1,0.41,2024-11-14 00:52:10.016,2.906,2.86,2.25,0.23,0.18,52.900000000000006,32656,37544,0.0,0.0,77,0.01,0.0,71,0.01,0.0,75
8.16,0.76,2024-11-14 00:52:10.116,3.006,4.46,3.7,0.41,0.35,40.62999999999998,32552,37232,0.0,0.0,74,0.0,0.0,62,0.01,0.0,68
5.61,0.45,2024-11-14 00:52:10.217,3.107,3.08,2.53,0.25,0.2,49.27,32552,37336,0.0,0.0,63,0.01,0.0,76,0.01,0.0,71
7.11,0.62,2024-11-14 00:52:10.325,3.215,3.94,3.16,0.33,0.29,73.08999999999996,32656,36608,0.0,0.0,39,0.01,0.0,88,0.02,0.01,70
5.77,0.46,2024-11-14 00:52:10.417,3.307,3.16,2.61,0.24,0.22,48.550000000000004,33072,36400,0.01,0.0,80,0.01,0.0,62,0.01,0.01,73
6.6,0.59,2024-11-14 00:52:10.517,3.407,3.62,2.98,0.32,0.26,58.78000000000002,32760,36608,0.0,0.0,69,0.02,0.0,75,0.02,0.0,73
6.0,0.51,2024-11-14 00:52:10.617,3.507,3.31,2.69,0.28,0.22,72.45000000000002,32760,35672,0.0,0.0,70,0.01,0.0,73,0.01,0.0,72
5.08,0.41,2024-11-14 00:52:10.717,3.607,2.84,2.23,0.23,0.17,39.47999999999999,32864,35360,0.0,0.0,69,0.0,0.0,64,0.01,0.0,67
5.73,0.48,2024-11-14 00:52:10.817,3.707,3.18,2.55,0.27,0.21,53.48000000000003,32656,35256,0.0,0.0,66,0.01,0.0,77,0.01,0.0,72
5.85,0.5,2024-11-14 00:52:10.917,3.807,3.24,2.61,0.28,0.23,56.06999999999998,32032,33488,0.0,0.0,44,0.01,0.0,87,0.01,0.0,66
7.71,0.7,2024-11-14 00:52:11.018,3.908,4.18,3.53,0.36,0.34,76.81,32968,34112,0.0,0.0,61,0.01,0.0,88,0.02,0.01,80
5.64,0.44,2024-11-14 00:52:11.126,4.016,3.12,2.52,0.24,0.2,41.02,33072,34320,0.0,0.0,65,0.0,0.0,68,0.01,0.0,66
5.4,0.43,2024-11-14 00:52:11.218,4.108,2.99,2.4,0.24,0.19,40.51,33072,34736,0.0,0.0,74,0.01,0.0,70,0.01,0.0,72
5.01,0.36,2024-11-14 00:52:11.319,4.209,2.81,2.19,0.21,0.15,39.84,32968,34216,0.0,0.0,74,0.0,0.0,63,0.01,0.0,69
4.98,0.34,2024-11-14 00:52:11.418,4.308,2.76,2.21,0.19,0.15,43.629999999999995,32968,34736,0.0,0.0,90,0.0,0.0,33,0.01,0.0,66
9.69,0.95,2024-11-14 00:52:11.519,4.409,5.25,4.45,0.49,0.46,95.13999999999999,31824,34320,0.0,0.0,48,0.03,0.0,86,0.04,0.01,74
7.85,0.72,2024-11-14 00:52:11.619,4.509,4.3,3.56,0.37,0.35,104.99000000000002,31616,35776,0.01,0.0,36,0.02,0.01,91,0.02,0.01,74
4.8,0.39,2024-11-14 00:52:11.721,4.611,2.67,2.14,0.22,0.17,46.22000000000002,31824,35568,0.0,0.0,72,0.0,0.0,70,0.01,0.0,71
5.65,0.48,2024-11-14 00:52:11.820,4.71,3.13,2.51,0.27,0.21,49.53999999999999,32240,35464,0.0,0.0,72,0.0,0.0,67,0.01,0.0,70
4.85,0.38,2024-11-14 00:52:11.919,4.809,2.72,2.13,0.22,0.16,42.11000000000001,32240,35984,0.0,0.0,68,0.0,0.0,63,0.01,0.0,66
5.7,0.45,2024-11-14 00:52:12.029,4.919,3.18,2.52,0.25,0.2,33.82000000000003,32136,36296,0.0,0.0,77,0.0,0.0,69,0.01,0.0,73
5.35,0.44,2024-11-14 00:52:12.120,5.01,2.95,2.39,0.24,0.2,60.37999999999998,32344,36816,0.0,0.0,68,0.02,0.0,74,0.02,0.0,71
7.28,0.67,2024-11-14 00:52:12.220,5.11,3.96,3.31,0.36,0.31,89.51,31720,36712,0.0,0.0,33,0.02,0.0,92,0.02,0.01,72
4.82,0.3,2024-11-14 00:52:12.321,5.211,2.72,2.1,0.17,0.13,44.46,30992,36608,0.0,0.0,71,0.0,0.0,67,0.01,0.0,69
4.79,0.34,2024-11-14 00:52:12.421,5.311,2.67,2.12,0.2,0.15,47.679999999999986,31720,35776,0.0,0.0,76,0.0,0.0,69,0.01,0.0,72
7.02,0.6,2024-11-14 00:52:12.521,5.411,3.84,3.18,0.32,0.28,62.95,31304,35880,0.0,0.0,65,0.02,0.0,76,0.02,0.0,72
5.8,0.45,2024-11-14 00:52:12.621,5.511,3.19,2.61,0.25,0.2,50.090000000000025,31512,34944,0.0,0.0,72,0.01,0.0,75,0.01,0.0,74
6.16,0.54,2024-11-14 00:52:12.722,5.612,3.41,2.75,0.3,0.24,51.38,32136,35568,0.0,0.0,73,0.01,0.0,72,0.01,0.0,73
7.6,0.68,2024-11-14 00:52:12.830,5.72,4.16,3.44,0.36,0.32,58.660000000000025,32448,32760,0.0,0.0,44,0.01,0.0,88,0.02,0.01,72
7.42,0.7,2024-11-14 00:52:12.922,5.812,4.06,3.36,0.37,0.33,88.42999999999999,32864,34528,0.0,0.0,73,0.01,0.0,87,0.01,0.01,82
5.09,0.37,2024-11-14 00:52:13.022,5.912,2.83,2.26,0.21,0.16,35.849999999999994,32864,33696,0.0,0.0,74,0.0,0.0,65,0.01,0.0,70
4.9,0.38,2024-11-14 00:52:13.127,6.017,2.74,2.17,0.21,0.16,40.429999999999986,32448,33800,0.0,0.0,65,0.01,0.0,68,0.01,0.0,66
5.19,0.37,2024-11-14 00:52:13.223,6.113,2.9,2.3,0.21,0.15,49.930000000000014,32552,34112,0.0,0.0,74,0.01,0.0,65,0.01,0.0,70
4.88,0.35,2024-11-14 00:52:13.323,6.213,2.74,2.14,0.19,0.16,39.55,32864,33904,0.0,0.0,74,0.0,0.0,62,0.01,0.0,67
5.83,0.46,2024-11-14 00:52:13.424,6.314,3.2,2.63,0.26,0.21,72.72000000000003,32968,33488,0.0,0.0,81,0.02,0.0,53,0.02,0.0,66
9.0,0.86,2024-11-14 00:52:13.524,6.414,4.87,4.13,0.45,0.41,119.12,33176,35776,0.01,0.0,45,0.03,0.01,89,0.03,0.01,75
5.57,0.45,2024-11-14 00:52:13.623,6.513,3.08,2.49,0.26,0.19,50.34999999999999,34112,36088,0.0,0.0,63,0.01,0.0,74,0.01,0.0,70
4.9,0.38,2024-11-14 00:52:13.733,6.623,2.73,2.17,0.22,0.16,36.68999999999998,33904,35464,0.0,0.0,67,0.0,0.0,59,0.01,0.0,63
7.5,0.7,2024-11-14 00:52:13.824,6.714,4.12,3.37,0.38,0.32,45.47999999999999,33696,36296,0.0,0.0,76,0.01,0.0,72,0.01,0.0,74
4.91,0.38,2024-11-14 00:52:13.924,6.814,2.76,2.16,0.22,0.16,49.09000000000001,33280,35776,0.0,0.0,71,0.0,0.0,65,0.01,0.0,68
5.46,0.4,2024-11-14 00:52:14.025,6.915,3.0,2.46,0.21,0.19,50.54000000000001,33696,35568,0.0,0.0,72,0.01,0.0,77,0.01,0.0,75
8.43,0.76,2024-11-14 00:52:14.125,7.015,4.57,3.86,0.39,0.37,89.55000000000001,33904,37336,0.0,0.0,32,0.01,0.01,93,0.02,0.01,74
4.82,0.34,2024-11-14 00:52:14.226,7.116,2.72,2.11,0.19,0.15,45.36,33800,37232,0.0,0.0,71,0.0,0.0,70,0.01,0.0,70
4.81,0.31,2024-11-14 00:52:14.325,7.215,2.68,2.12,0.17,0.14,39.839999999999996,34736,36400,0.0,0.0,71,0.0,0.0,63,0.01,0.0,67
5.59,0.43,2024-11-14 00:52:14.426,7.316,3.1,2.49,0.24,0.19,46.28000000000001,34944,36816,0.0,0.0,85,0.0,0.0,57,0.01,0.0,74
6.95,0.58,2024-11-14 00:52:14.534,7.424,3.78,3.17,0.31,0.28,68.06,35152,36192,0.0,0.0,71,0.02,0.0,74,0.02,0.0,72
6.11,0.51,2024-11-14 00:52:14.626,7.516,3.38,2.73,0.28,0.23,56.41,34840,36192,0.0,0.0,73,0.01,0.0,80,0.02,0.0,78
7.63,0.7,2024-11-14 00:52:14.726,7.616,4.2,3.44,0.37,0.32,64.58000000000001,34840,36400,0.0,0.0,32,0.01,0.0,90,0.02,0.0,68
7.35,0.68,2024-11-14 00:52:14.826,7.716,4.04,3.31,0.37,0.31,74.04999999999998,34528,36712,0.0,0.0,73,0.01,0.0,82,0.01,0.0,79
5.09,0.36,2024-11-14 00:52:14.927,7.817,2.84,2.25,0.2,0.16,44.029999999999994,34528,36088,0.0,0.0,74,0.0,0.0,68,0.01,0.0,71
5.2,0.43,2024-11-14 00:52:15.027,7.917,2.91,2.29,0.25,0.19,42.60999999999999,34320,36504,0.0,0.0,72,0.0,0.0,60,0.01,0.0,66
