Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
5.76,0.51,2024-11-15 00:14:07.398,0.0,3.26,2.5,0.29,0.22,77.22000000000003,33800,34944,0.01,0.01,37,0.02,0.0,79,0.02,0.01,52
8.29,0.82,2024-11-15 00:14:07.499,0.101,4.5,3.79,0.44,0.38,104.76999999999998,33696,34008,0.01,0.02,18,0.02,0.01,82,0.04,0.02,42
4.52,0.36,2024-11-15 00:14:07.599,0.201,2.51,2.01,0.21,0.14,53.57999999999999,33384,34112,0.0,0.0,63,0.01,0.0,55,0.01,0.0,60
4.91,0.37,2024-11-15 00:14:07.699,0.301,2.76,2.15,0.21,0.16,51.27000000000001,33384,33384,0.0,0.0,58,0.01,0.0,55,0.01,0.0,57
6.14,0.53,2024-11-15 00:14:07.799,0.401,3.36,2.79,0.28,0.25,62.739999999999995,32968,33176,0.0,0.0,47,0.01,0.0,74,0.02,0.0,60
6.22,0.53,2024-11-15 00:14:07.900,0.502,3.43,2.79,0.29,0.24,53.959999999999994,32760,32552,0.0,0.0,48,0.01,0.0,75,0.01,0.0,61
6.04,0.53,2024-11-15 00:14:08.009,0.611,3.32,2.71,0.3,0.23,57.03999999999999,32240,31304,0.0,0.0,48,0.01,0.0,83,0.02,0.01,61
7.31,0.69,2024-11-15 00:14:08.100,0.702,3.95,3.36,0.37,0.32,85.53999999999999,32656,36296,0.01,0.01,14,0.02,0.01,94,0.02,0.01,57
4.81,0.39,2024-11-15 00:14:08.200,0.802,2.67,2.13,0.22,0.16,37.91999999999999,32760,36296,0.0,0.0,53,0.01,0.0,79,0.01,0.0,67
5.62,0.46,2024-11-15 00:14:08.301,0.903,3.11,2.51,0.26,0.2,41.67999999999998,32864,36192,0.0,0.0,69,0.0,0.0,67,0.01,0.0,68
