time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 06:09:25.419201
",convexHull,4918.18,20.41,96.0,21.26%,0.0,0.0,0.00043773651123046875,0.0
"2025-02-17 06:09:25.419201
",x265,3186.38,1.955,96.0,2.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:27.766835
",convexHull,2632.18,34.54,96.0,35.98%,0.0,0.0,0.2470703125,0.0
"2025-02-17 06:09:27.766835
",x265,4169.01,2.884,96.0,3.00%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:29.777016
",convexHull,41.12,34.55,96.0,35.99%,0.0,0.0,1.27,0.0
"2025-02-17 06:09:29.777016
",x265,4764.30,2.885,96.0,3.00%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:31.787411
",convexHull,37.29,34.55,96.0,35.99%,0.0,0.0,2.22,0.0
"2025-02-17 06:09:31.787411
",x265,4540.58,2.886,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:33.796991
",convexHull,28.32,34.55,96.0,35.99%,0.0,0.0,2.89,0.0
"2025-02-17 06:09:33.796991
",x265,4730.75,2.887,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:35.804557
",convexHull,28.63,34.55,96.0,35.99%,0.0,0.0,3.56,0.0
"2025-02-17 06:09:35.804557
",x265,4447.59,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:37.813057
",convexHull,29.91,34.55,96.0,35.99%,0.0,0.0,4.24,0.0
"2025-02-17 06:09:37.813057
",x265,4766.19,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:39.821677
",convexHull,41.73,34.56,96.0,36.00%,0.0,0.0,5.21,0.0
"2025-02-17 06:09:39.821677
",x265,4827.53,2.915,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:41.830826
",convexHull,46.57,34.56,96.0,36.00%,0.0,0.0,6.26,0.0
"2025-02-17 06:09:41.830826
",x265,4396.97,2.913,96.0,3.03%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:43.838870
",convexHull,28.57,34.56,96.0,36.00%,0.0,0.0,6.99,0.0
"2025-02-17 06:09:43.838870
",x265,4766.36,2.919,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:45.847127
",convexHull,27.61,34.56,96.0,36.00%,0.0,0.0,7.66,0.0
"2025-02-17 06:09:45.847127
",x265,4123.18,2.917,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:47.857997
",convexHull,28.59,34.57,96.0,36.01%,0.0,0.0,8.34,0.0
"2025-02-17 06:09:47.857997
",x265,4296.21,2.917,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:49.864835
",convexHull,41.37,34.57,96.0,36.01%,0.0,0.0,9.21,0.0
"2025-02-17 06:09:49.864835
",x265,4543.37,2.917,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:51.874283
",convexHull,46.64,34.57,96.0,36.01%,0.0,0.0,10.3,0.0
"2025-02-17 06:09:51.874283
",x265,4404.06,2.922,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:53.884538
",convexHull,30.64,34.57,96.0,36.01%,0.0,0.0,11.1,0.0
"2025-02-17 06:09:53.884538
",x265,4721.89,2.922,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:55.894040
",convexHull,31.09,34.57,96.0,36.01%,0.0,0.0,11.8,0.0
"2025-02-17 06:09:55.894040
",x265,4498.56,2.922,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:57.903373
",convexHull,29.70,34.57,96.0,36.01%,0.0,0.0,12.5,0.0
"2025-02-17 06:09:57.903373
",x265,4886.06,2.922,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:09:59.910623
",convexHull,41.37,34.57,96.0,36.01%,0.0,0.0,13.3,0.0
"2025-02-17 06:09:59.910623
",x265,4725.64,2.922,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:10:01.918615
",convexHull,46.94,34.57,96.0,36.01%,0.0,0.0,14.3,0.0
"2025-02-17 06:10:01.918615
",x265,4711.16,2.933,96.0,3.06%,0.0,0.0,0.0,0.0
"2025-02-17 06:10:03.929150
",convexHull,35.80,34.58,96.0,36.02%,0.0,0.0,15.2,0.0
"2025-02-17 06:10:03.929150
",x265,4821.80,2.941,96.0,3.06%,0.0,0.0,0.0,0.0
"2025-02-17 06:10:05.936926
",convexHull,29.66,34.58,96.0,36.02%,0.0,0.0,15.9,0.0
"2025-02-17 06:10:05.936926
",x265,4517.92,2.975,96.0,3.10%,0.0,0.0,0.0,0.0
"2025-02-17 06:10:07.946767
",convexHull,28.48,34.58,96.0,36.02%,0.0,0.0,16.6,0.0
"2025-02-17 06:10:07.946767
",x265,4563.52,2.99,96.0,3.11%,0.0,0.0,0.0,0.0
"2025-02-17 06:10:09.955674
",convexHull,31.88,34.58,96.0,36.02%,0.0,0.0,17.3,0.0
"2025-02-17 06:10:09.955674
",x265,4236.52,2.991,96.0,3.12%,0.0,0.0,0.0,0.0
"2025-02-17 06:10:11.967046
",convexHull,38.31,34.58,96.0,36.02%,0.0,0.0,18.3,0.0
"2025-02-17 06:10:11.967046
",x265,975.46,0.74453125,96.0,0.78%,0.0,0.0,0.0,0.00037097930908203125
"2025-02-17 06:10:13.980571
",convexHull,40.52,34.58,96.0,36.02%,0.0,0.0,19.4,0.0
"2025-02-17 06:10:13.980571
",x265,4017.40,2.673,96.0,2.78%,0.0,0.0,0.0,0.00037097930908203125
"2025-02-17 06:10:15.990587
",convexHull,28.90,34.59,96.0,36.03%,0.0,0.0,20.0,0.0
"2025-02-17 06:10:15.990587
",x265,4454.27,2.886,96.0,3.01%,0.0,0.0,0.0,0.00037097930908203125
"2025-02-17 06:10:18.000273
",convexHull,28.58,34.59,96.0,36.03%,0.0,0.0,20.7,0.0
"2025-02-17 06:10:18.000273
",x265,4314.29,2.887,96.0,3.01%,0.0,0.0,0.0,0.00037097930908203125
"2025-02-17 06:10:20.011634
",convexHull,27.72,34.59,96.0,36.03%,0.0,0.0,21.4,0.0
"2025-02-17 06:10:20.011634
",x265,4223.98,2.887,96.0,3.01%,0.0,0.0,0.0,0.00037097930908203125
"2025-02-17 06:10:22.018931
",convexHull,44.43,34.59,96.0,36.03%,0.0,0.0,22.4,0.0
"2025-02-17 06:10:22.018931
",x265,4308.23,2.889,96.0,3.01%,0.0,0.0,0.0,0.00037097930908203125
"2025-02-17 06:10:24.028310
",convexHull,45.71,34.59,96.0,36.03%,0.0,0.0,23.4,0.0
"2025-02-17 06:10:24.028310
",x265,4600.77,2.889,96.0,3.01%,0.0,0.0,0.0,0.00037097930908203125
"2025-02-17 06:10:26.036209
",convexHull,28.79,34.6,96.0,36.04%,0.0,0.0,24.2,0.0
"2025-02-17 06:10:26.036209
",x265,4525.14,2.889,96.0,3.01%,0.0,0.0,0.0,0.00037097930908203125
"2025-02-17 06:10:28.045300
",convexHull,30.65,34.6,96.0,36.04%,0.0,0.0,24.9,0.0
"2025-02-17 06:10:28.045300
",x265,4632.47,2.913,96.0,3.03%,0.0,0.0,0.0,0.00037097930908203125
