Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.55,1.41,2025-02-17 06:09:06.401,0.0,4.88,4.67,0.73,0.69,14.190000000000003,35568,35880,0.0,0.0,67,0.0,0.0,55,0.0,0.0,62
9.39,1.39,2025-02-17 06:09:06.501,0.1,4.78,4.61,0.71,0.68,24.569999999999997,35360,35880,0.0,0.0,80,0.0,0.0,34,0.01,0.0,61
9.47,1.4,2025-02-17 06:09:06.601,0.2,4.87,4.6,0.72,0.68,21.049999999999997,35152,35880,0.0,0.0,61,0.0,0.0,55,0.0,0.0,59
9.41,1.4,2025-02-17 06:09:06.701,0.3,4.8,4.61,0.72,0.68,17.19,34736,35672,0.0,0.0,70,0.0,0.0,55,0.0,0.0,63
9.47,1.39,2025-02-17 06:09:06.802,0.401,4.87,4.59,0.71,0.68,22.849999999999973,34944,35672,0.0,0.0,33,0.0,0.0,88,0.01,0.0,62
9.79,1.41,2025-02-17 06:09:06.902,0.501,4.89,4.9,0.72,0.69,50.11999999999999,34632,34216,0.01,0.01,4,0.01,0.01,93,0.02,0.02,49
9.46,1.4,2025-02-17 06:09:07.002,0.601,4.81,4.65,0.71,0.68,17.23000000000001,34840,34320,0.0,0.0,56,0.0,0.0,53,0.0,0.0,54
9.43,1.4,2025-02-17 06:09:07.103,0.702,4.82,4.61,0.71,0.69,16.220000000000002,34840,34216,0.0,0.0,49,0.0,0.0,55,0.0,0.0,52
9.44,1.4,2025-02-17 06:09:07.203,0.802,4.82,4.62,0.72,0.69,18.839999999999968,34840,34216,0.0,0.0,50,0.0,0.0,56,0.0,0.0,52
9.5,1.4,2025-02-17 06:09:07.303,0.902,4.81,4.69,0.72,0.69,16.41,34736,34216,0.0,0.0,58,0.0,0.0,53,0.0,0.0,56
