mode,batch_size,query_start,query_end,query_time
IVF,64,2025-02-17 05:06:42.000151,2025-02-17 05:06:42.681851,0 days 00:00:00.681700
IVF,64,2025-02-17 05:06:42.681948,2025-02-17 05:06:44.296457,0 days 00:00:01.614509
IVF,64,2025-02-17 05:06:44.296531,2025-02-17 05:06:45.549412,0 days 00:00:01.252881
IVF,64,2025-02-17 05:06:45.549470,2025-02-17 05:06:47.040154,0 days 00:00:01.490684
IVF,64,2025-02-17 05:06:47.040224,2025-02-17 05:06:48.334900,0 days 00:00:01.294676
IVF,64,2025-02-17 05:06:48.334974,2025-02-17 05:06:49.408693,0 days 00:00:01.073719
IVF,64,2025-02-17 05:06:49.408748,2025-02-17 05:06:50.439538,0 days 00:00:01.030790
IVF,64,2025-02-17 05:06:50.439591,2025-02-17 05:06:51.576236,0 days 00:00:01.136645
IVF,64,2025-02-17 05:06:51.576330,2025-02-17 05:06:52.654172,0 days 00:00:01.077842
IVF,64,2025-02-17 05:06:52.654245,2025-02-17 05:06:54.083179,0 days 00:00:01.428934
IVF,64,2025-02-17 05:06:54.083269,2025-02-17 05:06:55.075988,0 days 00:00:00.992719
IVF,64,2025-02-17 05:06:55.076063,2025-02-17 05:06:56.207901,0 days 00:00:01.131838
IVF,64,2025-02-17 05:06:56.207969,2025-02-17 05:06:57.555703,0 days 00:00:01.347734
IVF,64,2025-02-17 05:06:57.555798,2025-02-17 05:06:58.623689,0 days 00:00:01.067891
IVF,64,2025-02-17 05:06:58.623745,2025-02-17 05:06:59.706029,0 days 00:00:01.082284
IVF,64,2025-02-17 05:06:59.706129,2025-02-17 05:07:00.656504,0 days 00:00:00.950375
IVF,64,2025-02-17 05:07:00.656587,2025-02-17 05:07:01.656620,0 days 00:00:01.000033
IVF,64,2025-02-17 05:07:01.656673,2025-02-17 05:07:02.706725,0 days 00:00:01.050052
IVF,64,2025-02-17 05:07:02.706821,2025-02-17 05:07:03.765543,0 days 00:00:01.058722
IVF,64,2025-02-17 05:07:03.765620,2025-02-17 05:07:04.819190,0 days 00:00:01.053570
IVF,64,2025-02-17 05:07:04.819259,2025-02-17 05:07:05.875380,0 days 00:00:01.056121
IVF,64,2025-02-17 05:07:05.875437,2025-02-17 05:07:06.941769,0 days 00:00:01.066332
IVF,64,2025-02-17 05:07:06.941822,2025-02-17 05:07:08.048518,0 days 00:00:01.106696
IVF,64,2025-02-17 05:07:08.048619,2025-02-17 05:07:09.547936,0 days 00:00:01.499317
IVF,64,2025-02-17 05:07:09.548035,2025-02-17 05:07:10.785987,0 days 00:00:01.237952
IVF,64,2025-02-17 05:07:10.786061,2025-02-17 05:07:12.046603,0 days 00:00:01.260542
IVF,64,2025-02-17 05:07:12.046671,2025-02-17 05:07:13.169834,0 days 00:00:01.123163
IVF,64,2025-02-17 05:07:13.169902,2025-02-17 05:07:14.428734,0 days 00:00:01.258832
IVF,64,2025-02-17 05:07:14.428790,2025-02-17 05:07:15.606753,0 days 00:00:01.177963
IVF,64,2025-02-17 05:07:15.606813,2025-02-17 05:07:16.747560,0 days 00:00:01.140747
IVF,64,2025-02-17 05:07:16.747631,2025-02-17 05:07:18.004223,0 days 00:00:01.256592
IVF,64,2025-02-17 05:07:18.004278,2025-02-17 05:07:19.168665,0 days 00:00:01.164387
IVF,64,2025-02-17 05:07:19.168737,2025-02-17 05:07:20.429573,0 days 00:00:01.260836
IVF,64,2025-02-17 05:07:20.429637,2025-02-17 05:07:21.641288,0 days 00:00:01.211651
IVF,64,2025-02-17 05:07:21.641376,2025-02-17 05:07:22.831092,0 days 00:00:01.189716
IVF,64,2025-02-17 05:07:22.831156,2025-02-17 05:07:24.050007,0 days 00:00:01.218851
IVF,64,2025-02-17 05:07:24.050080,2025-02-17 05:07:25.253176,0 days 00:00:01.203096
IVF,64,2025-02-17 05:07:25.253240,2025-02-17 05:07:26.407239,0 days 00:00:01.153999
IVF,64,2025-02-17 05:07:26.407294,2025-02-17 05:07:27.682550,0 days 00:00:01.275256
IVF,64,2025-02-17 05:07:27.682603,2025-02-17 05:07:28.923739,0 days 00:00:01.241136
IVF,64,2025-02-17 05:07:28.923790,2025-02-17 05:07:30.119950,0 days 00:00:01.196160
IVF,64,2025-02-17 05:07:30.120018,2025-02-17 05:07:31.287872,0 days 00:00:01.167854
IVF,64,2025-02-17 05:07:31.287937,2025-02-17 05:07:32.377288,0 days 00:00:01.089351
IVF,64,2025-02-17 05:07:32.377367,2025-02-17 05:07:33.514634,0 days 00:00:01.137267
IVF,64,2025-02-17 05:07:33.514688,2025-02-17 05:07:34.691624,0 days 00:00:01.176936
IVF,64,2025-02-17 05:07:34.691699,2025-02-17 05:07:35.819626,0 days 00:00:01.127927
IVF,64,2025-02-17 05:07:35.819678,2025-02-17 05:07:37.042191,0 days 00:00:01.222513
IVF,64,2025-02-17 05:07:37.042251,2025-02-17 05:07:38.168481,0 days 00:00:01.126230
IVF,64,2025-02-17 05:07:38.168547,2025-02-17 05:07:39.319446,0 days 00:00:01.150899
IVF,64,2025-02-17 05:07:39.319509,2025-02-17 05:07:40.488465,0 days 00:00:01.168956
IVF,64,2025-02-17 05:07:40.488516,2025-02-17 05:07:41.638507,0 days 00:00:01.149991
IVF,64,2025-02-17 05:07:41.638555,2025-02-17 05:07:42.776980,0 days 00:00:01.138425
IVF,64,2025-02-17 05:07:42.777078,2025-02-17 05:07:43.932751,0 days 00:00:01.155673
IVF,64,2025-02-17 05:07:43.932842,2025-02-17 05:07:45.103750,0 days 00:00:01.170908
IVF,64,2025-02-17 05:07:45.103806,2025-02-17 05:07:46.250961,0 days 00:00:01.147155
IVF,64,2025-02-17 05:07:46.251017,2025-02-17 05:07:47.415236,0 days 00:00:01.164219
IVF,64,2025-02-17 05:07:47.415306,2025-02-17 05:07:48.590226,0 days 00:00:01.174920
IVF,64,2025-02-17 05:07:48.590310,2025-02-17 05:07:49.735161,0 days 00:00:01.144851
IVF,64,2025-02-17 05:07:49.735234,2025-02-17 05:07:50.918085,0 days 00:00:01.182851
IVF,64,2025-02-17 05:07:50.918149,2025-02-17 05:07:52.027926,0 days 00:00:01.109777
IVF,64,2025-02-17 05:07:52.028001,2025-02-17 05:07:53.208520,0 days 00:00:01.180519
IVF,64,2025-02-17 05:07:53.208572,2025-02-17 05:07:54.392667,0 days 00:00:01.184095
IVF,64,2025-02-17 05:07:54.392727,2025-02-17 05:07:55.602848,0 days 00:00:01.210121
IVF,64,2025-02-17 05:07:55.602904,2025-02-17 05:07:56.785208,0 days 00:00:01.182304
IVF,64,2025-02-17 05:07:56.785265,2025-02-17 05:07:57.885956,0 days 00:00:01.100691
IVF,64,2025-02-17 05:07:57.886008,2025-02-17 05:07:58.912698,0 days 00:00:01.026690
IVF,64,2025-02-17 05:07:58.912749,2025-02-17 05:08:00.100878,0 days 00:00:01.188129
IVF,64,2025-02-17 05:08:00.100930,2025-02-17 05:08:01.282932,0 days 00:00:01.182002
IVF,64,2025-02-17 05:08:01.282998,2025-02-17 05:08:02.399850,0 days 00:00:01.116852
IVF,64,2025-02-17 05:08:02.399911,2025-02-17 05:08:03.549361,0 days 00:00:01.149450
IVF,64,2025-02-17 05:08:03.549428,2025-02-17 05:08:04.705092,0 days 00:00:01.155664
IVF,64,2025-02-17 05:08:04.705143,2025-02-17 05:08:05.862672,0 days 00:00:01.157529
IVF,64,2025-02-17 05:08:05.862730,2025-02-17 05:08:07.072034,0 days 00:00:01.209304
IVF,64,2025-02-17 05:08:07.072111,2025-02-17 05:08:08.217357,0 days 00:00:01.145246
IVF,64,2025-02-17 05:08:08.217404,2025-02-17 05:08:09.337436,0 days 00:00:01.120032
IVF,64,2025-02-17 05:08:09.337579,2025-02-17 05:08:10.522093,0 days 00:00:01.184514
IVF,64,2025-02-17 05:08:10.522146,2025-02-17 05:08:11.708366,0 days 00:00:01.186220
IVF,64,2025-02-17 05:08:11.708426,2025-02-17 05:08:12.850367,0 days 00:00:01.141941
IVF,64,2025-02-17 05:08:12.850438,2025-02-17 05:08:14.023287,0 days 00:00:01.172849
IVF,64,2025-02-17 05:08:14.023361,2025-02-17 05:08:15.225476,0 days 00:00:01.202115
IVF,64,2025-02-17 05:08:15.225539,2025-02-17 05:08:16.431932,0 days 00:00:01.206393
IVF,64,2025-02-17 05:08:16.431986,2025-02-17 05:08:17.626829,0 days 00:00:01.194843
IVF,64,2025-02-17 05:08:17.626882,2025-02-17 05:08:18.850972,0 days 00:00:01.224090
IVF,64,2025-02-17 05:08:18.851036,2025-02-17 05:08:20.016375,0 days 00:00:01.165339
