Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.62,1.41,2025-02-17 05:01:23.952,0.0,4.9,4.72,0.72,0.69,12.650000000000011,35256,34008,0.0,0.0,66,0.0,0.0,56,0.0,0.0,61
9.4,1.4,2025-02-17 05:01:24.053,0.101,4.8,4.6,0.72,0.68,15.77999999999999,35256,34008,0.0,0.0,81,0.0,0.0,38,0.0,0.0,64
9.42,1.4,2025-02-17 05:01:24.153,0.201,4.82,4.6,0.72,0.68,17.049999999999997,35256,34008,0.0,0.0,67,0.0,0.0,46,0.0,0.0,57
9.41,1.4,2025-02-17 05:01:24.253,0.301,4.8,4.6,0.72,0.68,18.560000000000006,35672,34008,0.0,0.0,73,0.0,0.0,36,0.01,0.0,56
9.49,1.41,2025-02-17 05:01:24.354,0.402,4.84,4.64,0.72,0.68,29.45000000000001,36088,33800,0.0,0.0,70,0.01,0.0,44,0.01,0.0,58
9.61,1.39,2025-02-17 05:01:24.453,0.501,4.76,4.85,0.71,0.68,28.609999999999992,36192,33488,0.0,0.0,31,0.0,0.0,77,0.01,0.0,58
9.61,1.4,2025-02-17 05:01:24.552,0.6,4.76,4.84,0.72,0.68,42.35,35880,34008,0.01,0.01,6,0.01,0.0,94,0.02,0.01,45
9.33,1.39,2025-02-17 05:01:24.652,0.7,4.77,4.56,0.71,0.67,14.94000000000001,35880,33904,0.0,0.0,56,0.0,0.0,51,0.0,0.0,53
9.39,1.4,2025-02-17 05:01:24.752,0.8,4.79,4.59,0.72,0.68,17.58,35776,33904,0.0,0.0,61,0.0,0.0,46,0.0,0.0,53
9.41,1.4,2025-02-17 05:01:24.852,0.9,4.81,4.59,0.72,0.68,16.260000000000016,36088,33800,0.0,0.0,75,0.0,0.0,57,0.0,0.0,67
9.36,1.4,2025-02-17 05:01:24.952,1.0,4.81,4.55,0.72,0.67,13.850000000000016,35984,33800,0.0,0.0,69,0.0,0.0,49,0.0,0.0,59
9.43,1.4,2025-02-17 05:01:25.053,1.101,4.82,4.61,0.72,0.68,20.389999999999965,35880,33904,0.0,0.0,34,0.0,0.0,77,0.0,0.0,56
9.59,1.41,2025-02-17 05:01:25.153,1.201,4.81,4.78,0.72,0.69,39.91000000000001,35776,33384,0.0,0.01,8,0.01,0.0,92,0.01,0.01,46
9.42,1.4,2025-02-17 05:01:25.253,1.301,4.81,4.61,0.72,0.68,17.06000000000001,35776,33280,0.0,0.0,76,0.0,0.0,44,0.0,0.0,62
9.41,1.4,2025-02-17 05:01:25.354,1.402,4.81,4.6,0.72,0.68,16.810000000000013,35672,33176,0.0,0.0,56,0.0,0.0,48,0.0,0.0,52
9.6,1.4,2025-02-17 05:01:25.454,1.502,4.81,4.79,0.72,0.68,27.57000000000003,35568,32864,0.0,0.0,44,0.0,0.0,66,0.0,0.0,59
9.37,1.4,2025-02-17 05:01:25.554,1.602,4.8,4.57,0.72,0.68,14.800000000000008,35464,32968,0.0,0.0,62,0.0,0.0,46,0.0,0.0,53
9.41,1.4,2025-02-17 05:01:25.655,1.703,4.8,4.6,0.72,0.68,21.169999999999973,35568,32448,0.0,0.0,43,0.0,0.0,77,0.0,0.0,62
9.57,1.39,2025-02-17 05:01:25.754,1.802,4.77,4.79,0.71,0.68,39.74000000000001,35464,32656,0.0,0.0,14,0.01,0.0,91,0.01,0.01,55
9.3,1.38,2025-02-17 05:01:25.853,1.901,4.75,4.55,0.71,0.67,14.01000000000001,35360,32448,0.0,0.0,62,0.0,0.0,52,0.0,0.0,56
