time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 04:52:13.523231
",llama,21.31,0.067822265625,96.0,0.07%,0.0,0.0,0.6474609375,0.0
"2025-02-17 04:52:13.523231
",x265,4020.48,2.279,96.0,2.37%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:15.867711
",llama,22.86,0.073056640625,96.0,0.08%,0.0,0.0,1.55,0.0
"2025-02-17 04:52:15.867711
",x265,3052.37,2.875,96.0,2.99%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:17.879829
",llama,27.84,0.0784375,96.0,0.08%,0.0,0.0,2.54,0.0
"2025-02-17 04:52:17.879829
",x265,4734.74,2.886,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:19.888888
",llama,19.94,0.08380859375,96.0,0.09%,0.0,0.0,3.32,0.0
"2025-02-17 04:52:19.888888
",x265,4682.85,2.887,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:21.898531
",llama,19.44,0.086357421875,96.0,0.09%,0.0,0.0,4.06,0.0
"2025-02-17 04:52:21.898531
",x265,4671.18,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:23.910067
",llama,24.26,0.090126953125,96.0,0.09%,0.0,0.0,4.95,0.0
"2025-02-17 04:52:23.910067
",x265,4729.32,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:25.920022
",llama,24.48,0.093916015625,96.0,0.10%,0.0,0.0,5.91,0.0
"2025-02-17 04:52:25.920022
",x265,4713.75,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:27.928681
",llama,23.27,0.097470703125,96.0,0.10%,0.0,0.0,6.85,0.0
"2025-02-17 04:52:27.928681
",x265,4503.15,2.903,96.0,3.02%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:29.936411
",llama,24.71,0.10068359375,96.0,0.10%,0.0,0.0,7.79,0.0
"2025-02-17 04:52:29.936411
",x265,4516.64,2.915,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:31.944755
",llama,25.11,0.1060546875,96.0,0.11%,0.0,0.0,8.8,0.0
"2025-02-17 04:52:31.944755
",x265,4470.50,2.92,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:33.957721
",llama,22.87,0.11015625,96.0,0.11%,0.0,0.0,9.75,0.0
"2025-02-17 04:52:33.957721
",x265,4716.96,2.921,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:35.969231
",llama,22.56,0.1138671875,96.0,0.12%,0.0,0.0,10.7,0.0
"2025-02-17 04:52:35.969231
",x265,4706.92,2.92,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:37.976879
",llama,565.29,0.14775390625,96.0,0.15%,0.0,0.0,11.3,0.0
"2025-02-17 04:52:37.976879
",x265,4549.64,2.919,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:39.998725
",llama,4659.64,0.146484375,96.0,0.15%,0.0,0.0,11.3,0.0
"2025-02-17 04:52:39.998725
",x265,3737.80,2.922,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:42.009951
",llama,4973.19,0.147265625,96.0,0.15%,0.0,0.0,11.3,0.0
"2025-02-17 04:52:42.009951
",x265,3679.85,2.922,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:44.021480
",llama,4794.43,0.1462890625,96.0,0.15%,0.0,0.0,11.3,0.0
"2025-02-17 04:52:44.021480
",x265,3234.13,2.923,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 04:52:46.030564
",llama,4919.19,0.1455078125,96.0,0.15%,0.0,0.0,11.3,0.0
