Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.53,1.41,2025-02-17 04:51:54.497,0.0,4.87,4.66,0.72,0.69,14.509999999999994,33800,34008,0.0,0.0,60,0.0,0.0,56,0.0,0.0,58
9.41,1.4,2025-02-17 04:51:54.598,0.101,4.81,4.6,0.71,0.68,15.48000000000001,33800,33904,0.0,0.0,70,0.0,0.0,43,0.0,0.0,60
9.31,1.38,2025-02-17 04:51:54.697,0.2,4.76,4.55,0.71,0.67,14.25000000000001,33696,33904,0.0,0.0,68,0.0,0.0,49,0.0,0.0,60
9.3,1.38,2025-02-17 04:51:54.796,0.299,4.75,4.56,0.71,0.67,13.840000000000016,34008,33904,0.0,0.0,56,0.0,0.0,51,0.0,0.0,54
9.41,1.39,2025-02-17 04:51:54.896,0.399,4.83,4.58,0.71,0.68,19.169999999999995,33488,33904,0.0,0.0,77,0.0,0.0,38,0.0,0.0,65
9.66,1.41,2025-02-17 04:51:54.997,0.5,4.85,4.81,0.72,0.69,45.66000000000003,33280,32448,0.01,0.02,3,0.01,0.01,93,0.02,0.02,39
9.48,1.4,2025-02-17 04:51:55.097,0.6,4.81,4.67,0.71,0.68,19.29,33592,32760,0.0,0.0,34,0.0,0.0,70,0.01,0.0,49
9.42,1.39,2025-02-17 04:51:55.197,0.7,4.82,4.6,0.71,0.68,17.829999999999995,33592,32864,0.0,0.0,60,0.0,0.0,56,0.0,0.0,58
9.39,1.39,2025-02-17 04:51:55.298,0.801,4.8,4.6,0.71,0.68,14.44000000000001,33800,32864,0.0,0.0,66,0.0,0.0,47,0.0,0.0,56
9.4,1.39,2025-02-17 04:51:55.398,0.901,4.8,4.6,0.72,0.67,13.810000000000016,33800,32968,0.0,0.0,51,0.0,0.0,52,0.0,0.0,51
9.39,1.4,2025-02-17 04:51:55.498,1.001,4.8,4.59,0.71,0.69,17.050000000000008,33800,33072,0.0,0.0,60,0.0,0.0,56,0.0,0.0,59
