Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.48,1.4,2025-02-17 05:40:54.690,0.0,4.81,4.66,0.71,0.69,12.450000000000005,33072,35048,0.0,0.0,69,0.0,0.0,45,0.0,0.0,61
9.48,1.39,2025-02-17 05:40:54.790,0.1,4.88,4.6,0.71,0.68,17.380000000000006,32864,34944,0.0,0.0,69,0.0,0.0,43,0.01,0.0,59
9.42,1.39,2025-02-17 05:40:54.890,0.2,4.82,4.61,0.71,0.68,19.98999999999999,32760,34736,0.0,0.0,56,0.0,0.0,48,0.0,0.0,52
9.31,1.37,2025-02-17 05:40:54.990,0.3,4.76,4.54,0.7,0.67,20.209999999999994,32864,34528,0.0,0.0,67,0.0,0.0,50,0.0,0.0,59
9.35,1.38,2025-02-17 05:40:55.089,0.399,4.77,4.57,0.7,0.67,19.54999999999998,32760,34632,0.0,0.0,80,0.0,0.0,35,0.01,0.0,65
9.44,1.37,2025-02-17 05:40:55.188,0.498,4.76,4.67,0.7,0.67,32.70000000000002,33072,34944,0.01,0.01,8,0.01,0.0,88,0.01,0.01,41
9.62,1.41,2025-02-17 05:40:55.289,0.599,4.86,4.76,0.72,0.68,38.90999999999997,32968,34320,0.01,0.01,8,0.01,0.0,93,0.02,0.02,41
9.33,1.38,2025-02-17 05:40:55.389,0.699,4.74,4.59,0.7,0.68,18.040000000000003,32656,34216,0.0,0.0,59,0.0,0.0,48,0.0,0.0,54
9.41,1.39,2025-02-17 05:40:55.489,0.799,4.8,4.61,0.71,0.68,19.079999999999966,32448,34008,0.0,0.0,60,0.0,0.0,49,0.0,0.0,54
9.4,1.39,2025-02-17 05:40:55.590,0.9,4.8,4.59,0.71,0.68,17.450000000000003,32864,34008,0.0,0.0,62,0.0,0.0,52,0.0,0.0,57
9.41,1.39,2025-02-17 05:40:55.690,1.0,4.81,4.6,0.71,0.68,15.769999999999998,32968,34008,0.0,0.0,55,0.0,0.0,50,0.0,0.0,52
9.44,1.39,2025-02-17 05:40:55.790,1.1,4.83,4.61,0.71,0.68,21.999999999999993,32864,34112,0.0,0.0,30,0.0,0.0,77,0.01,0.0,56
9.47,1.39,2025-02-17 05:40:55.890,1.2,4.79,4.68,0.71,0.68,43.48999999999996,32968,33800,0.01,0.01,4,0.01,0.0,93,0.01,0.01,41
9.41,1.39,2025-02-17 05:40:55.991,1.301,4.81,4.59,0.71,0.68,16.65,32968,33696,0.0,0.0,54,0.0,0.0,50,0.0,0.0,52
9.39,1.39,2025-02-17 05:40:56.091,1.401,4.79,4.6,0.71,0.68,19.219999999999985,32864,33696,0.0,0.0,49,0.0,0.0,52,0.0,0.0,50
9.47,1.39,2025-02-17 05:40:56.191,1.501,4.79,4.68,0.71,0.68,31.810000000000002,33280,33280,0.0,0.0,40,0.0,0.0,64,0.01,0.0,55
9.41,1.39,2025-02-17 05:40:56.292,1.602,4.8,4.61,0.71,0.68,19.199999999999978,32968,33176,0.0,0.0,54,0.0,0.0,55,0.0,0.0,55
9.36,1.38,2025-02-17 05:40:56.391,1.701,4.76,4.6,0.71,0.67,22.219999999999978,33696,33176,0.0,0.0,40,0.0,0.0,66,0.01,0.0,55
9.42,1.38,2025-02-17 05:40:56.490,1.8,4.76,4.66,0.71,0.68,47.86999999999997,32864,33696,0.0,0.0,30,0.01,0.0,77,0.01,0.01,54
9.32,1.38,2025-02-17 05:40:56.590,1.9,4.76,4.56,0.71,0.67,17.799999999999994,33176,33696,0.0,0.0,82,0.0,0.0,27,0.0,0.0,56
9.4,1.39,2025-02-17 05:40:56.690,2.0,4.81,4.59,0.71,0.68,16.56,32864,33696,0.0,0.0,58,0.0,0.0,49,0.0,0.0,53
9.39,1.39,2025-02-17 05:40:56.790,2.1,4.8,4.59,0.71,0.68,16.139999999999997,33176,33696,0.0,0.0,70,0.0,0.0,51,0.0,0.0,61
9.41,1.39,2025-02-17 05:40:56.891,2.201,4.8,4.6,0.71,0.68,15.999999999999991,32968,33696,0.0,0.0,51,0.0,0.0,49,0.0,0.0,50
9.37,1.39,2025-02-17 05:40:56.991,2.301,4.75,4.62,0.71,0.68,28.510000000000023,32864,33592,0.0,0.0,50,0.0,0.0,63,0.01,0.0,57
9.49,1.4,2025-02-17 05:40:57.091,2.401,4.8,4.7,0.71,0.68,39.71999999999998,32760,33904,0.0,0.0,25,0.01,0.0,85,0.01,0.0,58
9.43,1.4,2025-02-17 05:40:57.191,2.501,4.8,4.63,0.71,0.68,28.770000000000014,32864,33696,0.0,0.0,46,0.0,0.0,61,0.01,0.0,55
9.41,1.39,2025-02-17 05:40:57.292,2.602,4.81,4.6,0.71,0.68,18.509999999999994,32552,33592,0.0,0.0,55,0.0,0.0,54,0.0,0.0,55
9.39,1.39,2025-02-17 05:40:57.392,2.702,4.79,4.59,0.71,0.68,16.31,32760,33488,0.0,0.0,57,0.0,0.0,51,0.0,0.0,54
9.39,1.39,2025-02-17 05:40:57.492,2.802,4.79,4.59,0.71,0.68,16.15,32760,33488,0.0,0.0,54,0.0,0.0,51,0.0,0.0,52
9.39,1.39,2025-02-17 05:40:57.593,2.903,4.82,4.57,0.71,0.67,21.21999999999997,32656,33488,0.0,0.0,69,0.0,0.0,56,0.01,0.0,63
9.58,1.4,2025-02-17 05:40:57.693,3.003,4.8,4.79,0.72,0.68,42.520000000000024,32760,33904,0.0,0.0,40,0.01,0.0,80,0.01,0.0,63
9.32,1.37,2025-02-17 05:40:57.792,3.102,4.76,4.55,0.7,0.67,16.410000000000007,32864,33904,0.0,0.0,60,0.0,0.0,53,0.0,0.0,57
9.31,1.37,2025-02-17 05:40:57.892,3.202,4.75,4.56,0.7,0.67,16.950000000000003,32448,33904,0.0,0.0,49,0.0,0.0,53,0.0,0.0,51
