Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.55,1.4,2025-02-17 06:28:31.858,0.0,4.9,4.64,0.72,0.68,11.240000000000002,35048,34944,0.0,0.0,74,0.0,0.0,52,0.0,0.0,65
9.34,1.4,2025-02-17 06:28:31.958,0.1,4.74,4.6,0.72,0.68,14.930000000000005,34632,34944,0.0,0.0,65,0.0,0.0,44,0.0,0.0,56
9.28,1.39,2025-02-17 06:28:32.058,0.2,4.66,4.62,0.71,0.68,20.07999999999997,34528,34840,0.0,0.0,70,0.0,0.0,50,0.0,0.0,62
9.25,1.38,2025-02-17 06:28:32.158,0.3,4.72,4.53,0.7,0.67,14.560000000000011,34632,34840,0.0,0.0,57,0.0,0.0,49,0.0,0.0,53
9.29,1.38,2025-02-17 06:28:32.257,0.399,4.73,4.56,0.7,0.67,21.009999999999987,34840,34632,0.0,0.0,32,0.0,0.0,74,0.0,0.0,52
9.63,1.39,2025-02-17 06:28:32.356,0.498,4.71,4.92,0.7,0.68,49.31000000000002,34424,34008,0.01,0.01,3,0.02,0.01,94,0.02,0.02,45
9.42,1.4,2025-02-17 06:28:32.456,0.598,4.82,4.6,0.72,0.68,15.290000000000001,34528,34008,0.0,0.0,54,0.0,0.0,50,0.0,0.0,52
9.35,1.39,2025-02-17 06:28:32.557,0.699,4.77,4.59,0.71,0.68,14.400000000000011,34632,33904,0.0,0.0,52,0.0,0.0,50,0.0,0.0,51
9.32,1.39,2025-02-17 06:28:32.657,0.799,4.71,4.61,0.71,0.68,16.18000000000001,34736,33904,0.0,0.0,50,0.0,0.0,52,0.0,0.0,51
9.34,1.4,2025-02-17 06:28:32.757,0.899,4.74,4.6,0.71,0.68,19.81999999999999,34736,33904,0.0,0.0,78,0.0,0.0,53,0.0,0.0,67
9.36,1.39,2025-02-17 06:28:32.858,1.0,4.75,4.61,0.71,0.68,17.450000000000014,34528,33696,0.0,0.0,29,0.0,0.0,86,0.0,0.0,55
9.3,1.39,2025-02-17 06:28:32.958,1.1,4.75,4.54,0.71,0.67,16.630000000000006,34528,33592,0.0,0.0,41,0.0,0.0,58,0.0,0.0,50
9.48,1.41,2025-02-17 06:28:33.058,1.2,4.86,4.62,0.72,0.68,40.65999999999997,34840,31824,0.01,0.02,98,0.01,0.0,6,0.02,0.02,79
9.31,1.39,2025-02-17 06:28:33.158,1.3,4.72,4.59,0.71,0.68,13.34000000000001,34736,31824,0.0,0.0,56,0.0,0.0,50,0.0,0.0,53
