time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 06:19:53.149064
",nearestNeighbors,43.65,2.605,96.0,2.71%,0.0,0.0,0.857421875,0.0
"2025-02-17 06:19:53.149064
",x265,3947.55,2.303,96.0,2.40%,0.0,0.0,0.0,0.0
"2025-02-17 06:19:55.498635
",nearestNeighbors,46.14,2.609,96.0,2.72%,0.0,0.0,1.94,0.0
"2025-02-17 06:19:55.498635
",x265,4224.60,2.886,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:19:57.506160
",nearestNeighbors,28.52,2.612,96.0,2.72%,0.0,0.0,2.68,0.0
"2025-02-17 06:19:57.506160
",x265,4029.97,2.885,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:19:59.519574
",nearestNeighbors,4991.79,7.461,96.0,7.77%,0.0,0.0,2.78,0.0
"2025-02-17 06:19:59.519574
",x265,3814.63,2.886,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:01.529561
",nearestNeighbors,4972.03,30.39,96.0,31.66%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:01.529561
",x265,3919.01,2.887,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:03.542929
",nearestNeighbors,4933.43,48.91,96.0,50.95%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:03.542929
",x265,3787.44,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:05.552061
",nearestNeighbors,4963.32,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:05.552061
",x265,3968.64,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:07.561724
",nearestNeighbors,5015.28,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:07.561724
",x265,4004.88,2.889,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:09.576346
",nearestNeighbors,5035.26,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:09.576346
",x265,3927.16,2.906,96.0,3.03%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:11.586864
",nearestNeighbors,5004.25,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:11.586864
",x265,3730.59,2.918,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:13.594912
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:13.594912
",x265,4633.75,2.918,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:15.603986
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:15.603986
",x265,4764.03,2.925,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:17.615231
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:17.615231
",x265,4389.55,2.924,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:19.620697
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:19.620697
",x265,4660.69,2.924,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:21.630937
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:21.630937
",x265,4637.10,2.934,96.0,3.06%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:23.636736
",nearestNeighbors,0.00,52.36,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:23.636736
",x265,4527.05,2.934,96.0,3.06%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:25.647988
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:25.647988
",x265,4751.22,2.933,96.0,3.06%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:27.658873
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:27.658873
",x265,4696.41,2.933,96.0,3.06%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:29.667352
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:29.667352
",x265,4520.09,2.933,96.0,3.06%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:31.678619
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:31.678619
",x265,4408.28,2.933,96.0,3.06%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:33.687079
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:33.687079
",x265,3999.33,2.933,96.0,3.06%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:35.696399
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:35.696399
",x265,4282.39,2.947,96.0,3.07%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:37.708808
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:37.708808
",x265,4430.12,2.969,96.0,3.09%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:39.714794
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:39.714794
",x265,3828.78,2.99,96.0,3.11%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:41.725002
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:41.725002
",x265,4690.16,2.991,96.0,3.12%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:43.735244
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:43.735244
",x265,3886.66,2.991,96.0,3.12%,0.0,0.0,0.0,0.0
"2025-02-17 06:20:45.746069
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:45.746069
",x265,2517.09,1.472,96.0,1.53%,0.0,0.0,0.0,0.00027751922607421875
"2025-02-17 06:20:47.761808
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:47.761808
",x265,4563.06,2.872,96.0,2.99%,0.0,0.0,0.0,0.00027751922607421875
"2025-02-17 06:20:49.772125
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:49.772125
",x265,4597.53,2.887,96.0,3.01%,0.0,0.0,0.0,0.00027751922607421875
"2025-02-17 06:20:51.785454
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:51.785454
",x265,4716.98,2.888,96.0,3.01%,0.0,0.0,0.0,0.00027751922607421875
"2025-02-17 06:20:53.790270
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:53.790270
",x265,4869.47,2.89,96.0,3.01%,0.0,0.0,0.0,0.00027751922607421875
"2025-02-17 06:20:55.798759
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
"2025-02-17 06:20:55.798759
",x265,4748.59,2.889,96.0,3.01%,0.0,0.0,0.0,0.00027751922607421875
"2025-02-17 06:20:57.808184
",nearestNeighbors,0.00,52.35,96.0,54.54%,0.0,0.0,2.78,0.0
