Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.43,1.39,2025-02-17 06:19:34.124,0.0,4.84,4.6,0.71,0.68,12.370000000000012,35776,34112,0.0,0.0,57,0.0,0.0,60,0.0,0.0,58
9.46,1.4,2025-02-17 06:19:34.224,0.1,4.8,4.66,0.72,0.69,15.96,35672,34112,0.0,0.0,78,0.0,0.0,36,0.0,0.0,59
9.41,1.39,2025-02-17 06:19:34.325,0.201,4.81,4.6,0.71,0.68,17.230000000000004,35776,34112,0.0,0.0,71,0.0,0.0,48,0.0,0.0,61
9.4,1.39,2025-02-17 06:19:34.425,0.301,4.8,4.59,0.71,0.68,16.86,35152,33904,0.0,0.0,64,0.0,0.0,53,0.0,0.0,59
9.45,1.39,2025-02-17 06:19:34.526,0.402,4.83,4.62,0.71,0.68,22.009999999999955,35152,34112,0.0,0.0,23,0.0,0.0,90,0.01,0.0,60
9.6,1.38,2025-02-17 06:19:34.625,0.501,4.75,4.85,0.71,0.68,38.39,35152,35984,0.01,0.01,7,0.01,0.0,92,0.02,0.01,52
9.4,1.38,2025-02-17 06:19:34.724,0.6,4.75,4.66,0.71,0.68,31.469999999999974,35776,35048,0.0,0.0,20,0.01,0.0,82,0.01,0.01,47
9.32,1.37,2025-02-17 06:19:34.824,0.7,4.76,4.57,0.7,0.67,18.079999999999988,35464,35152,0.0,0.0,75,0.0,0.0,39,0.0,0.0,61
9.41,1.39,2025-02-17 06:19:34.924,0.8,4.83,4.58,0.71,0.68,15.839999999999996,35360,34840,0.0,0.0,59,0.0,0.0,51,0.0,0.0,55
9.39,1.39,2025-02-17 06:19:35.024,0.9,4.8,4.6,0.71,0.68,16.27,35256,34736,0.0,0.0,51,0.0,0.0,58,0.0,0.0,53
9.41,1.39,2025-02-17 06:19:35.125,1.001,4.81,4.6,0.71,0.68,15.109999999999994,35256,34736,0.0,0.0,51,0.0,0.0,47,0.0,0.0,49
9.41,1.39,2025-02-17 06:19:35.225,1.101,4.8,4.61,0.71,0.68,25.869999999999994,35256,34424,0.0,0.0,38,0.0,0.0,68,0.01,0.0,55
9.49,1.39,2025-02-17 06:19:35.325,1.201,4.82,4.67,0.72,0.68,41.59999999999997,33800,35152,0.0,0.01,16,0.01,0.0,83,0.01,0.01,44
9.44,1.4,2025-02-17 06:19:35.426,1.302,4.8,4.64,0.71,0.69,17.679999999999993,35360,34944,0.0,0.0,92,0.0,0.0,13,0.0,0.0,57
9.39,1.39,2025-02-17 06:19:35.526,1.402,4.8,4.6,0.71,0.68,13.930000000000012,35360,34944,0.0,0.0,68,0.0,0.0,50,0.0,0.0,60
9.4,1.37,2025-02-17 06:19:35.625,1.501,4.76,4.64,0.7,0.68,25.550000000000004,35256,34944,0.0,0.0,45,0.0,0.0,66,0.01,0.0,59
9.31,1.37,2025-02-17 06:19:35.725,1.601,4.76,4.55,0.7,0.67,21.719999999999978,35256,34944,0.0,0.0,63,0.0,0.0,49,0.0,0.0,56
9.41,1.39,2025-02-17 06:19:35.825,1.701,4.8,4.61,0.71,0.68,19.840000000000003,35360,35360,0.0,0.0,35,0.0,0.0,78,0.0,0.0,57
9.51,1.4,2025-02-17 06:19:35.925,1.801,4.8,4.71,0.71,0.68,39.8,35256,34424,0.0,0.0,10,0.01,0.0,89,0.01,0.01,50
9.46,1.39,2025-02-17 06:19:36.026,1.902,4.8,4.66,0.71,0.68,18.02000000000001,35152,34424,0.0,0.0,63,0.0,0.0,52,0.0,0.0,57
9.39,1.39,2025-02-17 06:19:36.126,2.002,4.8,4.59,0.71,0.68,13.880000000000011,35256,34424,0.0,0.0,48,0.0,0.0,50,0.0,0.0,49
9.42,1.39,2025-02-17 06:19:36.226,2.102,4.81,4.6,0.71,0.68,16.98000000000001,35152,34424,0.0,0.0,69,0.0,0.0,51,0.0,0.0,59
