time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 05:22:53.815720
",removeDuplicates,264.71,0.026279296875,96.0,0.03%,0.0,0.0,0.8623046875,0.0
"2025-02-17 05:22:53.815720
",x265,4169.74,2.327,96.0,2.42%,0.0,0.0,0.0,0.0
"2025-02-17 05:22:56.163383
",removeDuplicates,242.26,0.04033203125,96.0,0.04%,0.0,0.0,1.83,0.0
"2025-02-17 05:22:56.163383
",x265,4365.02,2.884,96.0,3.00%,0.0,0.0,0.0,0.0
"2025-02-17 05:22:58.173521
",removeDuplicates,231.74,0.051689453125,96.0,0.05%,0.0,0.0,2.73,0.0
"2025-02-17 05:22:58.173521
",x265,4359.05,2.885,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:00.184846
",removeDuplicates,256.20,0.06162109375,96.0,0.06%,0.0,0.0,3.61,0.0
"2025-02-17 05:23:00.184846
",x265,3580.16,2.886,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:02.196077
",removeDuplicates,177.57,0.07181640625,96.0,0.07%,0.0,0.0,4.4,0.0
"2025-02-17 05:23:02.196077
",x265,4763.82,2.887,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:04.207463
",removeDuplicates,219.05,0.082880859375,96.0,0.09%,0.0,0.0,5.36,0.0
"2025-02-17 05:23:04.207463
",x265,4627.99,2.887,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:06.216570
",removeDuplicates,216.24,0.0939453125,96.0,0.10%,0.0,0.0,6.3,0.0
"2025-02-17 05:23:06.216570
",x265,4536.20,2.887,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:08.225985
",removeDuplicates,232.53,0.10400390625,96.0,0.11%,0.0,0.0,7.23,0.0
"2025-02-17 05:23:08.225985
",x265,4670.37,2.887,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:10.235767
",removeDuplicates,222.35,0.1154296875,96.0,0.12%,0.0,0.0,8.16,0.0
"2025-02-17 05:23:10.235767
",x265,4751.53,2.907,96.0,3.03%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:12.246464
",removeDuplicates,168.08,0.12451171875,96.0,0.13%,0.0,0.0,9.02,0.0
"2025-02-17 05:23:12.246464
",x265,4685.92,2.912,96.0,3.03%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:14.259075
",removeDuplicates,291.22,0.135546875,96.0,0.14%,0.0,0.0,10.0,0.0
"2025-02-17 05:23:14.259075
",x265,2854.36,2.911,96.0,3.03%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:16.269968
",removeDuplicates,310.64,0.14736328125,96.0,0.15%,0.0,0.0,11.0,0.0
"2025-02-17 05:23:16.269968
",x265,3655.71,2.912,96.0,3.03%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:18.280679
",removeDuplicates,232.47,0.1580078125,96.0,0.16%,0.0,0.0,12.0,0.0
"2025-02-17 05:23:18.280679
",x265,4615.48,2.912,96.0,3.03%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:20.292539
",removeDuplicates,236.70,0.1703125,96.0,0.18%,0.0,0.0,12.9,0.0
"2025-02-17 05:23:20.292539
",x265,4624.91,2.921,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:22.302979
",removeDuplicates,192.74,0.18046875,96.0,0.19%,0.0,0.0,13.8,0.0
"2025-02-17 05:23:22.302979
",x265,4776.22,2.922,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:24.313991
",removeDuplicates,228.82,0.1904296875,96.0,0.20%,0.0,0.0,14.8,0.0
"2025-02-17 05:23:24.313991
",x265,4569.19,2.922,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:26.325209
",removeDuplicates,235.82,0.20126953125,96.0,0.21%,0.0,0.0,15.8,0.0
"2025-02-17 05:23:26.325209
",x265,4144.25,2.921,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:28.332620
",removeDuplicates,226.30,0.2134765625,96.0,0.22%,0.0,0.0,16.7,0.0
"2025-02-17 05:23:28.332620
",x265,4792.57,2.922,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:30.343831
",removeDuplicates,225.62,0.2240234375,96.0,0.23%,0.0,0.0,17.7,0.0
"2025-02-17 05:23:30.343831
",x265,4620.67,2.922,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:32.354577
",removeDuplicates,159.97,0.2357421875,96.0,0.25%,0.0,0.0,18.5,0.0
"2025-02-17 05:23:32.354577
",x265,4980.60,2.934,96.0,3.06%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:34.405711
",removeDuplicates,226.36,0.2462890625,96.0,0.26%,0.0,0.0,19.4,0.0
"2025-02-17 05:23:34.405711
",x265,4316.09,2.953,96.0,3.08%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:36.415351
",removeDuplicates,262.72,0.258203125,96.0,0.27%,0.0,0.0,20.3,0.0
"2025-02-17 05:23:36.415351
",x265,4449.96,2.98,96.0,3.10%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:38.423634
",removeDuplicates,4982.38,9.655,96.0,10.06%,0.0,0.0,20.5,0.0
"2025-02-17 05:23:38.423634
",x265,3974.03,2.99,96.0,3.11%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:40.437628
",removeDuplicates,5026.45,20.75,96.0,21.61%,0.0,0.0,20.5,0.0
"2025-02-17 05:23:40.437628
",x265,3708.47,2.99,96.0,3.11%,0.0,0.0,0.0,0.0
"2025-02-17 05:23:42.448813
",removeDuplicates,3362.71,30.12,96.0,31.37%,0.0,0.0,20.5,0.0
"2025-02-17 05:23:42.448813
",x265,2580.57,0.7537109375,96.0,0.79%,0.0,0.0,0.0,0.00038242340087890625
"2025-02-17 05:23:44.462924
",removeDuplicates,4831.45,42.43,96.0,44.20%,0.0,0.0,20.5,0.0
"2025-02-17 05:23:44.462924
",x265,3036.79,1.821,96.0,1.90%,0.0,0.0,0.0,0.00038242340087890625
"2025-02-17 05:23:46.475664
",removeDuplicates,4953.46,44.74,96.0,46.60%,0.0,0.0,20.5,0.0
"2025-02-17 05:23:46.475664
",x265,3709.50,2.835,96.0,2.95%,0.0,0.0,0.0,0.00038242340087890625
"2025-02-17 05:23:48.490288
",removeDuplicates,3088.86,46.76,96.0,48.71%,0.0,0.0,20.5,0.0
"2025-02-17 05:23:48.490288
",x265,4535.25,2.884,96.0,3.00%,0.0,0.0,0.0,0.00038242340087890625
"2025-02-17 05:23:50.503299
",removeDuplicates,3602.51,54.22,96.0,56.48%,0.0,0.0,20.5,0.0
"2025-02-17 05:23:50.503299
",x265,4245.74,2.886,96.0,3.01%,0.0,0.0,0.0,0.00038242340087890625
"2025-02-17 05:23:52.514813
",removeDuplicates,11.73,47.24,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 05:23:52.514813
",x265,4689.86,2.888,96.0,3.01%,0.0,0.0,0.0,0.00038242340087890625
"2025-02-17 05:23:54.523607
",removeDuplicates,0.05,47.24,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 05:23:54.523607
",x265,4524.87,2.889,96.0,3.01%,0.0,0.0,0.0,0.00038242340087890625
"2025-02-17 05:23:56.533491
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 05:23:56.533491
",x265,4541.36,2.889,96.0,3.01%,0.0,0.0,0.0,0.00038242340087890625
"2025-02-17 05:23:58.543158
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 05:23:58.543158
",x265,4765.84,2.889,96.0,3.01%,0.0,0.0,0.0,0.00038242340087890625
"2025-02-17 05:24:00.551320
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 05:24:00.551320
",x265,4586.89,2.911,96.0,3.03%,0.0,0.0,0.0,0.00038242340087890625
"2025-02-17 05:24:02.561440
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
"2025-02-17 05:24:02.561440
",x265,4834.74,2.911,96.0,3.03%,0.0,0.0,0.0,0.00038242340087890625
"2025-02-17 05:24:04.571426
",removeDuplicates,0.05,47.23,96.0,49.20%,0.0,0.0,20.5,0.0
