Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.59,1.41,2025-02-17 05:22:34.762,0.0,4.73,4.86,0.72,0.69,34.440000000000005,35984,33592,0.01,0.01,12,0.01,0.0,90,0.02,0.02,41
9.01,1.37,2025-02-17 05:22:34.861,0.099,4.6,4.41,0.7,0.67,15.880000000000008,35984,33592,0.0,0.0,80,0.0,0.0,33,0.0,0.0,62
9.08,1.39,2025-02-17 05:22:34.962,0.2,4.64,4.44,0.71,0.68,16.35000000000001,35984,33592,0.0,0.0,55,0.0,0.0,57,0.0,0.0,56
9.01,1.37,2025-02-17 05:22:35.061,0.299,4.6,4.41,0.7,0.67,16.500000000000007,36088,33592,0.0,0.0,68,0.0,0.0,47,0.0,0.0,60
8.92,1.36,2025-02-17 05:22:35.160,0.398,4.56,4.36,0.69,0.67,16.409999999999997,36088,33488,0.0,0.0,63,0.0,0.0,47,0.0,0.0,56
9.13,1.4,2025-02-17 05:22:35.261,0.499,4.62,4.51,0.71,0.69,22.89999999999998,35984,32760,0.0,0.0,35,0.0,0.0,78,0.01,0.0,58
9.76,1.41,2025-02-17 05:22:35.361,0.599,4.71,5.05,0.72,0.69,50.35999999999998,35256,31720,0.01,0.01,11,0.01,0.0,89,0.02,0.01,47
9.05,1.39,2025-02-17 05:22:35.462,0.7,4.59,4.46,0.7,0.68,20.459999999999972,36816,31720,0.0,0.0,82,0.0,0.0,34,0.01,0.0,61
9.27,1.39,2025-02-17 05:22:35.561,0.799,4.8,4.47,0.72,0.67,17.130000000000006,35776,31616,0.0,0.0,79,0.0,0.0,19,0.01,0.0,56
9.08,1.39,2025-02-17 05:22:35.662,0.9,4.64,4.44,0.71,0.68,16.730000000000004,35984,31720,0.0,0.0,62,0.0,0.0,53,0.0,0.0,58
9.24,1.39,2025-02-17 05:22:35.762,1.0,4.75,4.49,0.71,0.68,16.299999999999997,35984,31616,0.0,0.0,56,0.0,0.0,49,0.0,0.0,53
9.14,1.39,2025-02-17 05:22:35.862,1.1,4.67,4.47,0.71,0.68,23.08999999999998,36192,31408,0.0,0.0,47,0.0,0.0,69,0.01,0.0,59
9.29,1.4,2025-02-17 05:22:35.962,1.2,4.64,4.66,0.71,0.68,44.05000000000002,35776,32552,0.0,0.0,21,0.01,0.0,85,0.01,0.01,53
