time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 05:14:08.881262
",spark,229.96,0.20830078125,96.0,0.22%,0.0,0.0,0.07333984375,3.1280517578125e-05
"2025-02-17 05:14:08.881262
",x265,3822.47,2.24,96.0,2.33%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:11.226692
",spark,179.72,0.31826171875,96.0,0.33%,0.0,0.0,0.09609375,3.1280517578125e-05
"2025-02-17 05:14:11.226692
",x265,4720.97,2.886,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:13.238620
",spark,196.42,0.5416015625,96.0,0.56%,0.0,0.0,0.1142578125,3.1280517578125e-05
"2025-02-17 05:14:13.238620
",x265,4618.65,2.886,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:15.248812
",spark,167.52,0.63818359375,96.0,0.66%,0.0,0.0,0.126953125,3.1280517578125e-05
"2025-02-17 05:14:15.248812
",x265,4565.27,2.887,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:17.258483
",spark,311.93,0.8263671875,96.0,0.86%,0.0,0.0,0.1318359375,3.1280517578125e-05
"2025-02-17 05:14:17.258483
",x265,4749.20,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:19.268674
",spark,526.52,0.92734375,96.0,0.97%,0.0,0.0,0.13671875,3.1280517578125e-05
"2025-02-17 05:14:19.268674
",x265,4554.99,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:21.278422
",spark,861.42,2.037,96.0,2.12%,0.0,0.0,0.64453125,3.1280517578125e-05
"2025-02-17 05:14:21.278422
",x265,4788.06,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:23.288159
",spark,916.46,2.429,96.0,2.53%,0.0,0.0,1.2,3.1280517578125e-05
"2025-02-17 05:14:23.288159
",x265,3755.16,2.905,96.0,3.03%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:25.297692
",spark,872.03,2.485,96.0,2.59%,0.0,0.0,1.8,3.1280517578125e-05
"2025-02-17 05:14:25.297692
",x265,4948.72,2.912,96.0,3.03%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:27.309062
",spark,846.26,2.516,96.0,2.62%,0.0,0.0,2.37,3.1280517578125e-05
"2025-02-17 05:14:27.309062
",x265,5011.40,2.919,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:29.315482
",spark,795.66,2.521,96.0,2.63%,0.0,0.0,3.07,3.1280517578125e-05
"2025-02-17 05:14:29.315482
",x265,4613.78,2.917,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:31.326314
",spark,770.18,2.528,96.0,2.63%,0.0,0.0,3.87,3.1280517578125e-05
"2025-02-17 05:14:31.326314
",x265,4414.96,2.916,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:33.333956
",spark,700.06,2.534,96.0,2.64%,0.0,0.0,4.69,3.1280517578125e-05
"2025-02-17 05:14:33.333956
",x265,2362.78,2.916,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:35.346819
",spark,847.22,2.539,96.0,2.65%,0.0,0.0,5.44,3.1280517578125e-05
"2025-02-17 05:14:35.346819
",x265,4326.89,2.924,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:37.357037
",spark,800.83,2.559,96.0,2.67%,0.0,0.0,6.21,3.1280517578125e-05
"2025-02-17 05:14:37.357037
",x265,4311.72,2.924,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:39.368551
",spark,784.97,2.55,96.0,2.66%,0.0,0.0,7.0,3.1280517578125e-05
"2025-02-17 05:14:39.368551
",x265,3833.65,2.924,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:41.378462
",spark,764.78,2.555,96.0,2.66%,0.0,0.0,7.8,3.1280517578125e-05
"2025-02-17 05:14:41.378462
",x265,4568.49,2.924,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:43.388566
",spark,803.86,2.554,96.0,2.66%,0.0,0.0,8.57,3.1280517578125e-05
"2025-02-17 05:14:43.388566
",x265,4824.55,2.924,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:45.396477
",spark,794.44,2.568,96.0,2.68%,0.0,0.0,9.37,3.1280517578125e-05
"2025-02-17 05:14:45.396477
",x265,4822.91,2.924,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:47.406609
",spark,732.13,2.572,96.0,2.68%,0.0,0.0,10.1,3.1280517578125e-05
"2025-02-17 05:14:47.406609
",x265,4760.82,2.936,96.0,3.06%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:49.415900
",spark,805.96,2.567,96.0,2.67%,0.0,0.0,10.9,3.1280517578125e-05
"2025-02-17 05:14:49.415900
",x265,4245.67,2.96,96.0,3.08%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:51.423841
",spark,802.43,2.57,96.0,2.68%,0.0,0.0,11.7,3.1280517578125e-05
"2025-02-17 05:14:51.423841
",x265,4370.72,2.982,96.0,3.11%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:53.433303
",spark,776.44,2.57,96.0,2.68%,0.0,0.0,12.5,3.1280517578125e-05
"2025-02-17 05:14:53.433303
",x265,4609.00,2.987,96.0,3.11%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:55.442634
",spark,767.18,2.573,96.0,2.68%,0.0,0.0,13.3,3.1280517578125e-05
"2025-02-17 05:14:55.442634
",x265,3977.86,2.988,96.0,3.11%,0.0,0.0,0.0,0.0
"2025-02-17 05:14:57.454903
",spark,726.90,2.572,96.0,2.68%,0.0,0.0,14.1,3.1280517578125e-05
"2025-02-17 05:14:57.454903
",x265,3196.98,1.836,96.0,1.91%,0.0,0.0,0.0,0.0007066726684570312
"2025-02-17 05:14:59.464483
",spark,763.85,2.575,96.0,2.68%,0.0,0.0,14.9,3.1280517578125e-05
"2025-02-17 05:14:59.464483
",x265,4670.20,2.875,96.0,2.99%,0.0,0.0,0.0,0.0007066726684570312
"2025-02-17 05:15:01.477468
",spark,775.08,2.582,96.0,2.69%,0.0,0.0,15.6,3.1280517578125e-05
"2025-02-17 05:15:01.477468
",x265,4486.13,2.886,96.0,3.01%,0.0,0.0,0.0,0.0007066726684570312
"2025-02-17 05:15:03.486940
",spark,764.05,2.586,96.0,2.69%,0.0,0.0,16.4,3.1280517578125e-05
"2025-02-17 05:15:03.486940
",x265,4693.72,2.887,96.0,3.01%,0.0,0.0,0.0,0.0007066726684570312
"2025-02-17 05:15:05.495479
",spark,774.56,2.589,96.0,2.70%,0.0,0.0,17.2,3.1280517578125e-05
"2025-02-17 05:15:05.495479
",x265,4831.80,2.888,96.0,3.01%,0.0,0.0,0.0,0.0007066726684570312
"2025-02-17 05:15:07.504688
",spark,798.22,2.592,96.0,2.70%,0.0,0.0,18.0,3.1280517578125e-05
"2025-02-17 05:15:07.504688
",x265,4705.30,2.888,96.0,3.01%,0.0,0.0,0.0,0.0007066726684570312
"2025-02-17 05:15:09.514810
",spark,763.70,2.595,96.0,2.70%,0.0,0.0,18.8,3.1280517578125e-05
"2025-02-17 05:15:09.514810
",x265,4615.98,2.888,96.0,3.01%,0.0,0.0,0.0,0.0007066726684570312
"2025-02-17 05:15:11.522906
",spark,753.19,2.598,96.0,2.71%,0.0,0.0,19.6,3.1280517578125e-05
"2025-02-17 05:15:11.522906
",x265,4541.58,2.913,96.0,3.03%,0.0,0.0,0.0,0.0007066726684570312
