time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 06:00:12.248608
",suffixArray,4912.80,14.88,96.0,15.50%,0.0,0.0,0.000637054443359375,0.0
"2025-02-17 06:00:12.248608
",x265,3235.01,2.205,96.0,2.30%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:14.601805
",suffixArray,4946.07,19.11,96.0,19.90%,0.0,0.0,0.000637054443359375,0.0
"2025-02-17 06:00:14.601805
",x265,3883.22,2.885,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:16.618057
",suffixArray,1806.54,24.06,96.0,25.06%,0.0,0.0,0.000637054443359375,0.0
"2025-02-17 06:00:16.618057
",x265,3606.76,2.886,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:18.629033
",suffixArray,2187.36,23.17,96.0,24.13%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:18.629033
",x265,4173.42,2.887,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:20.644161
",suffixArray,4955.70,23.8,96.0,24.79%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:20.644161
",x265,3433.46,2.887,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:22.658748
",suffixArray,3651.75,21.77,96.0,22.67%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:22.658748
",x265,4089.41,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:24.671289
",suffixArray,5016.93,34.98,96.0,36.44%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:24.671289
",x265,3637.90,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:26.684943
",suffixArray,4979.58,39.75,96.0,41.40%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:26.684943
",x265,3780.45,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:28.698135
",suffixArray,558.65,29.26,96.0,30.48%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:28.698135
",x265,4333.40,2.888,96.0,3.01%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:30.709928
",suffixArray,1868.10,24.95,96.0,25.99%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:30.709928
",x265,4214.09,2.915,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:32.729121
",suffixArray,4818.82,34.03,96.0,35.44%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:32.729121
",x265,3786.13,2.914,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:34.736964
",suffixArray,4821.13,41.06,96.0,42.77%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:34.736964
",x265,3841.77,2.921,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:36.747468
",suffixArray,1501.51,33.49,96.0,34.88%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:36.747468
",x265,4302.12,2.92,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:38.763993
",suffixArray,4964.76,31.37,96.0,32.67%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:38.763993
",x265,3551.03,2.919,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:40.778649
",suffixArray,4955.47,32.14,96.0,33.48%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:40.778649
",x265,3710.62,2.92,96.0,3.04%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:42.788948
",suffixArray,4983.94,36.58,96.0,38.11%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:42.788948
",x265,3556.26,2.925,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:44.804753
",suffixArray,4951.53,37.83,96.0,39.41%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:44.804753
",x265,3703.41,2.924,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:46.821704
",suffixArray,4966.37,40.07,96.0,41.74%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:46.821704
",x265,3667.71,2.924,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:48.833531
",suffixArray,104.20,33.0,96.0,34.37%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:48.833531
",x265,4342.85,2.925,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:50.840799
",suffixArray,4969.22,38.82,96.0,40.44%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:50.840799
",x265,3859.89,2.925,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:52.857618
",suffixArray,2615.18,43.96,96.0,45.80%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:52.857618
",x265,4024.98,2.924,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:54.870950
",suffixArray,4986.06,40.32,96.0,42.00%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:54.870950
",x265,3658.05,2.925,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:56.883897
",suffixArray,5021.39,42.36,96.0,44.13%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:56.883897
",x265,3568.76,2.924,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 06:00:58.895758
",suffixArray,4942.52,44.39,96.0,46.23%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:00:58.895758
",x265,3506.70,2.924,96.0,3.05%,0.0,0.0,0.0,0.0
"2025-02-17 06:01:00.907002
",suffixArray,582.28,40.06,96.0,41.73%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:01:00.907002
",x265,4934.15,2.937,96.0,3.06%,0.0,0.0,0.0,0.0
"2025-02-17 06:01:02.914158
",suffixArray,41.15,27.74,96.0,28.89%,0.0,0.0,0.000644683837890625,0.0
"2025-02-17 06:01:02.914158
",x265,4211.41,2.959,96.0,3.08%,0.0,0.0,0.0,0.0
"2025-02-17 06:01:04.924163
",suffixArray,0.05,27.73,96.0,28.89%,0.0,0.0,0.000644683837890625,0.0
