Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
9.57,1.42,2025-02-17 05:59:53.215,0.0,4.92,4.65,0.73,0.69,11.960000000000004,35048,35776,0.0,0.0,46,0.0,0.0,68,0.0,0.0,54
9.4,1.39,2025-02-17 05:59:53.315,0.1,4.81,4.59,0.71,0.68,18.280000000000005,35256,35880,0.0,0.0,44,0.0,0.0,53,0.0,0.0,48
9.27,1.39,2025-02-17 05:59:53.414,0.199,4.73,4.54,0.71,0.68,19.53,35152,35880,0.0,0.0,71,0.0,0.0,42,0.0,0.0,58
9.44,1.4,2025-02-17 05:59:53.515,0.3,4.83,4.6,0.72,0.68,19.01999999999998,35152,35880,0.0,0.0,64,0.0,0.0,54,0.0,0.0,59
9.5,1.41,2025-02-17 05:59:53.615,0.4,4.91,4.59,0.73,0.69,21.72999999999998,35256,35672,0.0,0.0,76,0.0,0.0,42,0.0,0.0,64
9.61,1.41,2025-02-17 05:59:53.715,0.5,4.9,4.7,0.72,0.69,31.089999999999993,34944,35048,0.01,0.01,6,0.01,0.0,92,0.02,0.02,42
9.56,1.41,2025-02-17 05:59:53.816,0.601,4.8,4.75,0.71,0.69,40.720000000000006,35152,35984,0.0,0.01,7,0.01,0.0,90,0.01,0.01,40
9.42,1.4,2025-02-17 05:59:53.916,0.701,4.83,4.59,0.72,0.69,17.38,35048,36192,0.0,0.0,52,0.0,0.0,52,0.0,0.0,52
9.48,1.4,2025-02-17 05:59:54.016,0.801,4.86,4.62,0.72,0.69,18.439999999999976,35048,35984,0.0,0.0,55,0.0,0.0,50,0.0,0.0,52
9.46,1.41,2025-02-17 05:59:54.117,0.902,4.87,4.59,0.72,0.69,18.96999999999998,35048,35880,0.0,0.0,59,0.0,0.0,53,0.0,0.0,56
9.46,1.41,2025-02-17 05:59:54.217,1.002,4.87,4.59,0.72,0.69,16.199999999999996,34944,35880,0.0,0.0,53,0.0,0.0,51,0.0,0.0,52
9.49,1.41,2025-02-17 05:59:54.317,1.102,4.88,4.61,0.72,0.69,22.229999999999976,34632,34632,0.0,0.0,27,0.0,0.0,74,0.01,0.0,52
9.68,1.4,2025-02-17 05:59:54.416,1.201,4.86,4.82,0.72,0.69,43.260000000000005,34424,34424,0.0,0.01,10,0.01,0.0,91,0.01,0.01,43
9.46,1.4,2025-02-17 05:59:54.517,1.302,4.85,4.61,0.72,0.68,17.540000000000006,34424,34528,0.0,0.0,55,0.0,0.0,49,0.0,0.0,52
