time,workload,cpu (%),mem_usage,mem_limit,mem_%,net_i/o_used,net_i/o_total,block_i/o_used,block_i/o_total
"2025-02-17 04:43:19.029258
",x265,2719.47,1.797,96.0,1.87%,0.0,0.0,0.099609375,0.0
"2025-02-17 04:43:19.029258
",x265,3213.54,2.108,96.0,2.20%,0.0,0.0,0.357421875,0.0
"2025-02-17 04:43:21.385410
",x265,4254.62,2.959,96.0,3.08%,0.0,0.0,0.099609375,0.0
"2025-02-17 04:43:21.385410
",x265,4091.57,3.347,96.0,3.49%,0.0,0.0,0.591796875,0.0
"2025-02-17 04:43:23.395466
",x265,4016.90,2.992,96.0,3.12%,0.0,0.0,0.1318359375,0.0
"2025-02-17 04:43:23.395466
",x265,4104.18,3.476,96.0,3.62%,0.0,0.0,0.7880859375,0.0
"2025-02-17 04:43:25.407618
",x265,4008.66,2.992,96.0,3.12%,0.0,0.0,0.1318359375,0.0
"2025-02-17 04:43:25.407618
",x265,4194.94,3.71,96.0,3.86%,0.0,0.0,1.06,0.0
"2025-02-17 04:43:27.419547
",x265,3938.52,2.993,96.0,3.12%,0.0,0.0,0.1318359375,0.0
"2025-02-17 04:43:27.419547
",x265,4203.06,3.916,96.0,4.08%,0.0,0.0,1.32,0.0
"2025-02-17 04:43:29.432227
",x265,4008.53,3.0,96.0,3.12%,0.0,0.0,0.138671875,0.0
"2025-02-17 04:43:29.432227
",x265,4202.95,4.03,96.0,4.20%,0.0,0.0,1.48,0.0
"2025-02-17 04:43:31.441041
",x265,4060.14,3.0,96.0,3.13%,0.0,0.0,0.1396484375,0.0
"2025-02-17 04:43:31.441041
",x265,4100.98,4.186,96.0,4.36%,0.0,0.0,1.69,0.0
"2025-02-17 04:43:33.449263
",x265,4060.27,2.999,96.0,3.12%,0.0,0.0,0.140625,0.0
"2025-02-17 04:43:33.449263
",x265,4142.57,4.356,96.0,4.54%,0.0,0.0,1.95,0.0
"2025-02-17 04:43:35.461465
",x265,3880.61,2.999,96.0,3.12%,0.0,0.0,0.140625,0.0
"2025-02-17 04:43:35.461465
",x265,4341.52,4.521,96.0,4.71%,0.0,0.0,2.15,0.0
"2025-02-17 04:43:37.478105
",x265,3972.82,3.025,96.0,3.15%,0.0,0.0,0.140625,0.0
"2025-02-17 04:43:37.478105
",x265,4204.48,4.702,96.0,4.90%,0.0,0.0,2.34,0.0
"2025-02-17 04:43:39.484110
",x265,4102.40,3.025,96.0,3.15%,0.0,0.0,0.140625,0.0
"2025-02-17 04:43:39.484110
",x265,4114.83,4.735,96.0,4.93%,0.0,0.0,2.4,0.0
"2025-02-17 04:43:41.497076
",x265,3947.09,3.032,96.0,3.16%,0.0,0.0,0.140625,0.0
"2025-02-17 04:43:41.497076
",x265,4514.91,4.749,96.0,4.95%,0.0,0.0,2.43,0.0
"2025-02-17 04:43:43.507743
",x265,4539.03,3.031,96.0,3.16%,0.0,0.0,0.14453125,0.0
"2025-02-17 04:43:43.507743
",x265,4159.58,4.845,96.0,5.05%,0.0,0.0,2.56,0.0
"2025-02-17 04:43:45.516971
",x265,4193.73,3.261,96.0,3.40%,0.0,0.0,0.4345703125,0.0
"2025-02-17 04:43:45.516971
",x265,4095.78,4.846,96.0,5.05%,0.0,0.0,2.57,0.0
"2025-02-17 04:43:47.527188
",x265,4023.99,3.315,96.0,3.45%,0.0,0.0,0.51953125,0.0
"2025-02-17 04:43:47.527188
",x265,4105.27,4.87,96.0,5.07%,0.0,0.0,2.6,0.0
"2025-02-17 04:43:49.536965
",x265,4148.21,3.38,96.0,3.52%,0.0,0.0,0.6025390625,0.0
"2025-02-17 04:43:49.536965
",x265,4005.55,4.901,96.0,5.11%,0.0,0.0,2.64,0.0
"2025-02-17 04:43:51.547600
",x265,4295.58,3.387,96.0,3.53%,0.0,0.0,0.6376953125,0.0
"2025-02-17 04:43:51.547600
",x265,3999.26,4.902,96.0,5.11%,0.0,0.0,2.64,0.0
"2025-02-17 04:43:53.559102
",x265,4060.89,3.395,96.0,3.54%,0.0,0.0,0.671875,0.0
"2025-02-17 04:43:53.559102
",x265,4144.85,4.902,96.0,5.11%,0.0,0.0,2.64,0.0
"2025-02-17 04:43:55.568735
",x265,4033.92,3.409,96.0,3.55%,0.0,0.0,0.712890625,0.0
"2025-02-17 04:43:55.568735
",x265,4221.02,4.901,96.0,5.11%,0.0,0.0,2.64,0.0
"2025-02-17 04:43:57.581593
",x265,4019.54,3.428,96.0,3.57%,0.0,0.0,0.8017578125,0.0
"2025-02-17 04:43:57.581593
",x265,4206.78,4.901,96.0,5.11%,0.0,0.0,2.64,0.0
"2025-02-17 04:43:59.588685
",x265,4065.33,3.616,96.0,3.77%,0.0,0.0,1.06,0.0
"2025-02-17 04:43:59.588685
",x265,4111.26,4.901,96.0,5.11%,0.0,0.0,2.64,0.0
"2025-02-17 04:44:01.599860
",x265,4154.95,3.688,96.0,3.84%,0.0,0.0,1.13,0.0
"2025-02-17 04:44:01.599860
",x265,4113.75,4.901,96.0,5.11%,0.0,0.0,2.64,0.0
"2025-02-17 04:44:03.611484
",x265,3976.28,3.698,96.0,3.85%,0.0,0.0,1.16,0.0
"2025-02-17 04:44:03.611484
",x265,4141.87,4.901,96.0,5.11%,0.0,0.0,2.64,0.0
"2025-02-17 04:44:05.620567
",x265,4549.76,3.714,96.0,3.87%,0.0,0.0,1.18,0.0
"2025-02-17 04:44:05.620567
",x265,4211.27,4.916,96.0,5.12%,0.0,0.0,2.64,0.0
"2025-02-17 04:44:07.630844
",x265,2894.38,3.79,96.0,3.95%,0.0,0.0,1.28,0.0
"2025-02-17 04:44:07.630844
",x265,4981.81,4.962,96.0,5.17%,0.0,0.0,2.68,0.0
"2025-02-17 04:44:09.643174
",x265,4126.40,3.995,96.0,4.16%,0.0,0.0,1.52,0.0
