Proc Energy (Joules),DRAM Energy (Joules),Datetime,Time elapsed(s),Socket 0 Proc Energy (Joules),Socket 1 Proc Energy (Joules),Socket 0 DRAM Energy (Joules),Socket 1 DRAM Energy (Joules),CPU Utilization (%),Socket 0 L3 Cache Occupancy,Socket 1 L3 Cache Occupancy,Memory Read Bandwidth (Socket 0) (GB/s),Memory Write Bandwidth (Socket 0) (GB/s),Memory Utilization (Socket 0) (%),Memory Read Bandwidth (Socket 1) (GB/s),Memory Write Bandwidth (Socket 1) (GB/s),Memory Utilization (Socket 1) (%),Memory Read Bandwidth (System) (GB/s),Memory Write Bandwidth (System) (GB/s),Memory Utilization (System) (%)
11.19,1.51,2025-02-17 04:43:00.010,0.0,5.02,6.17,0.76,0.75,113.64,34216,35672,0.03,0.04,1,0.05,0.04,99,0.08,0.08,59
10.25,1.47,2025-02-17 04:43:00.110,0.1,4.96,5.28,0.77,0.7,111.33999999999992,33800,36400,0.07,0.08,0,0.03,0.02,99,0.1,0.1,29
10.05,1.45,2025-02-17 04:43:00.209,0.199,4.9,5.15,0.76,0.69,115.21000000000001,33592,35360,0.06,0.07,0,0.03,0.02,98,0.09,0.09,30
10.02,1.45,2025-02-17 04:43:00.309,0.299,4.86,5.17,0.76,0.7,114.90000000000003,33488,33072,0.05,0.07,0,0.03,0.02,99,0.09,0.09,40
10.08,1.46,2025-02-17 04:43:00.409,0.399,4.88,5.2,0.73,0.73,122.90999999999998,33488,34632,0.02,0.02,6,0.06,0.04,97,0.07,0.07,74
10.68,1.47,2025-02-17 04:43:00.521,0.511,4.91,5.78,0.74,0.73,139.92000000000007,33072,36920,0.03,0.03,3,0.06,0.05,98,0.09,0.09,67
10.5,1.46,2025-02-17 04:43:00.617,0.607,4.87,5.62,0.75,0.72,115.06999999999998,33072,34944,0.04,0.04,1,0.05,0.03,99,0.09,0.07,60
9.97,1.46,2025-02-17 04:43:00.710,0.7,4.87,5.11,0.73,0.73,117.33999999999996,32864,35360,0.02,0.02,1,0.06,0.04,99,0.08,0.07,75
9.97,1.46,2025-02-17 04:43:00.810,0.8,4.89,5.09,0.75,0.71,113.45000000000003,32760,36192,0.04,0.04,0,0.05,0.04,99,0.09,0.08,58
10.13,1.48,2025-02-17 04:43:00.911,0.901,4.94,5.18,0.77,0.71,114.93000000000005,32656,35984,0.07,0.08,0,0.03,0.03,99,0.11,0.11,35
9.96,1.46,2025-02-17 04:43:01.011,1.001,4.88,5.08,0.75,0.71,117.53000000000006,32760,36816,0.04,0.05,0,0.05,0.03,99,0.09,0.08,53
10.49,1.46,2025-02-17 04:43:01.111,1.101,4.83,5.66,0.73,0.73,114.45000000000002,32552,35984,0.02,0.02,1,0.05,0.04,99,0.07,0.06,71
9.89,1.42,2025-02-17 04:43:01.212,1.202,4.83,5.06,0.72,0.7,73.50000000000003,32760,36816,0.01,0.01,3,0.02,0.02,96,0.03,0.03,65
9.36,1.38,2025-02-17 04:43:01.312,1.302,4.81,4.56,0.71,0.67,14.38000000000001,32968,36712,0.0,0.0,48,0.0,0.0,59,0.0,0.0,55
9.35,1.38,2025-02-17 04:43:01.411,1.401,4.76,4.59,0.7,0.67,14.470000000000015,33072,36920,0.0,0.0,47,0.0,0.0,67,0.0,0.0,55
9.42,1.38,2025-02-17 04:43:01.511,1.501,4.8,4.62,0.71,0.67,27.800000000000015,32760,36816,0.0,0.0,39,0.0,0.0,74,0.01,0.0,65
9.45,1.4,2025-02-17 04:43:01.611,1.601,4.81,4.64,0.71,0.69,14.66000000000001,33072,36816,0.0,0.0,56,0.0,0.0,53,0.0,0.0,54
