,index,cpu,batch size,start time,end time,avg latency (ms),99th percentile (ms),95th percentile (ms),num queries
64,hnsw,8,8,2024-10-27 02:14:36.481216,2024-10-27 04:08:29.351735,13665.653789999998,14023.362280000001,13975.89695,4000
65,hnsw,8,16,2024-10-27 04:31:01.068043,2024-10-27 06:26:40.909733,13879.594958,14505.43717,14393.74415,8000
66,hnsw,8,32,2024-10-27 06:49:29.363645,2024-10-27 08:51:04.082804,14589.362325999999,16501.948679999998,15309.48935,16000
67,hnsw,8,64,2024-10-27 09:14:27.987983,2024-10-27 11:16:27.093632,14638.138620000002,17516.395789999995,15321.87675,32000
68,hnsw,8,128,2024-10-27 11:39:56.588794,2024-10-27 13:41:12.772568,14552.294243999999,15994.118609999998,15132.29525,64000
69,hnsw,8,256,2024-10-27 14:28:19.562312,2024-10-27 17:30:02.966535,28998.34069148936,31821.096250000002,30064.70525,96256
70,hnsw,8,512,2024-10-27 19:04:36.567014,2024-10-27 22:06:24.689279,55468.6487925532,59862.96718,59685.47635,96256
71,hnsw,8,1024,2024-10-28 00:52:40.575270,2024-10-28 03:31:12.655947,40553.97181914894,49466.64244999998,44664.33265,96256
168,hnsw,16,8,2024-10-21 11:24:52.253402,2024-10-21 12:26:18.683407,7372.779618,7585.28621,7517.4693,4000
169,hnsw,16,16,2024-10-21 12:38:34.572145,2024-10-21 13:40:26.971806,7424.730862,7638.8173799999995,7590.54495,8000
170,hnsw,16,32,2024-10-21 13:52:48.173465,2024-10-21 14:54:43.300248,7430.18731,7640.48554,7583.2513,16000
171,hnsw,16,64,2024-10-21 15:07:01.865025,2024-10-21 16:12:13.391106,7822.97767,8313.938409999999,8153.4783,32000
172,hnsw,16,128,2024-10-21 16:24:59.719734,2024-10-21 17:30:15.763719,7832.017148,8134.03704,8066.80315,64000
173,hnsw,16,256,2024-10-21 17:55:48.253830,2024-10-21 19:33:53.793008,15652.960627659573,16591.98075,16107.6245,96256
174,hnsw,16,512,2024-10-21 20:25:28.513730,2024-10-21 22:03:28.097548,31274.313989361704,32845.78743,31917.9735,96256
175,hnsw,16,1024,2024-10-21 23:34:12.492781,2024-10-22 01:00:27.586233,53777.522819148944,56476.479419999996,55898.223300000005,96256
88,hnsw,24,8,2024-10-26 03:12:07.421864,2024-10-26 03:48:03.385447,4311.851578,4503.66723,4465.3074,4000
89,hnsw,24,16,2024-10-26 03:55:16.687744,2024-10-26 04:31:02.713502,4291.979118,4480.12877,4435.690250000001,8000
90,hnsw,24,32,2024-10-26 04:38:09.605943,2024-10-26 05:14:23.101614,4346.922278,4551.3724,4497.781300000001,16000
91,hnsw,24,64,2024-10-26 05:21:36.030648,2024-10-26 05:57:56.023505,4359.91495,4601.76742,4503.3476,32000
92,hnsw,24,128,2024-10-26 06:05:14.399971,2024-10-26 06:42:07.151821,4425.433518,4618.987029999999,4585.67625,64000
93,hnsw,24,256,2024-10-26 06:56:51.370372,2024-10-26 07:54:08.499793,9141.224869680851,9579.327000000001,9482.6295,96256
94,hnsw,24,512,2024-10-26 08:24:07.513633,2024-10-26 09:21:05.990647,18183.312531914893,18879.9929,18658.8236,96256
95,hnsw,24,1024,2024-10-26 10:13:54.604721,2024-10-26 11:03:48.804605,31853.11498936171,34717.22294999998,32608.6429,96256
16,hnsw,32,8,2024-10-20 21:32:24.053869,2024-10-20 21:58:53.215210,3178.25222,3383.1344599999998,3338.4951,4000
17,hnsw,32,16,2024-10-20 22:04:03.857305,2024-10-20 22:30:41.962546,3196.1451460000003,3390.6844100000003,3345.1045999999997,8000
18,hnsw,32,32,2024-10-20 22:36:02.945583,2024-10-20 23:02:48.745233,3211.5352139999995,3386.39669,3339.88145,16000
19,hnsw,32,64,2024-10-20 23:08:10.189224,2024-10-20 23:35:01.910473,3223.378508,3420.6373,3365.5068,32000
