,Time (s),grid CI (gCO2eq/kWh),grid CI (gCO2eq/J),cpu CI (gCO2eq/core-second),mem CI (gCO2eq/GB-second),Min CF Config,Min Runtime Config,Min Energy Config,Min Embodied CF Config,Min CF CF (gCO2eq),Min Runtime CF (gCO2eq),Min Energy CF (gCO2eq),Min Embodied CF (gCO2eq),Min CF Embodied CF (gCO2eq),Min Runtime Embodied CF (gCO2eq),Min Energy Embodied CF (gCO2eq),Min Embodied Embodied CF (gCO2eq),Min CF Operational CF (gCO2eq),Min Runtime Operational CF (gCO2eq),Min Energy Operational CF (gCO2eq),Min Embodied Operational CF (gCO2eq),Min CF % Improvement,Min Energy % Improvement,Min Embodied % Improvement
0,0,127.91,3.553055555555555e-05,1.7939370879224374e-05,1.2385759095506394e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0001622326734873071,0.0002608482098256944,0.00016556304903581924,0.00018531464697365632,2.7535329391203678e-05,4.42601582213047e-05,5.085454288822799e-05,2.4433992149084868e-05,0.00013469734409610342,0.00021658805160438971,0.00011470850614759125,0.00016088065482457146,37.805717127322744,36.52896864944835,28.95690290629619
1,3600,181.5,5.041666666666666e-05,1.7810833838303618e-05,1.231389480889423e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00021329817256161902,0.00035129752678197425,0.00021329817256161902,0.0002525635429288758,5.053064957054865e-05,4.396634574689703e-05,5.053064957054865e-05,2.4279289542434437e-05,0.00016276752299107037,0.0003073311810350772,0.00016276752299107037,0.0002282842533864414,39.282757121715164,39.282757121715164,28.105516357470883
2,7200,237.48,6.596666666666665e-05,1.783736782297804e-05,1.232445113230111e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00026355711964024095,0.000446142349070514,0.00026355711964024095,0.00032299997114409833,5.0587249888618975e-05,4.4021088066601365e-05,5.0587249888618975e-05,2.43060620850785e-05,0.00021296986975162196,0.0004021212610039126,0.00021296986975162196,0.00029869390905901984,40.925330180080024,40.925330180080024,27.60158908540482
3,10800,236.87,6.579722222222223e-05,1.782208934795839e-05,1.231681055421691e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00026297373995657616,0.0004450757667029961,0.00026297373995657616,0.0003222154339994434,5.055091256872582e-05,4.398740939292028e-05,5.055091256872582e-05,2.4288761274119022e-05,0.00021242282738785038,0.0004010883573100758,0.00021242282738785038,0.0002979266727253244,40.914837510786924,40.914837510786924,27.60436354773247
4,14400,231.36,6.426666666666667e-05,1.7732813643496158e-05,1.22733867756613e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00025782302580739676,0.0004355506630576986,0.00025782302580739676,0.00031518553342323185,5.034151550869683e-05,4.379230468703475e-05,5.034151550869683e-05,2.418914299079611e-05,0.00020748151029869994,0.0003917583583706638,0.00020748151029869994,0.00029099639043243575,40.805273031293204,40.805273031293204,27.63516161115834
5,18000,216.95,6.026388888888888e-05,1.778438045949261e-05,1.237637127912654e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00024520804848179834,0.00041137072155398034,0.00024520804848179834,0.00029721268826421134,5.064929303875305e-05,4.40125963442833e-05,5.064929303875305e-05,2.4340684009729466e-05,0.00019455875544304525,0.000367358125209697,0.00019455875544304525,0.00027287200425448187,40.39244028950126,40.39244028950126,27.750646146747975
6,21600,218.38,6.06611111111111e-05,1.807544823227713e-05,1.2541519535982632e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00024722969405108674,0.00041446078130086045,0.00024722969405108674,0.0002993645231326728,5.138852782083913e-05,4.46812589072507e-05,5.138852782083913e-05,2.4693915669691697e-05,0.00019584116623024762,0.00036977952239360975,0.00019584116623024762,0.0002746706074629811,40.349073976285176,40.349073976285176,27.77012044588082
7,25200,204.63,5.684166666666666e-05,1.8099190322955157e-05,1.2828024647405458e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00023561391580520687,0.00039160976551152793,0.00023561391580520687,0.0002824285284786456,5.210362252882819e-05,4.511290834784824e-05,5.210362252882819e-05,2.5052182635849427e-05,0.00018351029327637867,0.00034649685716367967,0.00018351029327637867,0.00025737634584279616,39.834514724768525,39.834514724768525,27.880110928865058
8,28800,190.73,5.298055555555555e-05,1.791402310304421e-05,1.2437365227822264e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00022199332211688617,0.0003672532676810596,0.00022199332211688617,0.00026437627436557884,5.094842040841866e-05,4.429306845890927e-05,5.094842040841866e-05,2.448285481518784e-05,0.0001710449017084675,0.00032296019922215034,0.0001710449017084675,0.000239893419550391,39.553070958737976,39.553070958737976,28.012546754199093
9,32400,194.13,5.3924999999999996e-05,1.783467994372595e-05,1.2305935022609413e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0002246336654202912,0.0003727088130586922,0.0002246336654202912,0.00026845211684944074,5.0539675126867e-05,4.399144570695914e-05,5.0539675126867e-05,2.4282298062058517e-05,0.0001740939902934242,0.00032871736735173303,0.0001740939902934242,0.0002441698187873822,39.729446272869026,39.729446272869026,27.972694113040376
