,Grid CI (gCO2eq/kWh),Grid CI (gCO2eq/J),cpu CI (gCO2eq/core-second),mem CI (gCO2eq/GB-second),Min CF Config,Min Runtime Config,Min Energy Config,Min Embodied CF Config,Min CF CF (gCO2eq),Min Runtime CF (gCO2eq),Min Energy CF (gCO2eq),Min Embodied CF (gCO2eq),Min CF Embodied CF (gCO2eq),Min Runtime Embodied CF (gCO2eq),Min Energy Embodied CF (gCO2eq),Min Embodied Embodied CF (gCO2eq),Min CF Operational CF (gCO2eq),Min Runtime Operational CF (gCO2eq),Min Energy Operational CF (gCO2eq),Min Embodied Operational CF (gCO2eq)
0,0,0.0,1.8189199116353798e-05,1.2463145624577203e-05,"['ivf', np.int64(32), np.int64(32)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",2.4659513714807017e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,2.4659513714807017e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,0.0,0.0,0.0,0.0
1,10,2.777777777777778e-06,1.8189199116353798e-05,1.2463145624577203e-05,"['ivf', np.int64(96), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",3.530741930793319e-05,6.845268452194342e-05,5.33384826808553e-05,3.7237158529486985e-05,2.561584949895266e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,9.69156980898053e-06,1.8368794973239897e-05,7.80941374885507e-06,1.2577644814679968e-05
2,20,5.555555555555556e-06,1.8189199116353798e-05,1.2463145624577203e-05,"['ivf', np.int64(96), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",4.4998989116913725e-05,8.682147949518332e-05,6.114789642971037e-05,4.981480334416695e-05,2.561584949895266e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,1.938313961796106e-05,3.6737589946479794e-05,1.561882749771014e-05,2.5155289629359936e-05
3,30,8.333333333333334e-06,1.8189199116353798e-05,1.2463145624577203e-05,"['ivf', np.int64(96), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",5.4690558925894255e-05,0.00010519027446842321,6.895731017856543e-05,6.239244815884693e-05,2.561584949895266e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,2.907470942694159e-05,5.510638491971969e-05,2.342824124656521e-05,3.7732934444039905e-05
4,40,1.1111111111111112e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['ivf', np.int64(96), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",6.438212873487478e-05,0.00012355906944166311,7.676672392742051e-05,7.497009297352689e-05,2.561584949895266e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,3.876627923592212e-05,7.347517989295959e-05,3.123765499542028e-05,5.031057925871987e-05
5,50,1.388888888888889e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['ivf', np.int64(96), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",7.407369854385531e-05,0.00014192786441490302,8.457613767627558e-05,8.754773778820686e-05,2.561584949895266e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,4.845784904490265e-05,9.184397486619948e-05,3.904706874427535e-05,6.288822407339985e-05
6,60,1.6666666666666667e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['ivf', np.int64(96), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",8.376526835283584e-05,0.00016029665938814292,9.238555142513065e-05,0.00010012538260288683,2.561584949895266e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,5.814941885388318e-05,0.00011021276983943938,4.685648249313042e-05,7.546586888807981e-05
7,70,1.9444444444444445e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['ivf', np.int64(96), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",9.345683816181637e-05,0.00017866545436138277,0.00010019496517398571,0.0001127030274175668,2.561584949895266e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,6.784098866286371e-05,0.00012858156481267927,5.4665896241985485e-05,8.804351370275978e-05
8,80,2.2222222222222223e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['ivf', np.int64(96), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",0.0001031484079707969,0.00019703424933462268,0.0001080043789228408,0.00012528067223224678,2.561584949895266e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,7.753255847184424e-05,0.00014695035978591918,6.247530999084056e-05,0.00010062115851743975
9,90,2.5e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['hnsw', np.int64(72), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",0.00011250698137526288,0.00021540304430786258,0.00011581379267169586,0.00013785831704692672,4.142095763251571e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,7.108602374274718e-05,0.00016531915475915905,7.028472373969562e-05,0.00011319880333211972
10,100,2.777777777777778e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['hnsw', np.int64(72), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",0.00012040542845779035,0.00023377183928110248,0.00012362320642055093,0.00015043596186160673,4.142095763251571e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,7.898447082527464e-05,0.00018368794973239896,7.80941374885507e-05,0.0001257764481467997
