,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
10,3Dgrid_J_640000000,10,48,32,7.113,2024-10-29 22:05:09.219200,2024-10-29 22:06:20.359300,1710.0147614031646,223.73245556476792,1962.5247202531648,243.72579451476795,1836.269740828165,227.06467872310125,4812.521898734176,275.9067510548523,34.264838255977494,341.42400000000004,227.616,1.81891991163538e-05,1.2463145624577203e-05,2063.3344195512664,0.0,0.0,0.0,0.0062102291191019,0.0028368113544837,0.0090470404735857,0.0090470404735857,breadthFirstSearch,0,True,False,False,True,44.30290796315022,30.19381439843942,-0.0,-0.0
24,3Dgrid_J_640000000,10,96,96,5.52,2024-10-27 22:54:39.653000,2024-10-27 22:55:34.865700,1497.4442324963502,196.6839708321168,1693.4030364963503,212.1996788321168,1693.4030364963503,204.4418248321168,9573.27877737226,306.77591240875915,38.441970802919705,529.92,529.92,1.81891991163538e-05,1.2463145624577203e-05,1897.844861328467,0.0,0.0,0.0,0.0096388203957382,0.0066044701293759,0.0162432905251141,0.0162432905251141,breadthFirstSearch,0,False,True,False,False,-0.0,-25.331831606892635,-79.5425871315489,-79.5425871315489
43,3Dgrid_J_640000000,10,80,64,5.753,2024-10-28 01:56:04.366300,2024-10-28 01:57:01.904800,1504.0985837007247,200.827529107971,1708.3288372173913,216.99815739130435,1674.2904616312803,206.2177385357488,8012.352382608696,296.9457391304348,37.719130434782606,460.24,368.192,1.81891991163538e-05,1.2463145624577203e-05,1880.5082001670287,0.0,0.0,0.0,0.0083713970013106,0.0045888305138043,0.012960227515115,0.012960227515115,breadthFirstSearch,0,False,False,True,False,20.211809946531982,-0.0,-43.25378064743365,-43.25378064743365
88,3Dgrid_J_640000000,10,48,32,7.113,2024-10-29 22:05:09.219200,2024-10-29 22:06:20.359300,1710.0147614031646,223.73245556476792,1962.5247202531648,243.72579451476795,1836.269740828165,227.06467872310125,4812.521898734176,275.9067510548523,34.264838255977494,341.42400000000004,227.616,1.81891991163538e-05,1.2463145624577203e-05,2063.3344195512664,0.0051007492800782,0.0006307352186752,0.0057314844987535,0.0062102291191019,0.0028368113544837,0.0090470404735857,0.0147785249723392,breadthFirstSearch,10,True,False,False,True,31.310858563326445,18.727245860397414,-0.0,-0.0
102,3Dgrid_J_640000000,10,96,96,5.52,2024-10-27 22:54:39.653000,2024-10-27 22:55:34.865700,1497.4442324963502,196.6839708321168,1693.4030364963503,212.1996788321168,1693.4030364963503,204.4418248321168,9573.27877737226,306.77591240875915,38.441970802919705,529.92,529.92,1.81891991163538e-05,1.2463145624577203e-05,1897.844861328467,0.0047038973236009,0.0005678939578669,0.0052717912814679,0.0096388203957382,0.0066044701293759,0.0162432905251141,0.0215150818065821,breadthFirstSearch,10,False,True,False,False,-0.0,-18.31965349942569,-45.583418147965645,-45.583418147965645
121,3Dgrid_J_640000000,10,80,64,5.753,2024-10-28 01:56:04.366300,2024-10-28 01:57:01.904800,1504.0985837007247,200.827529107971,1708.3288372173913,216.99815739130435,1674.2904616312803,206.2177385357488,8012.352382608696,296.9457391304348,37.719130434782606,460.24,368.192,1.81891991163538e-05,1.2463145624577203e-05,1880.5082001670287,0.0046508068378646,0.0005728270514881,0.0052236338893528,0.0083713970013106,0.0045888305138043,0.012960227515115,0.0181838614044678,breadthFirstSearch,10,False,False,True,False,15.483187245400961,-0.0,-23.04246491786108,-23.04246491786108
166,3Dgrid_J_640000000,10,48,32,7.113,2024-10-29 22:05:09.219200,2024-10-29 22:06:20.359300,1710.0147614031646,223.73245556476792,1962.5247202531648,243.72579451476795,1836.269740828165,227.06467872310125,4812.521898734176,275.9067510548523,34.264838255977494,341.42400000000004,227.616,1.81891991163538e-05,1.2463145624577203e-05,2063.3344195512664,0.0102014985601564,0.0012614704373505,0.011462968997507,0.0062102291191019,0.0028368113544837,0.0090470404735857,0.0205100094710927,breadthFirstSearch,20,True,False,False,True,23.432610429462553,12.378453082474413,-0.0,-0.0
180,3Dgrid_J_640000000,10,96,96,5.52,2024-10-27 22:54:39.653000,2024-10-27 22:55:34.865700,1497.4442324963502,196.6839708321168,1693.4030364963503,212.1996788321168,1693.4030364963503,204.4418248321168,9573.27877737226,306.77591240875915,38.441970802919705,529.92,529.92,1.81891991163538e-05,1.2463145624577203e-05,1897.844861328467,0.0094077946472019,0.0011357879157339,0.0105435825629359,0.0096388203957382,0.0066044701293759,0.0162432905251141,0.02678687308805,breadthFirstSearch,20,False,True,False,False,-0.0,-14.437161053798931,-30.60390403916714,-30.60390403916714
199,3Dgrid_J_640000000,10,80,64,5.753,2024-10-28 01:56:04.366300,2024-10-28 01:57:01.904800,1504.0985837007247,200.827529107971,1708.3288372173913,216.99815739130435,1674.2904616312803,206.2177385357488,8012.352382608696,296.9457391304348,37.719130434782606,460.24,368.192,1.81891991163538e-05,1.2463145624577203e-05,1880.5082001670287,0.0093016136757293,0.0011456541029763,0.0104472677787057,0.0083713970013106,0.0045888305138043,0.012960227515115,0.0234074952938207,breadthFirstSearch,20,False,False,True,False,12.61579798105247,-0.0,-14.127179350218185,-14.127179350218185
244,3Dgrid_J_640000000,10,48,32,7.113,2024-10-29 22:05:09.219200,2024-10-29 22:06:20.359300,1710.0147614031646,223.73245556476792,1962.5247202531648,243.72579451476795,1836.269740828165,227.06467872310125,4812.521898734176,275.9067510548523,34.264838255977494,341.42400000000004,227.616,1.81891991163538e-05,1.2463145624577203e-05,2063.3344195512664,0.0153022478402347,0.0018922056560258,0.0171944534962605,0.0062102291191019,0.0028368113544837,0.0090470404735857,0.0262414939698462,breadthFirstSearch,30,False,False,False,True,18.145392249100926,8.346283508551542,-0.0,-0.5220373730206818
252,3Dgrid_J_640000000,10,64,32,6.263,2024-10-29 21:44:39.202100,2024-10-29 21:45:41.840400,1596.633149475346,210.1999742262513,1818.9682924920128,227.80411900958464,1744.8565781531238,213.13399835680684,6413.188785942492,290.4308306709265,36.37300319488818,400.832,200.416,1.81891991163538e-05,1.2463145624577203e-05,1957.9905765099304,0.0145404714846093,0.0017761166529733,0.0163165881375827,0.0072908130602063,0.0024978137934952,0.0097886268537015,0.0261052149912843,breadthFirstSearch,30,True,False,False,False,18.570484751368358,8.822265359249883,0.5193262956693637,-0.0
258,3Dgrid_J_640000000,10,96,96,5.52,2024-10-27 22:54:39.653000,2024-10-27 22:55:34.865700,1497.4442324963502,196.6839708321168,1693.4030364963503,212.1996788321168,1693.4030364963503,204.4418248321168,9573.27877737226,306.77591240875915,38.441970802919705,529.92,529.92,1.81891991163538e-05,1.2463145624577203e-05,1897.844861328467,0.0141116919708029,0.0017036818736009,0.0158153738444038,0.0096388203957382,0.0066044701293759,0.0162432905251141,0.032058664369518,breadthFirstSearch,30,False,True,False,False,-0.0,-11.971358741795143,-22.16783238925437,-22.805594132135546
277,3Dgrid_J_640000000,10,80,64,5.753,2024-10-28 01:56:04.366300,2024-10-28 01:57:01.904800,1504.0985837007247,200.827529107971,1708.3288372173913,216.99815739130435,1674.2904616312803,206.2177385357488,8012.352382608696,296.9457391304348,37.719130434782606,460.24,368.192,1.81891991163538e-05,1.2463145624577203e-05,1880.5082001670287,0.013952420513594,0.0017184811544645,0.0156709016680585,0.0083713970013106,0.0045888305138043,0.012960227515115,0.0286311291831735,breadthFirstSearch,30,False,False,True,False,10.691447238218284,-0.0,-9.106323047282293,-9.675898829917784
322,3Dgrid_J_640000000,10,48,32,7.113,2024-10-29 22:05:09.219200,2024-10-29 22:06:20.359300,1710.0147614031646,223.73245556476792,1962.5247202531648,243.72579451476795,1836.269740828165,227.06467872310125,4812.521898734176,275.9067510548523,34.264838255977494,341.42400000000004,227.616,1.81891991163538e-05,1.2463145624577203e-05,2063.3344195512664,0.0204029971203129,0.0025229408747011,0.022925937995014,0.0062102291191019,0.0028368113544837,0.0090470404735857,0.0319729784685998,breadthFirstSearch,40,False,False,False,True,14.351491534083905,5.558404292758718,-0.0,-1.3596871299111266
