,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
42,2DonSphere_1000000000,3,96,88,28.076,2024-11-03 23:46:25.890800,2024-11-03 23:47:50.122900,8049.358296786028,852.5981177337326,9046.050213652696,931.514606467066,9046.050213652696,888.7681750698437,9572.008131736526,322.1986826347306,33.178323353293415,2695.2960000000003,2470.688,1.81891991163538e-05,1.2463145624577203e-05,9934.81838872254,0.0,0.0,0.0,0.0490252756215119,0.0307925443368954,0.0798178199584073,0.0798178199584073,convexHull,0,False,True,False,False,-0.0,-16.15221225460281,-67.70038637536192,-67.70038637536192
50,2DonSphere_1000000000,3,96,56,28.116,2024-11-04 01:05:14.760500,2024-11-04 01:06:39.112400,8050.646917098327,850.8289330152745,9048.758825298328,929.8578544152743,9048.758825298328,873.8790350902746,9572.759964200475,321.8366348448687,33.07219570405728,2699.136,1574.496,1.81891991163538e-05,1.2463145624577203e-05,9922.637860388602,0.0,0.0,0.0,0.0490951221461187,0.0196231729333143,0.068718295079433,0.068718295079433,convexHull,0,False,False,True,False,13.906073712309116,-0.0,-44.3798470301769,-44.3798470301769
57,2DonSphere_1000000000,3,48,48,32.349,2024-10-28 05:45:04.910900,2024-10-28 05:46:41.962900,8742.681835706195,904.5231370012395,9891.064326756195,995.4502453512396,9316.873081231195,927.2549140887396,4812.648140495869,305.7610537190082,30.77221074380165,1552.752,1552.752,1.81891991163538e-05,1.2463145624577203e-05,10244.127995319936,0.0,0.0,0.0,0.0282433153063165,0.0193521742948535,0.04759548960117,0.04759548960117,convexHull,0,True,False,False,True,40.36984519751129,30.738256026065088,-0.0,-0.0
120,2DonSphere_1000000000,3,96,88,28.076,2024-11-03 23:46:25.890800,2024-11-03 23:47:50.122900,8049.358296786028,852.5981177337326,9046.050213652696,931.514606467066,9046.050213652696,888.7681750698437,9572.008131736526,322.1986826347306,33.178323353293415,2695.2960000000003,2470.688,1.81891991163538e-05,1.2463145624577203e-05,9934.81838872254,0.0251279172601463,0.0024688004863051,0.0275967177464515,0.0490252756215119,0.0307925443368954,0.0798178199584073,0.1074145377048588,convexHull,10,False,True,False,False,-0.0,-11.56338124261009,-41.239394300694734,-41.239394300694734
128,2DonSphere_1000000000,3,96,56,28.116,2024-11-04 01:05:14.760500,2024-11-04 01:06:39.112400,8050.646917098327,850.8289330152745,9048.758825298328,929.8578544152743,9048.758825298328,873.8790350902746,9572.759964200475,321.8366348448687,33.07219570405728,2699.136,1574.496,1.81891991163538e-05,1.2463145624577203e-05,9922.637860388602,0.0251354411813842,0.0024274417641396,0.0275628829455239,0.0490951221461187,0.0196231729333143,0.068718295079433,0.0962811780249569,convexHull,10,False,False,True,False,10.364853694658024,-0.0,-26.600137722206558,-26.600137722206558
135,2DonSphere_1000000000,3,48,48,32.349,2024-10-28 05:45:04.910900,2024-10-28 05:46:41.962900,8742.681835706195,904.5231370012395,9891.064326756195,995.4502453512396,9316.873081231195,927.2549140887396,4812.648140495869,305.7610537190082,30.77221074380165,1552.752,1552.752,1.81891991163538e-05,1.2463145624577203e-05,10244.127995319936,0.0258802030034199,0.0025757080946909,0.0284559110981109,0.0282433153063165,0.0193521742948535,0.04759548960117,0.076051400699281,convexHull,10,True,False,False,True,29.19822370017901,21.011144380090755,-0.0,-0.0
198,2DonSphere_1000000000,3,96,88,28.076,2024-11-03 23:46:25.890800,2024-11-03 23:47:50.122900,8049.358296786028,852.5981177337326,9046.050213652696,931.514606467066,9046.050213652696,888.7681750698437,9572.008131736526,322.1986826347306,33.178323353293415,2695.2960000000003,2470.688,1.81891991163538e-05,1.2463145624577203e-05,9934.81838872254,0.0502558345202927,0.0049376009726102,0.055193435492903,0.0490252756215119,0.0307925443368954,0.0798178199584073,0.1350112554513103,convexHull,20,False,True,False,False,-0.0,-9.017141712989595,-29.188334413439254,-29.188334413439254
206,2DonSphere_1000000000,3,96,56,28.116,2024-11-04 01:05:14.760500,2024-11-04 01:06:39.112400,8050.646917098327,850.8289330152745,9048.758825298328,929.8578544152743,9048.758825298328,873.8790350902746,9572.759964200475,321.8366348448687,33.07219570405728,2699.136,1574.496,1.81891991163538e-05,1.2463145624577203e-05,9922.637860388602,0.0502708823627684,0.0048548835282793,0.0551257658910478,0.0490951221461187,0.0196231729333143,0.068718295079433,0.1238440609704808,convexHull,20,False,False,True,False,8.271306302204387,-0.0,-18.502771567387573,-18.502771567387573
213,2DonSphere_1000000000,3,48,48,32.349,2024-10-28 05:45:04.910900,2024-10-28 05:46:41.962900,8742.681835706195,904.5231370012395,9891.064326756195,995.4502453512396,9316.873081231195,927.2549140887396,4812.648140495869,305.7610537190082,30.77221074380165,1552.752,1552.752,1.81891991163538e-05,1.2463145624577203e-05,10244.127995319936,0.0517604060068399,0.0051514161893818,0.0569118221962218,0.0282433153063165,0.0193521742948535,0.04759548960117,0.1045073117973919,convexHull,20,True,False,False,True,22.593630102876254,15.613788034371684,-0.0,-0.0
276,2DonSphere_1000000000,3,96,88,28.076,2024-11-03 23:46:25.890800,2024-11-03 23:47:50.122900,8049.358296786028,852.5981177337326,9046.050213652696,931.514606467066,9046.050213652696,888.7681750698437,9572.008131736526,322.1986826347306,33.178323353293415,2695.2960000000003,2470.688,1.81891991163538e-05,1.2463145624577203e-05,9934.81838872254,0.0753837517804391,0.0074064014589153,0.0827901532393544,0.0490252756215119,0.0307925443368954,0.0798178199584073,0.1626079731977618,convexHull,30,False,True,False,False,-0.0,-7.397962730144683,-22.295451070373883,-22.295451070373883
