,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
57,2DonSphere_1000000000,3,48,48,32.349,2024-10-28 05:45:04.910900,2024-10-28 05:46:41.962900,8742.681835706195,904.5231370012395,9891.064326756195,995.4502453512396,9316.873081231195,927.2549140887396,4812.648140495869,305.7610537190082,30.77221074380165,1552.752,1552.752,1.81891991163538e-05,1.2463145624577203e-05,10244.127995319936,0.0,0.0,0.0,0.0282433153063165,0.0193521742948535,0.04759548960117,0.04759548960117,convexHull,0,True,False,False,True,40.36984519751129,30.738256026065088,-0.0,-0.0
135,2DonSphere_1000000000,3,48,48,32.349,2024-10-28 05:45:04.910900,2024-10-28 05:46:41.962900,8742.681835706195,904.5231370012395,9891.064326756195,995.4502453512396,9316.873081231195,927.2549140887396,4812.648140495869,305.7610537190082,30.77221074380165,1552.752,1552.752,1.81891991163538e-05,1.2463145624577203e-05,10244.127995319936,0.0258802030034199,0.0025757080946909,0.0284559110981109,0.0282433153063165,0.0193521742948535,0.04759548960117,0.076051400699281,convexHull,10,True,False,False,True,29.19822370017901,21.011144380090755,-0.0,-0.0
213,2DonSphere_1000000000,3,48,48,32.349,2024-10-28 05:45:04.910900,2024-10-28 05:46:41.962900,8742.681835706195,904.5231370012395,9891.064326756195,995.4502453512396,9316.873081231195,927.2549140887396,4812.648140495869,305.7610537190082,30.77221074380165,1552.752,1552.752,1.81891991163538e-05,1.2463145624577203e-05,10244.127995319936,0.0517604060068399,0.0051514161893818,0.0569118221962218,0.0282433153063165,0.0193521742948535,0.04759548960117,0.1045073117973919,convexHull,20,True,False,False,True,22.593630102876254,15.613788034371684,-0.0,-0.0
291,2DonSphere_1000000000,3,48,48,32.349,2024-10-28 05:45:04.910900,2024-10-28 05:46:41.962900,8742.681835706195,904.5231370012395,9891.064326756195,995.4502453512396,9316.873081231195,927.2549140887396,4812.648140495869,305.7610537190082,30.77221074380165,1552.752,1552.752,1.81891991163538e-05,1.2463145624577203e-05,10244.127995319936,0.0776406090102599,0.0077271242840728,0.0853677332943328,0.0282433153063165,0.0193521742948535,0.04759548960117,0.1329632228955028,convexHull,30,True,False,False,True,18.230809793198404,12.181555576958106,-0.0,-0.0
369,2DonSphere_1000000000,3,48,48,32.349,2024-10-28 05:45:04.910900,2024-10-28 05:46:41.962900,8742.681835706195,904.5231370012395,9891.064326756195,995.4502453512396,9316.873081231195,927.2549140887396,4812.648140495869,305.7610537190082,30.77221074380165,1552.752,1552.752,1.81891991163538e-05,1.2463145624577203e-05,10244.127995319936,0.1035208120136799,0.0103028323787637,0.1138236443924437,0.0282433153063165,0.0193521742948535,0.04759548960117,0.1614191339936138,convexHull,40,True,False,False,True,15.133988971408838,9.806509385235094,-0.0,-0.0
447,2DonSphere_1000000000,3,48,48,32.349,2024-10-28 05:45:04.910900,2024-10-28 05:46:41.962900,8742.681835706195,904.5231370012395,9891.064326756195,995.4502453512396,9316.873081231195,927.2549140887396,4812.648140495869,305.7610537190082,30.77221074380165,1552.752,1552.752,1.81891991163538e-05,1.2463145624577203e-05,10244.127995319936,0.1294010150170999,0.0128785404734547,0.1422795554905546,0.0282433153063165,0.0193521742948535,0.04759548960117,0.1898750450917247,convexHull,50,True,False,False,True,12.821938924464382,8.065388156137471,-0.0,-0.0
525,2DonSphere_1000000000,3,48,48,32.349,2024-10-28 05:45:04.910900,2024-10-28 05:46:41.962900,8742.681835706195,904.5231370012395,9891.064326756195,995.4502453512396,9316.873081231195,927.2549140887396,4812.648140495869,305.7610537190082,30.77221074380165,1552.752,1552.752,1.81891991163538e-05,1.2463145624577203e-05,10244.127995319936,0.1552812180205199,0.0154542485681456,0.1707354665886656,0.0282433153063165,0.0193521742948535,0.04759548960117,0.2183309561898356,convexHull,60,True,False,False,True,11.0299009370052,6.734273113549377,-0.0,-0.0
603,2DonSphere_1000000000,3,48,48,32.349,2024-10-28 05:45:04.910900,2024-10-28 05:46:41.962900,8742.681835706195,904.5231370012395,9891.064326756195,995.4502453512396,9316.873081231195,927.2549140887396,4812.648140495869,305.7610537190082,30.77221074380165,1552.752,1552.752,1.81891991163538e-05,1.2463145624577203e-05,10244.127995319936,0.1811614210239399,0.0180299566628366,0.1991913776867765,0.0282433153063165,0.0193521742948535,0.04759548960117,0.2467868672879466,convexHull,70,True,False,False,True,9.60017284355684,5.683595140756095,-0.0,-0.0
681,2DonSphere_1000000000,3,48,48,32.349,2024-10-28 05:45:04.910900,2024-10-28 05:46:41.962900,8742.681835706195,904.5231370012395,9891.064326756195,995.4502453512396,9316.873081231195,927.2549140887396,4812.648140495869,305.7610537190082,30.77221074380165,1552.752,1552.752,1.81891991163538e-05,1.2463145624577203e-05,10244.127995319936,0.2070416240273599,0.0206056647575275,0.2276472887848874,0.0282433153063165,0.0193521742948535,0.04759548960117,0.2752427783860575,convexHull,80,True,False,False,True,8.432965776285913,4.833177025072683,-0.0,-0.0
759,2DonSphere_1000000000,3,48,48,32.349,2024-10-28 05:45:04.910900,2024-10-28 05:46:41.962900,8742.681835706195,904.5231370012395,9891.064326756195,995.4502453512396,9316.873081231195,927.2549140887396,4812.648140495869,305.7610537190082,30.77221074380165,1552.752,1552.752,1.81891991163538e-05,1.2463145624577203e-05,10244.127995319936,0.2329218270307798,0.0231813728522184,0.2561031998829983,0.0282433153063165,0.0193521742948535,0.04759548960117,0.3036986894841684,convexHull,90,True,False,False,True,7.4620550790065785,4.130745910634955,-0.0,-0.0
