,Unnamed: 0,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh)
0,0,randLocalGraph_WE_10_120000000,10,96,96,6.031,2024-10-27 22:57:55.034500,2024-10-27 22:58:55.351100,1746.2017170845595,207.24383424855068,1960.300910367893,224.19586956521732,1960.300910367893,215.719851906884,9559.078662207356,325.03745819397994,37.17391304347826,578.976,578.976,1.8189199116353798e-05,1.2463145624577203e-05,2176.020762274777,0.09256976521181717,0.010186770784491744,0.10275653599630892,0.010531109747590056,0.007215862201135211,0.017746971948725265,0.12050350794503419,minSpanningForest,170
1,1,randLocalGraph_WE_10_120000000,10,64,48,6.872,2024-10-28 07:40:54.767900,2024-10-28 07:42:03.491200,1945.8764078837708,219.7194754468416,2189.830918950437,239.0354075801749,2108.512748594882,224.54845848017493,6397.962565597667,318.6599125364432,34.783965014577255,439.808,329.856,1.8189199116353798e-05,1.2463145624577203e-05,2333.0612070750567,0.09956865757253609,0.01060367720600826,0.11017233477854435,0.007999755284965332,0.004111043363140538,0.01211079864810587,0.12228313342665022,minSpanningForest,170
2,2,randLocalGraph_WE_10_120000000,10,32,96,8.932,2024-10-27 23:48:42.319800,2024-10-27 23:50:11.651000,2436.1098074639763,259.65235414319886,2753.1938721973097,284.7585686098655,2541.8044957084207,272.2054613765322,3209.168206278026,308.2393497757848,31.88071748878924,285.824,857.472,1.8189199116353798e-05,1.2463145624577203e-05,2814.009957084953,0.12002965674178653,0.012854146787225131,0.13288380352901166,0.005198909648232708,0.010686798404997463,0.015885708053230172,0.14876951158224183,minSpanningForest,170
3,3,randLocalGraph_WE_10_120000000,10,48,48,7.465,2024-10-28 09:02:09.984600,2024-10-28 09:03:24.644400,2098.659282296024,229.4029600176497,2363.665164879357,250.38570643431635,2231.16222358769,234.6486466218164,4804.738579088472,316.6329758713137,33.54128686327078,358.32,358.32,1.8189199116353798e-05,1.2463145624577203e-05,2465.810870209506,0.10536043833608535,0.011080630534919107,0.11644106887100446,0.006517553827371893,0.004465794340198503,0.010983348167570395,0.12742441703857485,minSpanningForest,170
4,4,randLocalGraph_WE_10_120000000,10,80,48,6.367,2024-10-28 06:17:54.500700,2024-10-28 06:18:58.171600,1813.7584582902516,210.5276640883648,2039.7855787735848,228.42413380503143,2002.1143920263623,215.0017815175314,7989.138144654088,320.3683962264151,35.87625786163522,509.36,305.616,1.8189199116353798e-05,1.2463145624577203e-05,2217.1161735438936,0.09454429073457822,0.010152861904994539,0.10469715263957276,0.009264850461905972,0.0038089367132007864,0.013073787175106759,0.11777093981467951,minSpanningForest,170
5,5,randLocalGraph_WE_10_120000000,10,64,192,6.846,2024-10-27 22:14:30.093600,2024-10-27 22:15:38.564600,1953.4559626557832,219.1292559814056,2196.4874793557838,238.3721068814056,2115.4769737891165,238.3721068814056,6399.213923865299,320.8424597364568,34.819180087847734,438.144,1314.432,1.8189199116353798e-05,1.2463145624577203e-05,2353.849080670522,0.09989752376226384,0.011256460602733043,0.11115398436499688,0.007969488457635718,0.016381957429604264,0.024351445887239982,0.13550543025223685,minSpanningForest,170
6,6,randLocalGraph_WE_10_120000000,10,32,48,8.93,2024-10-28 10:21:38.091300,2024-10-28 10:23:07.396600,2422.9103815224457,257.5504442037037,2739.923446689113,282.65103703703704,2528.581403244668,263.82559241203705,3210.2341301907963,306.8223344556677,31.65185185185185,285.76,428.64,1.8189199116353798e-05,1.2463145624577203e-05,2792.406995656705,0.1194052329309982,0.012458430752790638,0.13186366368378882,0.005197745539489262,0.005342202740518772,0.010539948280008034,0.14240361196379686,minSpanningForest,170
7,7,randLocalGraph_WE_10_120000000,10,48,80,7.442,2024-10-28 01:07:51.647600,2024-10-28 01:09:06.071800,2089.9145338330645,229.5988533760879,2354.103921399731,250.51695100942123,2222.0092276163978,238.3147273899768,4804.855800807538,316.32678331090176,33.66258411843876,357.216,595.36,1.8189199116353798e-05,1.2463145624577203e-05,2460.3239550063745,0.10492821352632989,0.011253751015637794,0.11618196454196768,0.006497472951547439,0.007420058379048284,0.013917531330595723,0.1300994958725634,minSpanningForest,170
8,8,randLocalGraph_WE_10_120000000,10,64,64,6.821,2024-10-28 02:40:52.212400,2024-10-28 02:42:00.431800,1932.5991138598376,218.36849411284877,2174.7431359765046,237.54107459618209,2094.028461937616,224.75935427395984,6395.664243759177,318.830543318649,34.82496328928047,436.544,436.544,1.8189199116353798e-05,1.2463145624577203e-05,2318.787816211576,0.09888467736927632,0.010613636174048103,0.10949831354332443,0.007940385739049552,0.005440711443535431,0.013381097182584983,0.12287941072590941,minSpanningForest,170
9,9,randLocalGraph_WE_10_120000000,10,80,192,6.419,2024-10-27 22:06:23.781900,2024-10-27 22:07:27.976100,1842.223347257592,211.9207966778211,2070.0964564742585,229.96342886115443,2032.1176049381477,229.96342886115443,7987.741872074882,322.4951638065522,35.82542901716069,513.52,1232.448,1.8189199116353798e-05,1.2463145624577203e-05,2262.081033799302,0.0959611091220792,0.010859384140665625,0.10682049326274481,0.009340517530230002,0.015360178898718926,0.024700696428948926,0.13152118969169374,minSpanningForest,170
