,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
6,randLocalGraph_WE_10_120000000,10,32,48,8.93,2024-10-28 10:21:38.091300,2024-10-28 10:23:07.396600,2422.9103815224457,257.5504442037037,2739.923446689113,282.65103703703704,2528.581403244668,263.82559241203705,3210.2341301907963,306.8223344556677,31.65185185185185,285.76,428.64,1.81891991163538e-05,1.2463145624577203e-05,2792.406995656705,0.0,0.0,0.0,0.0051977455394892,0.0053422027405187,0.010539948280008,0.010539948280008,minSpanningForest,0,True,False,False,True,31.207372658511858,25.368375343181775,-0.0,-0.0
33,randLocalGraph_WE_10_120000000,10,48,48,7.465,2024-10-28 09:02:09.984600,2024-10-28 09:03:24.644400,2098.659282296024,229.4029600176497,2363.665164879357,250.38570643431635,2231.16222358769,234.6486466218164,4804.738579088472,316.6329758713137,33.54128686327078,358.32,358.32,1.81891991163538e-05,1.2463145624577203e-05,2465.810870209506,0.0061976728432991,0.0006518017961717,0.0068494746394708,0.0065175538273718,0.0044657943401985,0.0109833481675703,0.0178328228070412,minSpanningForest,10,True,False,False,False,16.390107379727105,11.373772321200835,2.534955677663668,-0.0
63,randLocalGraph_WE_10_120000000,10,48,48,7.465,2024-10-28 09:02:09.984600,2024-10-28 09:03:24.644400,2098.659282296024,229.4029600176497,2363.665164879357,250.38570643431635,2231.16222358769,234.6486466218164,4804.738579088472,316.6329758713137,33.54128686327078,358.32,358.32,1.81891991163538e-05,1.2463145624577203e-05,2465.810870209506,0.0123953456865982,0.0013036035923434,0.0136989492789417,0.0065175538273718,0.0044657943401985,0.0109833481675703,0.024682297446512,minSpanningForest,20,True,False,False,False,9.707303475667214,5.504713591678335,5.262373495697862,-0.0
93,randLocalGraph_WE_10_120000000,10,48,48,7.465,2024-10-28 09:02:09.984600,2024-10-28 09:03:24.644400,2098.659282296024,229.4029600176497,2363.665164879357,250.38570643431635,2231.16222358769,234.6486466218164,4804.738579088472,316.6329758713137,33.54128686327078,358.32,358.32,1.81891991163538e-05,1.2463145624577203e-05,2465.810870209506,0.0185930185298974,0.0019554053885151,0.0205484239184125,0.0065175538273718,0.0044657943401985,0.0109833481675703,0.0315317720859829,minSpanningForest,30,True,False,False,False,5.432515239129686,1.8279494720684817,6.7383438271916845,-0.0
124,randLocalGraph_WE_10_120000000,10,80,48,6.367,2024-10-28 06:17:54.500700,2024-10-28 06:18:58.171600,1813.758458290252,210.5276640883648,2039.7855787735848,228.42413380503143,2002.1143920263623,215.0017815175314,7989.138144654088,320.3683962264151,35.87625786163522,509.36,305.616,1.81891991163538e-05,1.2463145624577203e-05,2217.1161735438936,0.0222457154669595,0.0023889086835281,0.0246346241504877,0.0092648504619059,0.0038089367132007,0.0130737871751067,0.0377084113255944,minSpanningForest,40,True,False,False,False,4.172769098443178,1.0735995779168421,9.282146599094098,-0.0
154,randLocalGraph_WE_10_120000000,10,80,48,6.367,2024-10-28 06:17:54.500700,2024-10-28 06:18:58.171600,1813.758458290252,210.5276640883648,2039.7855787735848,228.42413380503143,2002.1143920263623,215.0017815175314,7989.138144654088,320.3683962264151,35.87625786163522,509.36,305.616,1.81891991163538e-05,1.2463145624577203e-05,2217.1161735438936,0.0278071443336994,0.0029861358544101,0.0307932801881096,0.0092648504619059,0.0038089367132007,0.0130737871751067,0.0438670673632164,minSpanningForest,50,True,False,False,False,3.2863575046940174,0.5651591141219341,11.062322873068526,-0.0
184,randLocalGraph_WE_10_120000000,10,80,48,6.367,2024-10-28 06:17:54.500700,2024-10-28 06:18:58.171600,1813.758458290252,210.5276640883648,2039.7855787735848,228.42413380503143,2002.1143920263623,215.0017815175314,7989.138144654088,320.3683962264151,35.87625786163522,509.36,305.616,1.81891991163538e-05,1.2463145624577203e-05,2217.1161735438936,0.0333685732004393,0.0035833630252921,0.0369519362257315,0.0092648504619059,0.0038089367132007,0.0130737871751067,0.0500257234008383,minSpanningForest,60,True,False,False,False,2.607282364639593,0.1784386841576085,12.358678093629779,-0.0
223,randLocalGraph_WE_10_120000000,10,96,48,6.024,2024-10-28 04:56:26.070800,2024-10-28 04:57:26.314300,1735.298396475168,206.16890617181213,1949.149091275168,223.1012657718121,1949.149091275168,210.4019960718121,9561.496375838926,323.56392617449666,37.03540268456376,578.304,289.152,1.81891991163538e-05,1.2463145624577203e-05,2159.55108734698,0.0379001212192393,0.0040911499236185,0.0419912711428579,0.0105188866057838,0.0036037434836377,0.0141226300894216,0.0561139012322795,minSpanningForest,70,True,False,True,False,2.1932587612628285,-0.0,13.453557758686872,-0.0
253,randLocalGraph_WE_10_120000000,10,96,48,6.024,2024-10-28 04:56:26.070800,2024-10-28 04:57:26.314300,1735.298396475168,206.16890617181213,1949.149091275168,223.1012657718121,1949.149091275168,210.4019960718121,9561.496375838926,323.56392617449666,37.03540268456376,578.304,289.152,1.81891991163538e-05,1.2463145624577203e-05,2159.55108734698,0.0433144242505592,0.0046755999127069,0.0479900241632662,0.0105188866057838,0.0036037434836377,0.0141226300894216,0.0621126542526878,minSpanningForest,80,True,False,True,False,1.9988138189632823,-0.0,14.437645112796558,-0.0
283,randLocalGraph_WE_10_120000000,10,96,48,6.024,2024-10-28 04:56:26.070800,2024-10-28 04:57:26.314300,1735.298396475168,206.16890617181213,1949.149091275168,223.1012657718121,1949.149091275168,210.4019960718121,9561.496375838926,323.56392617449666,37.03540268456376,578.304,289.152,1.81891991163538e-05,1.2463145624577203e-05,2159.55108734698,0.0487287272818792,0.0052600499017953,0.0539887771836745,0.0105188866057838,0.0036037434836377,0.0141226300894216,0.0681114072730961,minSpanningForest,90,True,False,True,False,1.838037639683579,-0.0,15.2317325913968,-0.0
313,randLocalGraph_WE_10_120000000,10,96,48,6.024,2024-10-28 04:56:26.070800,2024-10-28 04:57:26.314300,1735.298396475168,206.16890617181213,1949.149091275168,223.1012657718121,1949.149091275168,210.4019960718121,9561.496375838926,323.56392617449666,37.03540268456376,578.304,289.152,1.81891991163538e-05,1.2463145624577203e-05,2159.55108734698,0.0541430303131991,0.0058444998908836,0.0599875302040827,0.0105188866057838,0.0036037434836377,0.0141226300894216,0.0741101602935044,minSpanningForest,100,True,False,True,False,1.7028822120315361,-0.0,15.886001425838062,-0.0
343,randLocalGraph_WE_10_120000000,10,96,48,6.024,2024-10-28 04:56:26.070800,2024-10-28 04:57:26.314300,1735.298396475168,206.16890617181213,1949.149091275168,223.1012657718121,1949.149091275168,210.4019960718121,9561.496375838926,323.56392617449666,37.03540268456376,578.304,289.152,1.81891991163538e-05,1.2463145624577203e-05,2159.55108734698,0.059557333344519,0.006428949879972,0.065986283224491,0.0105188866057838,0.0036037434836377,0.0141226300894216,0.0801089133139126,minSpanningForest,110,True,False,True,False,1.5876752397261409,-0.0,16.434391417585704,-0.0
