,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
8,3Dplummer_10000000,5,96,88,16.796,2024-10-31 19:20:18.549000,2024-10-31 19:21:42.531500,4862.75525214538,268.1010336281124,5459.009613012046,315.31151036144576,5459.009613012046,289.7391687975569,8989.355036144578,325.01843373493966,18.77301204819277,1612.416,1478.048,1.81891991163538e-05,1.2463145624577203e-05,5748.748781809603,0.0,0.0,0.0,0.0293285556823947,0.018421127464115,0.0477496831465098,0.0477496831465098,nBody,0,False,True,False,False,-0.0,-8.73076469347174,-62.709361421604456,-62.709361421604456
14,3Dplummer_10000000,5,80,88,17.209,2024-10-31 19:22:06.050800,2024-10-31 19:23:32.096600,4944.674924887063,269.1206660066433,5555.590696270397,317.49201002331,5453.77140103984,291.2908653476155,7606.010372960373,322.83053613053613,18.44918414918415,1376.72,1514.392,1.81891991163538e-05,1.2463145624577203e-05,5745.062266387456,0.0,0.0,0.0,0.0250414342074666,0.0188740880286947,0.0439155222361613,0.0439155222361613,nBody,0,False,False,True,False,8.029709639295804,-0.0,-49.64427214349724,-49.64427214349724
41,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.0,0.0,0.0,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.0293466108706451,nBody,0,True,False,False,True,38.540721242900744,33.17485623231355,-0.0,-0.0
86,3Dplummer_10000000,5,96,88,16.796,2024-10-31 19:20:18.549000,2024-10-31 19:21:42.531500,4862.75525214538,268.1010336281124,5459.009613012046,315.31151036144576,5459.009613012046,289.7391687975569,8989.355036144578,325.01843373493966,18.77301204819277,1612.416,1478.048,1.81891991163538e-05,1.2463145624577203e-05,5748.748781809603,0.0151639155917001,0.0008048310244376,0.0159687466161377,0.0293285556823947,0.018421127464115,0.0477496831465098,0.0637184297626475,nBody,10,False,True,False,False,-0.0,-6.420816045359719,-38.62759298304159,-38.62759298304159
92,3Dplummer_10000000,5,80,88,17.209,2024-10-31 19:22:06.050800,2024-10-31 19:23:32.096600,4944.674924887063,269.1206660066433,5555.590696270397,317.49201002331,5453.77140103984,291.2908653476155,7606.010372960373,322.83053613053613,18.44918414918415,1376.72,1514.392,1.81891991163538e-05,1.2463145624577203e-05,5745.062266387456,0.0151493650028884,0.0008091412926322,0.0159585062955207,0.0250414342074666,0.0188740880286947,0.0439155222361613,0.059874028531682,nBody,10,False,False,True,False,6.033421170744431,-0.0,-30.26360643950933,-30.26360643950933
119,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.0157765826292924,0.0008405489206945,0.0166171315499869,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.0459637424206321,nBody,10,True,False,False,True,27.86428888494582,23.232587571236085,-0.0,-0.0
164,3Dplummer_10000000,5,96,88,16.796,2024-10-31 19:20:18.549000,2024-10-31 19:21:42.531500,4862.75525214538,268.1010336281124,5459.009613012046,315.31151036144576,5459.009613012046,289.7391687975569,8989.355036144578,325.01843373493966,18.77301204819277,1612.416,1478.048,1.81891991163538e-05,1.2463145624577203e-05,5748.748781809603,0.0303278311834002,0.0016096620488753,0.0319374932322755,0.0293285556823947,0.018421127464115,0.0477496831465098,0.0796871763787853,nBody,20,False,True,False,False,-0.0,-5.083097328034788,-27.334713184410603,-27.334713184410603
170,3Dplummer_10000000,5,80,88,17.209,2024-10-31 19:22:06.050800,2024-10-31 19:23:32.096600,4944.674924887063,269.1206660066433,5555.590696270397,317.49201002331,5453.77140103984,291.2908653476155,7606.010372960373,322.83053613053613,18.44918414918415,1376.72,1514.392,1.81891991163538e-05,1.2463145624577203e-05,5745.062266387456,0.0302987300057768,0.0016182825852645,0.0319170125910414,0.0250414342074666,0.0188740880286947,0.0439155222361613,0.0758325348272027,nBody,20,False,False,True,False,4.837216885763306,-0.0,-21.175256936816016,-21.175256936816016
197,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.0315531652585849,0.001681097841389,0.0332342630999739,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.0625808739706191,nBody,20,True,False,False,True,21.466819613300192,17.474901619443113,-0.0,-0.0
242,3Dplummer_10000000,5,96,88,16.796,2024-10-31 19:20:18.549000,2024-10-31 19:21:42.531500,4862.75525214538,268.1010336281124,5459.009613012046,315.31151036144576,5459.009613012046,289.7391687975569,8989.355036144578,325.01843373493966,18.77301204819277,1612.416,1478.048,1.81891991163538e-05,1.2463145624577203e-05,5748.748781809603,0.0454917467751003,0.0024144930733129,0.0479062398484133,0.0293285556823947,0.018421127464115,0.0477496831465098,0.0956559229949231,nBody,30,False,True,False,False,-0.0,-4.210521882012871,-20.780722148406767,-20.780722148406767
