,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
41,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.0,0.0,0.0,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.0293466108706451,nBody,0,True,False,False,True,38.540721242900744,33.17485623231355,-0.0,-0.0
119,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.0157765826292924,0.0008405489206945,0.0166171315499869,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.0459637424206321,nBody,10,True,False,False,True,27.86428888494582,23.232587571236085,-0.0,-0.0
197,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.0315531652585849,0.001681097841389,0.0332342630999739,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.0625808739706191,nBody,20,True,False,False,True,21.466819613300192,17.474901619443113,-0.0,-0.0
275,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.0473297478878774,0.0025216467620835,0.0498513946499609,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.0791980055206061,nBody,30,True,False,False,True,17.205330270233766,13.719242584121668,-0.0,-0.0
353,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.0631063305171699,0.003362195682778,0.0664685261999479,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.0958151370705931,nBody,40,True,False,False,True,14.163116984402919,11.076065406869885,-0.0,-0.0
431,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.0788829131464624,0.0042027446034725,0.0830856577499349,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.1124322686205801,nBody,50,True,False,False,True,11.882390216452825,9.114835093335603,-0.0,-0.0
509,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.0946594957757548,0.005043293524167,0.0997027892999219,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.1290494001705671,nBody,60,True,False,False,True,10.109044322915773,7.601790892546238,-0.0,-0.0
587,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.1104360784050473,0.0058838424448615,0.1163199208499089,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.1456665317205541,nBody,70,True,False,False,True,8.690715665005445,6.399055641041443,-0.0,-0.0
665,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.1262126610343398,0.006724391365556,0.1329370523998959,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.1622836632705411,nBody,80,True,False,False,True,7.5304949881936105,5.420046446665585,-0.0,-0.0
747,3Dplummer_10000000,5,64,56,17.801,2024-10-31 19:53:04.010100,2024-10-31 19:54:33.015500,5117.058846736771,276.4353938920894,5748.990489853438,326.47074137542273,5538.346608814549,291.02903690806164,6138.2295377677565,322.9588500563698,18.34002254791432,1139.264,996.856,1.81891991163538e-05,1.2463145624577203e-05,5829.37564572261,0.1384586652203637,0.0072757259227015,0.1457343911430652,0.0207222997420936,0.0124239614947335,0.0331462612368272,0.1788806523798924,nBody,90,True,False,False,False,6.574322517393562,4.618391012272753,0.011259000082085779,-0.0
825,3Dplummer_10000000,5,64,56,17.801,2024-10-31 19:53:04.010100,2024-10-31 19:54:33.015500,5117.058846736771,276.4353938920894,5748.990489853438,326.47074137542273,5538.346608814549,291.02903690806164,6138.2295377677565,322.9588500563698,18.34002254791432,1139.264,996.856,1.81891991163538e-05,1.2463145624577203e-05,5829.37564572261,0.1538429613559597,0.0080841399141128,0.1619271012700725,0.0207222997420936,0.0124239614947335,0.0331462612368272,0.1950733625068997,nBody,100,True,False,False,False,5.960256801754017,4.141129459919687,0.2273775463294052,-0.0
903,3Dplummer_10000000,5,64,56,17.801,2024-10-31 19:53:04.010100,2024-10-31 19:54:33.015500,5117.058846736771,276.4353938920894,5748.990489853438,326.47074137542273,5538.346608814549,291.02903690806164,6138.2295377677565,322.9588500563698,18.34002254791432,1139.264,996.856,1.81891991163538e-05,1.2463145624577203e-05,5829.37564572261,0.1692272574915556,0.0088925539055241,0.1781198113970797,0.0207222997420936,0.0124239614947335,0.0331462612368272,0.2112660726339069,nBody,110,True,False,False,False,5.433976234112885,3.7332783971137853,0.4096377539448248,-0.0
981,3Dplummer_10000000,5,64,56,17.801,2024-10-31 19:53:04.010100,2024-10-31 19:54:33.015500,5117.058846736771,276.4353938920894,5748.990489853438,326.47074137542273,5538.346608814549,291.02903690806164,6138.2295377677565,322.9588500563698,18.34002254791432,1139.264,996.856,1.81891991163538e-05,1.2463145624577203e-05,5829.37564572261,0.1846115536271516,0.0097009678969353,0.194312521524087,0.0207222997420936,0.0124239614947335,0.0331462612368272,0.2274587827609142,nBody,120,True,False,False,False,4.977912302156112,3.3807222129807553,0.565418286298708,-0.0
1059,3Dplummer_10000000,5,64,56,17.801,2024-10-31 19:53:04.010100,2024-10-31 19:54:33.015500,5117.058846736771,276.4353938920894,5748.990489853438,326.47074137542273,5538.346608814549,291.02903690806164,6138.2295377677565,322.9588500563698,18.34002254791432,1139.264,996.856,1.81891991163538e-05,1.2463145624577203e-05,5829.37564572261,0.1999958497627476,0.0105093818883466,0.2105052316510942,0.0207222997420936,0.0124239614947335,0.0331462612368272,0.2436514928879214,nBody,130,True,False,False,False,4.57889131455945,3.0729297911365254,0.7000989876852854,-0.0
1137,3Dplummer_10000000,5,64,56,17.801,2024-10-31 19:53:04.010100,2024-10-31 19:54:33.015500,5117.058846736771,276.4353938920894,5748.990489853438,326.47074137542273,5538.346608814549,291.02903690806164,6138.2295377677565,322.9588500563698,18.34002254791432,1139.264,996.856,1.81891991163538e-05,1.2463145624577203e-05,5829.37564572261,0.2153801458983435,0.0113177958797579,0.2266979417781015,0.0207222997420936,0.0124239614947335,0.0331462612368272,0.2598442030149287,nBody,140,True,False,False,False,4.226841060706816,2.801884629924611,0.8176947832667409,-0.0
1215,3Dplummer_10000000,5,64,56,17.801,2024-10-31 19:53:04.010100,2024-10-31 19:54:33.015500,5117.058846736771,276.4353938920894,5748.990489853438,326.47074137542273,5538.346608814549,291.02903690806164,6138.2295377677565,322.9588500563698,18.34002254791432,1139.264,996.856,1.81891991163538e-05,1.2463145624577203e-05,5829.37564572261,0.2307644420339395,0.0121262098711692,0.2428906519051087,0.0207222997420936,0.0124239614947335,0.0331462612368272,0.276036913141936,nBody,150,True,False,False,False,3.913928818776027,2.5613765743255783,0.9212627276913725,-0.0
1293,3Dplummer_10000000,5,64,56,17.801,2024-10-31 19:53:04.010100,2024-10-31 19:54:33.015500,5117.058846736771,276.4353938920894,5748.990489853438,326.47074137542273,5538.346608814549,291.02903690806164,6138.2295377677565,322.9588500563698,18.34002254791432,1139.264,996.856,1.81891991163538e-05,1.2463145624577203e-05,5829.37564572261,0.2461487381695355,0.0129346238625805,0.259083362032116,0.0207222997420936,0.0124239614947335,0.0331462612368272,0.2922296232689432,nBody,160,True,False,False,False,3.633971712328097,2.3465201712148085,1.0131715840811286,-0.0
1375,3Dplummer_10000000,5,64,64,17.707,2024-10-28 02:26:07.172100,2024-10-28 02:27:35.709900,5083.926180571028,275.4160192267081,5712.520844054361,325.1871499433748,5502.989289559917,292.00639613226366,6077.236862967158,322.61370328425824,18.364892412231026,1133.248,1133.248,1.81891991163538e-05,1.2463145624577203e-05,5794.995685692181,0.2598633831181072,0.013789190928468,0.2736525740465752,0.0206128735202097,0.0141238348527608,0.0347367083729705,0.3083892824195458,nBody,170,True,False,False,False,3.392377766550772,2.1639047122248662,1.1058839815683106,-0.0
