,Unnamed: 0,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh)
0,0,randomSeq_2G_int,10,16,56,7.797,2024-10-29 20:57:35.212900,2024-10-29 20:58:55.344800,1335.5741849749998,157.9589032,1612.365995625,179.87484075,1381.7061534166664,164.35105165208333,1439.4943625000008,206.793125,23.069750000000003,124.752,436.632,1.8189199116353798e-05,1.2463145624577203e-05,1546.0572050687497,0.030704581187037033,0.0036522455922685187,0.03435682677930555,0.002269138968163369,0.005441808200350394,0.007710947168513763,0.04206777394781931,removeDuplicates,80
1,1,randomSeq_2G_int,10,48,56,5.187,2024-10-29 20:54:17.838800,2024-10-29 20:55:12.262700,1239.509420713469,145.02868620092255,1423.646796863469,159.60839225092255,1331.5781087884689,149.2811004655059,3809.665590405904,274.4643911439115,30.77084870848709,248.976,290.47200000000004,1.8189199116353798e-05,1.2463145624577203e-05,1480.8592092539748,0.029590624639743754,0.0033173577881223533,0.032907982427866106,0.004528674039193303,0.00362019483586219,0.008148868875055493,0.041056851302921596,removeDuplicates,80
2,2,randomSeq_2G_int,10,80,32,17.31,2024-10-29 05:08:34.472700,2024-10-29 05:11:32.556700,2162.459881546119,273.7878107440945,2776.961131046119,322.4430472440945,2674.5442561294526,281.8970168274278,2260.604668166479,160.42525309336332,18.627559055118112,1384.8,553.92,1.8189199116353798e-05,1.2463145624577203e-05,2956.4412729568803,0.059434316802876724,0.006264378151720619,0.06569869495459735,0.02518840293632674,0.006903585624365804,0.03209198856069254,0.09779068351528988,removeDuplicates,80
3,3,randomSeq_2G_int,10,32,24,9.302,2024-10-29 21:54:39.510700,2024-10-29 21:56:17.089700,1661.5015706694728,190.022140040178,1991.7205552361395,216.16835667351128,1771.5745655250284,193.29041711934465,1963.4798665297744,214.117453798768,23.23891170431212,297.664,223.248,1.8189199116353798e-05,1.2463145624577203e-05,1964.8649826443732,0.03936832367833397,0.004295342602652103,0.04366366628098607,0.005414269765770337,0.0027823723343956114,0.008196642100165949,0.05186030838115202,removeDuplicates,80
4,4,randomSeq_2G_int,10,96,64,5.31,2024-10-28 01:48:25.816300,2024-10-28 01:49:21.408300,1306.6042285399271,163.54742193920143,1495.1080780399272,178.47285843920142,1495.1080780399272,168.52256743920142,7823.3712885662435,281.564609800363,33.61070780399274,509.76,339.84,1.8189199116353798e-05,1.2463145624577203e-05,1663.6306454791286,0.03322462395644283,0.003744945943093365,0.036969569899536196,0.009272126141552511,0.004235475409056316,0.013507601550608827,0.05047717145014502,removeDuplicates,80
5,5,randomSeq_2G_int,10,80,56,5.216,2024-10-29 20:51:17.188800,2024-10-29 20:52:11.918600,1276.9546360156862,157.3708979137255,1462.121505882353,172.03211764705884,1431.2603609045752,161.6470870026144,6349.212665441177,280.31470588235294,32.981617647058826,417.28,292.096,1.8189199116353798e-05,1.2463145624577203e-05,1592.9074479071896,0.03180578579787945,0.003592157488946987,0.03539794328682644,0.007589989007272113,0.0036404349843565027,0.011230423991628616,0.046628367278455055,removeDuplicates,80
6,6,randomSeq_2G_int,10,64,64,5.15,2024-10-28 02:27:43.688100,2024-10-28 02:28:37.684300,1249.205409513631,149.18995401796778,1432.029293680297,163.66565985130111,1371.087998958075,154.01518929574556,5039.483568773235,278.06394052044607,31.779739776951672,329.6,329.6,1.8189199116353798e-05,1.2463145624577203e-05,1525.1031882538207,0.030468622199068335,0.003422559762127679,0.03389118196119602,0.0059951600287502125,0.004107852797860647,0.01010301282661086,0.043994194787806876,removeDuplicates,80
7,7,randomSeq_2G_int,10,64,32,6.12,2024-10-29 05:15:13.378900,2024-10-29 05:16:22.548400,1261.799865130435,153.55378460869565,1479.0585391304348,170.75598260869566,1406.6389811304348,156.42081760869564,4116.616594202898,241.676231884058,27.901304347826088,391.68,195.84,1.8189199116353798e-05,1.2463145624577203e-05,1563.0597987391304,0.031258644025120776,0.0034760181690821255,0.0347346621942029,0.007124345509893455,0.0024407824391171995,0.009565127949010654,0.04429979014321356,removeDuplicates,80
8,8,randomSeq_2G_int,10,48,72,5.162,2024-10-29 20:43:58.762800,2024-10-29 20:44:52.831700,1253.864326225541,145.3679517507112,1437.1142077922077,159.87738738404454,1345.4892670088743,150.8089901132112,3829.159981447124,278.4025974025974,30.971985157699446,247.776,371.664,1.8189199116353798e-05,1.2463145624577203e-05,1496.2982571220855,0.0298997614890861,0.0033513108914046933,0.03325107238049079,0.004506847000253679,0.0046321025554128615,0.009138949555666541,0.04239002193615733,removeDuplicates,80
9,9,randomSeq_2G_int,10,80,48,5.176,2024-10-28 05:06:01.598500,2024-10-28 05:06:55.903400,1257.6831731271834,154.86302990750306,1441.4300516605167,169.41181697416974,1410.8055719049612,158.50022667416974,6308.086014760148,278.48339483394835,32.730258302583024,414.08,248.448,1.8189199116353798e-05,1.2463145624577203e-05,1569.3057985791309,0.03135123493122136,0.0035222272594259943,0.03487346219064736,0.00753178357009978,0.0030964436041349573,0.010628227174234738,0.045501689364882095,removeDuplicates,80
10,10,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.8189199116353798e-05,1.2463145624577203e-05,1453.820809114401,0.029031779415038997,0.0032753496763921384,0.03230712909143114,0.004443112046549975,0.0050739958466778715,0.009517107893227846,0.04182423698465898,removeDuplicates,80
11,11,randomSeq_2G_int,10,64,80,5.115,2024-10-28 00:43:32.917200,2024-10-28 00:44:26.503500,1239.120394766854,148.5766109522472,1420.701786516854,162.9539382022472,1360.1746559335209,154.56716397308054,5032.720655430711,277.75205992509365,31.85805243445693,327.36,409.2000000000001,1.8189199116353798e-05,1.2463145624577203e-05,1514.7418199066014,0.030226103465189353,0.0034348258660684564,0.03366092933125781,0.005954416222729579,0.005099919189576993,0.011054335412306573,0.04471526474356438,removeDuplicates,80
12,12,randomSeq_2G_int,10,16,8,201.573,2024-10-30 01:36:42.906000,2024-10-30 02:10:23.484400,16840.365627942385,2582.298883519364,23996.163453792386,3148.8836314693635,18032.998598917384,2605.9065813506136,286.96095478881614,119.04453202458852,15.621554630180448,3225.168,1612.584,1.8189199116353798e-05,1.2463145624577203e-05,20638.905180267997,0.4007333021981641,0.05790903514112475,0.45864233733928883,0.058663222935692545,0.020097869223863207,0.07876109215955575,0.5374034294988446,removeDuplicates,80
13,13,randomSeq_2G_int,10,16,88,7.899,2024-10-29 20:36:57.172800,2024-10-29 20:38:18.326100,1340.667775524074,159.94537359444448,1621.080564074074,182.14801444444447,1387.4032402824073,170.1215839840278,1428.7111111111124,205.226049382716,23.059629629629637,126.384,695.112,1.8189199116353798e-05,1.2463145624577203e-05,1557.5248242664352,0.03083118311738683,0.003780479644089507,0.03461166276147634,0.0022988237411212583,0.008663282081391109,0.010962105822512367,0.045573768583988705,removeDuplicates,80
14,14,randomSeq_2G_int,10,32,72,5.735,2024-10-29 20:45:30.766200,2024-10-29 20:46:30.576200,1326.1574464423936,147.97794628243847,1529.7487038590602,164.0979798657718,1394.0211989146158,154.02295887618843,2639.8425167785235,266.7390939597315,28.613422818791943,183.52,412.92,1.8189199116353798e-05,1.2463145624577203e-05,1548.044157790804,0.03097824886476924,0.0034227324194708543,0.034400981284240094,0.003338081821833249,0.005146282091300419,0.008484363913133668,0.04288534519737376,removeDuplicates,80
15,15,randomSeq_2G_int,10,32,88,5.726,2024-10-29 20:35:12.004700,2024-10-29 20:36:11.743300,1326.1389976803134,147.56510403512308,1529.41075704698,163.6598402684564,1393.8962508025356,154.94185814206753,2626.207634228188,267.09932885906045,28.58187919463088,183.232,503.888,1.8189199116353798e-05,1.2463145624577203e-05,1548.8381089446032,0.03097547224005635,0.0034431524031570565,0.03441862464321341,0.003332843332487739,0.006280029522476958,0.009612872854964698,0.044031497498178106,removeDuplicates,80
16,16,randomSeq_2G_int,10,16,72,7.854,2024-10-29 20:47:16.379000,2024-10-29 20:48:37.121800,1358.8283730754645,158.6709551936803,1637.6436713754645,180.7471092936803,1405.2975894587978,166.9495129811803,1424.6752416356892,208.51078066914496,23.01338289962825,125.664,565.488,1.8189199116353798e-05,1.2463145624577203e-05,1572.247102439978,0.03122883532130662,0.0037099891773595627,0.034938824498666185,0.0022857275177574836,0.007047759292950914,0.009333486810708398,0.04427231130937458,removeDuplicates,80
17,17,randomSeq_2G_int,10,80,64,5.209,2024-10-28 02:08:52.230900,2024-10-28 02:09:46.791900,1260.777930818501,155.1422268090214,1445.696302201835,169.78377082568807,1414.8765736379455,160.02274148124363,6276.761284403669,277.53816513761467,32.594311926605506,416.72,333.376,1.8189199116353798e-05,1.2463145624577203e-05,1574.8993151191892,0.03144170163639879,0.0035560609218054143,0.03499776255820421,0.007579803055766955,0.00415491363573905,0.011734716691506004,0.04673247924971021,removeDuplicates,80
18,18,randomSeq_2G_int,10,64,16,72.944,2024-10-29 06:22:26.476800,2024-10-29 06:34:41.125700,8425.81432796253,1094.2100886441506,11015.310523429196,1299.242299577484,10152.145124940307,1111.2961062219283,733.5826591249829,151.01050838217256,17.81150333923947,4668.416,1167.104,1.8189199116353798e-05,1.2463145624577203e-05,11263.441231162236,0.2256032249986735,0.024695469027153964,0.25029869402582744,0.08491474818197194,0.014545787111026554,0.09946053529299849,0.3497592293188259,removeDuplicates,80
19,19,randomSeq_2G_int,10,32,32,9.395,2024-10-29 05:25:38.118900,2024-10-29 05:27:15.980500,1641.50566710841,185.98765223754688,1975.0261315250768,212.39527482088025,1752.6791552472987,190.3889226681024,1937.9419651995909,210.2209825997953,22.607267144319344,300.64,300.64,1.8189199116353798e-05,1.2463145624577203e-05,1943.068077915401,0.038948425672162196,0.0042308649481800535,0.04317929062034225,0.005468400822340605,0.0037469201005728902,0.009215320922913495,0.05239461154325575,removeDuplicates,80
20,20,randomSeq_2G_int,10,16,80,7.744,2024-10-28 01:29:27.026800,2024-10-28 01:30:46.648800,1297.7139234012575,154.78454667672958,1572.624245534591,176.55151094339624,1343.5323104234797,163.854115121174,1423.081496855347,203.07647798742136,22.79849056603774,123.904,619.52,1.8189199116353798e-05,1.2463145624577203e-05,1507.3864255446538,0.029856273564966215,0.0036412025582483114,0.03349747612321453,0.002253714527312701,0.007721167977338069,0.00997488250465077,0.0434723586278653,removeDuplicates,80
21,21,randomSeq_2G_int,10,80,88,5.18,2024-10-29 20:30:40.317300,2024-10-29 20:31:34.595300,1257.907151908195,156.0027201287739,1441.7960295748617,170.5627504621072,1411.1478832970838,162.676067364885,6480.58484288355,278.3390018484289,32.9271719038817,414.4,455.84,1.8189199116353798e-05,1.2463145624577203e-05,1573.8239506619689,0.03135884185104631,0.0036150237192196667,0.03497386557026597,0.007537604113817014,0.005681200301507272,0.013218804415324286,0.048192669985590256,removeDuplicates,80
22,22,randomSeq_2G_int,10,80,80,5.178,2024-10-28 00:28:35.417500,2024-10-28 00:29:29.658100,1252.4186257817005,155.0246127417745,1436.2365038817006,169.5790214417745,1405.600190865034,161.08894970010783,6283.6008872458415,277.3728280961183,32.74990757855823,414.24,414.24,1.8189199116353798e-05,1.2463145624577203e-05,1566.6891405651418,0.031235559797000757,0.003579754437780174,0.03481531423478093,0.007534693841958397,0.005162733443524861,0.01269742728548326,0.04751274152026419,removeDuplicates,80
23,23,randomSeq_2G_int,10,48,16,73.038,2024-10-29 06:43:21.762000,2024-10-29 06:55:37.015800,8210.054976663583,1081.611647609819,10802.888151763584,1286.908075309819,9506.471564213583,1098.7196832514858,642.5209206046576,147.90777611330518,17.61970584229879,3505.824,1168.608,1.8189199116353798e-05,1.2463145624577203e-05,10605.191247465069,0.21125492364919074,0.02441599296114413,0.23567091661033487,0.06376813080289194,0.014564531682045917,0.07833266248493785,0.3140035790952727,removeDuplicates,80
24,24,randomSeq_2G_int,10,80,8,181.919,2024-10-29 22:55:29.650400,2024-10-29 23:25:55.259000,20206.997833428777,2708.4238423615475,26665.082917645446,3219.7647995448806,25588.73540360933,2729.7297155775195,581.1276125459231,146.5766792783901,17.69889236168229,14553.52,1455.352,1.8189199116353798e-05,1.2463145624577203e-05,28318.46511918685,0.5686385645246518,0.0606606603461671,0.6292992248708189,0.26471687312383735,0.018138263911019685,0.28285513703485704,0.912154361905676,removeDuplicates,80
25,25,randomSeq_2G_int,10,48,64,5.161,2024-10-28 02:46:27.694700,2024-10-28 02:47:21.746400,1233.002247846296,143.44864740555553,1416.216629629629,157.9552722222222,1324.6094387379628,148.2841890111111,3815.929537037037,274.4074074074074,30.605555555555554,247.728,330.304,1.8189199116353798e-05,1.2463145624577203e-05,1472.8936277490739,0.029435765305288065,0.0032952042002469136,0.03273096950553498,0.004505973918696094,0.0041166268523803486,0.008622600771076443,0.04135357027661142,removeDuplicates,80
26,26,randomSeq_2G_int,10,48,24,10.052,2024-10-29 21:46:47.840200,2024-10-29 21:48:32.378500,1834.880200538697,211.90951837624525,2191.724022605364,240.16384750957857,2013.3021115720303,215.44130951791192,2658.990641762452,218.03860153256704,23.89214559386973,482.496,241.248,1.8189199116353798e-05,1.2463145624577203e-05,2228.7434210899423,0.0447400469238229,0.004787584655953599,0.0495276315797765,0.008776215816844242,0.003006708955638001,0.011782924772482243,0.061310556352258745,removeDuplicates,80
27,27,randomSeq_2G_int,10,16,48,7.817,2024-10-28 10:31:01.289100,2024-10-28 10:32:21.858300,1312.400251323085,157.00413021604555,1589.9020576397518,178.9762840993789,1358.6505523758628,162.4971686868789,1421.4554658385105,203.39031055900625,22.89577639751553,125.072,375.216,1.8189199116353798e-05,1.2463145624577203e-05,1521.1477210627418,0.0301922344972414,0.0036110481930417535,0.033803282690283154,0.002274959511880602,0.00467637164867136,0.006951331160551962,0.04075461385083512,removeDuplicates,80
28,28,randomSeq_2G_int,10,64,72,5.125,2024-10-29 20:42:28.792900,2024-10-29 20:43:22.498000,1255.6376272705993,150.37867038857675,1437.5740168539326,164.78410580524343,1376.9285536594882,155.78070866982674,5181.423146067416,280.50224719101124,32.152996254681646,328.0,369.0,1.8189199116353798e-05,1.2463145624577203e-05,1532.709262329315,0.030598412303544185,0.0034617935259961497,0.034060205829540335,0.005966057310164046,0.004598900735468988,0.010564958045633035,0.044625163875173374,removeDuplicates,80
29,29,randomSeq_2G_int,10,48,88,5.135,2024-10-29 20:33:40.338400,2024-10-29 20:34:34.127300,1239.8583588519898,143.65356275995026,1422.1497462686566,158.08710634328358,1331.004052560323,150.26893690231137,3889.0800746268656,276.9522388059701,30.786194029850748,246.48,451.88,1.8189199116353798e-05,1.2463145624577203e-05,1481.2729894626345,0.029577867834673848,0.003339309708940253,0.032917177543614104,0.004483273798198884,0.005631846244833947,0.01011512004303283,0.043032297586646936,removeDuplicates,80
30,30,randomSeq_2G_int,10,48,32,7.412,2024-10-29 05:20:14.159200,2024-10-29 05:21:34.157200,1448.0769868857142,167.2164689719298,1711.201380952381,188.05024210526312,1579.6391839190476,170.68876449415205,3085.662531328321,230.8690476190476,25.371052631578944,355.776,237.184,1.8189199116353798e-05,1.2463145624577203e-05,1750.3279484131997,0.035103092975978835,0.0037930836554256014,0.03889617663140443,0.006471280504819889,0.0029560587318197195,0.009427339236639609,0.048323515868044044,removeDuplicates,80
