,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
10,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0,0.0,0.0,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.0095171078932278,removeDuplicates,0,False,True,True,False,-0.0,-0.0,-54.29932430125336,-54.29932430125336
48,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.0,0.0,0.0,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0061679517628001,removeDuplicates,0,True,False,False,True,35.19090219425692,35.19090219425692,-0.0,-0.0
88,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0036289724268798,0.000409418709549,0.0040383911364288,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.0135554990296567,removeDuplicates,10,False,True,True,False,-0.0,-0.0,-30.288864066333637,-30.288864066333637
126,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.003819062964098,0.0004171737866767,0.0042362367507747,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0104041885135749,removeDuplicates,10,True,False,False,True,23.24746960025129,23.24746960025129,-0.0,-0.0
166,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0072579448537597,0.000818837419098,0.0080767822728577,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.0175938901660856,removeDuplicates,20,False,True,True,False,-0.0,-0.0,-20.17335458777883,-20.17335458777883
204,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.007638125928196,0.0008343475733534,0.0084724735015494,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0146404252643496,removeDuplicates,20,True,False,False,True,16.78687813698627,16.78687813698627,-0.0,-0.0
244,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0108869172806396,0.001228256128647,0.0121151734092866,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.0216322813025145,removeDuplicates,30,False,True,True,False,-0.0,-0.0,-14.59802207181731,-14.59802207181731
282,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.011457188892294,0.0012515213600301,0.0127087102523241,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0188766620151243,removeDuplicates,30,True,False,False,True,12.738459013427727,12.738459013427727,-0.0,-0.0
322,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0145158897075194,0.001637674838196,0.0161535645457155,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.0256706724389434,removeDuplicates,40,False,True,True,False,-0.0,-0.0,-11.066433937824213,-11.066433937824213
360,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.015276251856392,0.0016686951467068,0.0169449470030989,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.023112898765899,removeDuplicates,40,True,False,False,True,9.963796932581163,9.963796932581163,-0.0,-0.0
400,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0181448621343993,0.002047093547745,0.0201919556821444,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.0297090635753723,removeDuplicates,50,False,True,True,False,-0.0,-0.0,-8.62889453035813,-8.84619219287079
438,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.0190953148204901,0.0020858689333835,0.0211811837538736,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0273491355166738,removeDuplicates,50,False,False,False,True,7.943461606291725,7.943461606291725,-0.0,-0.20003670611959865
459,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0182215844908239,0.0020324912395126,0.0202540757303366,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0272945364250585,removeDuplicates,50,True,False,False,False,8.127240847521534,8.127240847521534,0.19963735812422276,-0.0
478,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0217738345612792,0.0024565122572941,0.0242303468185733,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.0337474547118012,removeDuplicates,60,False,True,True,False,-0.0,-0.0,-6.845201715671758,-7.663347259719773
516,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.0229143777845881,0.0025030427200602,0.0254174205046483,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0315853722674485,removeDuplicates,60,False,False,False,True,6.406653369318055,6.406653369318055,-0.0,-0.7657297949843375
537,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0218659013889887,0.0024389894874152,0.0243048908764039,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0313453515711258,removeDuplicates,60,True,False,False,False,7.117879440654239,7.117879440654239,0.7599109305735927,-0.0
556,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0254028069881591,0.0028659309668431,0.0282687379550022,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.03778584584823,removeDuplicates,70,False,True,True,False,-0.0,-0.0,-5.483385263368691,-6.751237076403656
594,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.0267334407486861,0.0029202165067369,0.029653657255423,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0358216090182232,removeDuplicates,70,False,False,False,True,5.1983402406719215,5.1983402406719215,-0.0,-1.2019445620458808
615,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0255102182871535,0.0028454877353177,0.0283557060224713,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0353961667171932,removeDuplicates,70,True,False,False,False,6.3242705764352705,6.3242705764352705,1.1876694338703946,-0.0
634,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0290317794150389,0.0032753496763921,0.0323071290914311,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.0418242369846589,removeDuplicates,80,False,True,True,False,-0.0,-0.0,-4.409601119958284,-6.026456294270996
672,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.0305525037127841,0.0033373902934136,0.0338898940061978,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.040057845768998,removeDuplicates,80,False,False,False,True,4.2233674610939325,4.2233674610939325,-0.0,-1.548569438987774
693,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0291545351853183,0.0032519859832202,0.0324065211685386,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0394469818632605,removeDuplicates,80,True,False,False,False,5.683917490880648,5.683917490880648,1.5249544602577416,-0.0
712,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0326607518419188,0.0036847683859411,0.03634552022786,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.0458626281210878,removeDuplicates,90,False,True,True,False,-0.0,-0.0,-3.5412080171542257,-5.4366686921015335
750,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.0343715666768821,0.0037545640800903,0.0381261307569725,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0442940825197727,removeDuplicates,90,False,False,False,True,3.4200953272319703,3.4200953272319703,-0.0,-1.8306341129739157
771,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0327988520834831,0.0036584842311228,0.0364573363146059,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0434977970093278,removeDuplicates,90,True,False,False,False,5.156335798106267,5.156335798106267,1.7977243576259734,-0.0
790,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0362897242687987,0.0040941870954901,0.0403839113642889,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.0499010192575167,removeDuplicates,100,False,True,True,False,-0.0,-0.0,-2.824419883429792,-4.94737279488543
828,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.0381906296409802,0.004171737866767,0.0423623675077472,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0485303192705474,removeDuplicates,100,False,False,False,True,2.7468376545491693,2.7468376545491693,-0.0,-2.064638841495426
849,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0364431689816479,0.0040649824790253,0.0405081514606732,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0475486121553951,removeDuplicates,100,True,False,False,False,4.714146398457093,4.714146398457093,2.0228738032393117,-0.0
868,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0399186966956786,0.0045036058050391,0.0444223025007178,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.0539394103939456,removeDuplicates,110,False,True,True,False,-0.0,-0.0,-2.2227229917176405,-4.534901286427221
906,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.0420096926050782,0.0045889116534437,0.046598604258522,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0527665560213221,removeDuplicates,110,False,False,False,True,2.1743922746978006,2.1743922746978006,-0.0,-2.261902468492176
927,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0400874858798127,0.0044714807269278,0.0445589666067406,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0515994273014625,removeDuplicates,110,True,False,False,False,4.338169578408576,4.338169578408576,2.211872079329923,-0.0
946,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0435476691225584,0.0049130245145882,0.0484606936371467,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.0579778015303745,removeDuplicates,120,False,True,True,False,-0.0,-0.0,-1.7104578755917914,-4.18247788415163
984,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.0458287555691762,0.0050060854401204,0.0508348410092967,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0570027927720969,removeDuplicates,120,False,False,False,True,1.681693221442338,1.681693221442338,-0.0,-2.430448215643189
1005,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0437318027779775,0.0048779789748304,0.0486097817528079,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0556502424475298,removeDuplicates,120,True,False,False,False,4.014569406577604,4.014569406577604,2.3727790495717174,-0.0
1024,randomSeq_2G_int,10,48,80,5.089,2024-10-28 00:58:26.821100,2024-10-28 00:59:20.138600,1216.100874985088,141.43063293070176,1396.7592723684213,155.73487894736843,1306.4300736767548,147.3907354376462,3808.391560150376,274.4663533834587,30.602255639097745,244.272,407.12,1.81891991163538e-05,1.2463145624577203e-05,1453.820809114401,0.0471766415494383,0.0053224432241372,0.0524990847735755,0.0044431120465499,0.0050739958466778,0.0095171078932278,0.0620161926668034,removeDuplicates,130,False,True,True,False,-0.0,-0.0,-1.2690650880441303,-3.8778794991641856
1062,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.0496478185332742,0.0054232592267971,0.0550710777600714,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0612390295228716,removeDuplicates,130,False,False,False,True,1.253161651034099,1.253161651034099,-0.0,-2.576121749373248
