,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
48,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.0,0.0,0.0,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0061679517628001,removeDuplicates,0,True,False,False,True,35.19090219425692,35.19090219425692,-0.0,-0.0
126,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.003819062964098,0.0004171737866767,0.0042362367507747,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0104041885135749,removeDuplicates,10,True,False,False,True,23.24746960025129,23.24746960025129,-0.0,-0.0
204,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.007638125928196,0.0008343475733534,0.0084724735015494,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0146404252643496,removeDuplicates,20,True,False,False,True,16.78687813698627,16.78687813698627,-0.0,-0.0
282,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.011457188892294,0.0012515213600301,0.0127087102523241,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.0188766620151243,removeDuplicates,30,True,False,False,True,12.738459013427727,12.738459013427727,-0.0,-0.0
360,randomSeq_2G_int,10,32,40,5.708,2024-10-29 21:13:31.809600,2024-10-29 21:14:31.708100,1307.3184126530657,146.84003371750276,1509.9511759197323,162.8841752508361,1374.8626670752878,150.18256320361388,2609.0687792642143,264.5324414715719,28.53612040133779,182.656,228.32,1.81891991163538e-05,1.2463145624577203e-05,1525.0452302789015,0.015276251856392,0.0016686951467068,0.0169449470030989,0.0033223663537967,0.0028455854090034,0.0061679517628001,0.023112898765899,removeDuplicates,40,True,False,False,True,9.963796932581163,9.963796932581163,-0.0,-0.0
459,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0182215844908239,0.0020324912395126,0.0202540757303366,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0272945364250585,removeDuplicates,50,True,False,False,False,8.127240847521534,8.127240847521534,0.19963735812422276,-0.0
537,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0218659013889887,0.0024389894874152,0.0243048908764039,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0313453515711258,removeDuplicates,60,True,False,False,False,7.117879440654239,7.117879440654239,0.7599109305735927,-0.0
615,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0255102182871535,0.0028454877353177,0.0283557060224713,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0353961667171932,removeDuplicates,70,True,False,False,False,6.3242705764352705,6.3242705764352705,1.1876694338703946,-0.0
693,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0291545351853183,0.0032519859832202,0.0324065211685386,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0394469818632605,removeDuplicates,80,True,False,False,False,5.683917490880648,5.683917490880648,1.5249544602577416,-0.0
771,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0327988520834831,0.0036584842311228,0.0364573363146059,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0434977970093278,removeDuplicates,90,True,False,False,False,5.156335798106267,5.156335798106267,1.7977243576259734,-0.0
