,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
16,trigramString_500000000000,3,96,192,33.259,2024-10-27 22:01:17.829000,2024-10-27 22:02:58.193400,8160.010563230693,987.6708319343928,9340.697857114026,1081.1557834510595,9340.697857114026,1081.1557834510595,7412.118446014126,280.84722502522703,32.507164480322906,3192.864,6385.728,1.81891991163538e-05,1.2463145624577203e-05,10421.853640565085,0.0,0.0,0.0,0.0580756390474378,0.0795862579829401,0.1376618970303779,0.1376618970303779,suffixArray,0,False,True,False,False,-0.0,-114.65214807465087,-166.85148258932279,-166.85148258932279
42,trigramString_500000000000,3,64,56,34.442,2024-10-30 02:59:01.332100,2024-10-30 03:00:45.305900,8174.299698498908,1003.845904825683,9396.983236065576,1100.6560524590163,8989.422056876685,1032.082197885405,4950.547232401157,272.8350048216008,31.95679845708775,2204.288,1928.752,1.81891991163538e-05,1.2463145624577203e-05,10021.50425476209,0.0,0.0,0.0,0.0400942333417892,0.0240383170496945,0.0641325503914838,0.0641325503914838,suffixArray,0,False,False,True,False,53.41299824065939,-0.0,-24.31810488871429,-24.31810488871429
44,trigramString_500000000000,3,32,56,40.303,2024-10-30 03:04:39.519100,2024-10-30 03:06:41.043400,9337.13731360273,1117.8045151578592,10767.885081286064,1231.088859274526,9814.053236163842,1150.8457821918869,2628.7440395713106,267.17328936521017,30.54583676834295,1289.696,2256.968,1.81891991163538e-05,1.2463145624577203e-05,10964.899018355727,0.0,0.0,0.0,0.023458537343565,0.0281289208540107,0.0515874581975757,0.0515874581975757,suffixArray,0,True,False,False,True,62.525971739157505,19.561193367999863,-0.0,-0.0
94,trigramString_500000000000,3,96,192,33.259,2024-10-27 22:01:17.829000,2024-10-27 22:02:58.193400,8160.010563230693,987.6708319343928,9340.697857114026,1081.1557834510595,9340.697857114026,1081.1557834510595,7412.118446014126,280.84722502522703,32.507164480322906,3192.864,6385.728,1.81891991163538e-05,1.2463145624577203e-05,10421.853640565085,0.0259463829364278,0.0030032105095862,0.0289495934460141,0.0580756390474378,0.0795862579829401,0.1376618970303779,0.1666114904763921,suffixArray,10,False,True,False,False,-0.0,-81.15839706129047,-103.07203696116841,-103.07203696116841
120,trigramString_500000000000,3,64,56,34.442,2024-10-30 02:59:01.332100,2024-10-30 03:00:45.305900,8174.299698498908,1003.845904825683,9396.983236065576,1100.6560524590163,8989.422056876685,1032.082197885405,4950.547232401157,272.8350048216008,31.95679845708775,2204.288,1928.752,1.81891991163538e-05,1.2463145624577203e-05,10021.50425476209,0.0249706168246574,0.0028668949941261,0.0278375118187835,0.0400942333417892,0.0240383170496945,0.0641325503914838,0.0919700622102674,suffixArray,10,False,False,True,False,44.79968821640243,-0.0,-12.096397547867447,-12.096397547867447
122,trigramString_500000000000,3,32,56,40.303,2024-10-30 03:04:39.519100,2024-10-30 03:06:41.043400,9337.13731360273,1117.8045151578592,10767.885081286064,1231.088859274526,9814.053236163842,1150.8457821918869,2628.7440395713106,267.17328936521017,30.54583676834295,1289.696,2256.968,1.81891991163538e-05,1.2463145624577203e-05,10964.899018355727,0.027261258989344,0.0031967938394219,0.0304580528287659,0.023458537343565,0.0281289208540107,0.0515874581975757,0.0820455110263417,suffixArray,10,True,False,False,True,50.75639093573376,10.791067164046943,-0.0,-0.0
172,trigramString_500000000000,3,96,192,33.259,2024-10-27 22:01:17.829000,2024-10-27 22:02:58.193400,8160.010563230693,987.6708319343928,9340.697857114026,1081.1557834510595,9340.697857114026,1081.1557834510595,7412.118446014126,280.84722502522703,32.507164480322906,3192.864,6385.728,1.81891991163538e-05,1.2463145624577203e-05,10421.853640565085,0.0518927658728557,0.0060064210191725,0.0578991868920282,0.0580756390474378,0.0795862579829401,0.1376618970303779,0.1955610839224062,suffixArray,20,False,True,False,False,-0.0,-63.229316265920396,-73.82656799589718,-75.79401202212952
198,trigramString_500000000000,3,64,56,34.442,2024-10-30 02:59:01.332100,2024-10-30 03:00:45.305900,8174.299698498908,1003.845904825683,9396.983236065576,1100.6560524590163,8989.422056876685,1032.082197885405,4950.547232401157,272.8350048216008,31.95679845708775,2204.288,1928.752,1.81891991163538e-05,1.2463145624577203e-05,10021.50425476209,0.0499412336493149,0.0057337899882522,0.0556750236375671,0.0400942333417892,0.0240383170496945,0.0641325503914838,0.1198075740290509,suffixArray,20,False,False,True,False,38.73649520341809,-0.0,-6.4922478219001825,-7.697572987281097
200,trigramString_500000000000,3,32,56,40.303,2024-10-30 03:04:39.519100,2024-10-30 03:06:41.043400,9337.13731360273,1117.8045151578592,10767.885081286064,1231.088859274526,9814.053236163842,1150.8457821918869,2628.7440395713106,267.17328936521017,30.54583676834295,1289.696,2256.968,1.81891991163538e-05,1.2463145624577203e-05,10964.899018355727,0.054522517978688,0.0063935876788438,0.0609161056575318,0.023458537343565,0.0281289208540107,0.0515874581975757,0.1125035638551076,suffixArray,20,False,False,False,True,42.471394820174844,6.096451107650531,-0.0,-1.1318431059852585
230,trigramString_500000000000,3,48,56,35.295,2024-10-30 03:01:47.188500,2024-10-30 03:03:33.716400,8367.668551765524,1020.082007970132,9620.633404515524,1119.289782220132,8994.150978140524,1049.0176087930486,3774.6165192850426,272.57779868297274,31.71241768579492,1694.16,1976.52,1.81891991163538e-05,1.2463145624577203e-05,10043.168586933572,0.049967505434114,0.0058278756044058,0.0557953810385198,0.0308154135749619,0.0246336565898893,0.0554490701648512,0.1112444512033711,suffixArray,20,True,False,False,False,43.11524104278838,7.147396894626555,1.119175791940326,-0.0
