,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds
0,trigramString_500000000000,3,48,192,35.285,2024-10-27 22:25:37.098300,2024-10-27 22:27:23.535100,8460.181123426082,1015.8961065155368,9712.79097834275,1115.0757725988701,9086.486050884416,1115.0757725988701,3821.159209039548,275.26685499058385,31.601977401129947,1693.6799999999998,6774.719999999999
1,trigramString_500000000000,3,48,40,136.275,2024-10-30 03:38:34.302700,2024-10-30 03:45:24.092200,17576.540578302785,2293.520845113637,22414.273552052786,2676.5648863636366,19995.407065177787,2373.32168704072,1409.3096187683284,164.47825024437927,19.64090909090909,6541.200000000001,5451.0
2,trigramString_500000000000,3,32,40,138.339,2024-10-30 03:47:00.548900,2024-10-30 03:53:56.460600,17547.02270083439,2289.5134220228324,22458.02722738439,2678.3589888728325,19184.02420968439,2370.522915116582,1120.0886801541424,162.34053468208091,19.36083815028902,4426.848,5533.5599999999995
3,trigramString_500000000000,3,96,32,217.693,2024-10-29 07:44:28.222500,2024-10-29 07:55:22.518800,25501.749851097342,3454.3079520225247,33229.80418428068,4066.2030646391913,33229.80418428068,3556.2904707919693,1548.4450819672131,152.64525815841887,18.678611919718094,20898.528000000002,6966.176
4,trigramString_500000000000,3,80,56,33.802,2024-10-30 02:56:17.536400,2024-10-30 02:57:59.591100,8043.163339876684,991.158601555927,9243.127016110018,1086.1698265225937,9043.13307007113,1018.8702088378715,6123.307730844794,273.44911591355594,32.13330058939097,2704.16,1892.912
5,trigramString_500000000000,3,64,24,387.421,2024-10-30 05:01:51.518300,2024-10-30 05:21:15.220000,42224.87428916364,5812.94388180785,55978.23584794698,6901.913285624516,51393.7819950192,5949.065057284933,858.4235723508651,144.48942067659465,17.815021089782217,24794.944,9298.104
6,trigramString_500000000000,3,16,8,29167.744,2024-11-05 05:27:50.523300,2024-11-06 05:46:14.904200,2443449.924383834,361792.8439036056,3478898.5167059675,443778.02486787224,2616024.6897708564,365208.89311045,264.63942898641636,119.27211500162534,15.214684579920622,466683.904,233341.952
7,trigramString_500000000000,3,96,88,33.48,2024-10-30 02:14:55.687900,2024-10-30 02:16:36.765600,8045.58237487912,992.4653505074926,9234.11512087912,1086.5714925074926,9234.11512087912,1035.5973322574926,7309.532167832167,275.8098901098901,32.45434565434566,3214.08,2946.24
8,trigramString_500000000000,3,32,192,40.391,2024-10-27 22:34:29.636400,2024-10-27 22:36:31.392600,9477.884889325716,1115.2024163623457,10911.756637942384,1228.734112345679,9955.842138864606,1228.734112345679,2650.7642139917693,270.1531687242798,30.42098765432099,1292.512,7755.072
9,trigramString_500000000000,3,16,80,59.9,2024-10-28 01:44:02.795500,2024-10-28 01:47:03.110600,10233.498694999998,1433.2149872222221,12359.935716666665,1601.5829055555555,10587.904865277776,1503.3682865277776,1445.3776777777796,206.34283333333332,26.73761111111111,958.4,4792.0
10,trigramString_500000000000,3,32,48,89.928,2024-10-28 10:25:08.875400,2024-10-28 10:29:39.605400,13659.151132790674,1728.8986554925636,16851.575648390673,1981.6697766925636,14723.292637990675,1792.0914357925637,1508.1419422863485,187.38964113947463,22.0361820199778,2877.696,4316.544
11,trigramString_500000000000,3,64,48,87.52,2024-10-28 07:43:56.389400,2024-10-28 07:48:19.929000,13460.155865745342,1689.1440284880273,16567.096903078676,1935.146703154694,15531.44989063423,1750.6446971546939,2414.248658304827,189.29498289623717,22.11090839984797,5601.28,4200.96
12,trigramString_500000000000,3,48,64,35.777,2024-10-28 03:02:46.513500,2024-10-28 03:04:34.550600,8520.448126799398,1026.1405152735842,9790.523875116065,1126.7031031569175,9155.486000957731,1059.661377901362,3784.4201114206126,273.6541318477252,31.492386258124423,1717.296,2289.728
13,trigramString_500000000000,3,80,24,397.349,2024-10-30 04:36:16.367500,2024-10-30 04:56:09.910100,44147.26353569301,5979.999975696481,58253.06694340968,7096.875167379814,55902.099708790236,6119.609374656898,958.9000964846044,146.60428727242217,17.860558771709037,31787.92,9536.376
14,trigramString_500000000000,3,64,80,34.497,2024-10-28 00:55:52.959200,2024-10-28 00:57:37.089400,8265.734606719943,1003.2702123632948,9490.370632369943,1100.2349549132948,9082.158623819943,1043.6721884257947,5047.343805394989,275.10712909441236,31.89364161849711,2207.808,2759.76
15,trigramString_500000000000,3,64,64,34.808,2024-10-28 02:43:52.666600,2024-10-28 02:45:37.754500,8310.224902038677,1004.9569178941476,9545.901360305344,1102.795824427481,9134.009207549789,1037.569886738592,5002.9755057251905,274.244465648855,31.682251908396946,2227.712,2227.712
16,trigramString_500000000000,3,96,192,33.259,2024-10-27 22:01:17.829000,2024-10-27 22:02:58.193400,8160.010563230693,987.6708319343928,9340.697857114026,1081.1557834510595,9340.697857114026,1081.1557834510595,7412.118446014126,280.84722502522703,32.507164480322906,3192.864,6385.728
17,trigramString_500000000000,3,96,96,33.276,2024-10-27 23:01:45.106900,2024-10-27 23:03:25.527400,8046.247788069615,986.4910641975856,9227.538578269616,1080.0237995975856,9227.538578269616,1033.2574318975855,7338.0257344064385,277.30311871227354,32.45653923541247,3194.496,3194.496
18,trigramString_500000000000,3,48,80,35.35,2024-10-28 01:10:58.000800,2024-10-28 01:12:44.667200,8351.609461983568,1017.1864665140845,9606.526802816901,1116.5488356807512,8979.068132400234,1058.5874536668623,3781.6689295774645,271.7546478873239,31.585539906103286,1696.8000000000002,2828.0
