,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
11,trigramString_500000000000,10,96,192,2.33,2024-10-27 21:59:27.028400,2024-10-27 21:59:50.407200,571.2963316731602,53.24706989393939,654.0108268398269,59.79627272727272,654.0108268398269,59.79627272727272,6787.881471861472,280.69134199134203,25.66363636363636,223.68,447.36,1.81891991163538e-05,1.2463145624577203e-05,713.8070995670996,0.0,0.0,0.0,0.004068560058346,0.0055755128266108,0.0096440728849568,0.0096440728849568,wordCounts,0,False,True,False,False,-0.0,-203.7820988600402,-350.6009032827473,-350.6009032827473
59,trigramString_500000000000,10,48,32,2.496,2024-10-29 04:52:10.624800,2024-10-29 04:52:35.703200,574.6636063999999,53.2406368,663.2710655999999,60.256435200000006,618.9673359999999,54.40993653333334,3091.19344,265.7336,24.1412,119.808,79.872,1.81891991163538e-05,1.2463145624577203e-05,673.3772725333333,0.0,0.0,0.0,0.0021792115677321,0.0009954563673262,0.0031746679350583,0.0031746679350583,wordCounts,0,False,False,True,False,67.08166795368925,-0.0,-48.33030154629029,-48.33030154629029
72,trigramString_500000000000,10,16,16,4.364,2024-10-29 04:59:57.929200,2024-10-29 05:00:41.833700,779.6116112867578,80.42973853242007,934.5326657534246,92.6961424657534,805.4317870312022,81.45193886019786,1337.4581278538817,214.14589041095888,21.24109589041096,69.824,69.824,1.81891991163538e-05,1.2463145624577203e-05,886.8837258914001,0.0,0.0,0.0,0.0012700426391002,0.0008702266800904,0.0021402693191907,0.0021402693191907,wordCounts,0,True,False,False,True,77.80741244159223,32.582891723716735,-0.0,-0.0
89,trigramString_500000000000,10,96,192,2.33,2024-10-27 21:59:27.028400,2024-10-27 21:59:50.407200,571.2963316731602,53.24706989393939,654.0108268398269,59.79627272727272,654.0108268398269,59.79627272727272,6787.881471861472,280.69134199134203,25.66363636363636,223.68,447.36,1.81891991163538e-05,1.2463145624577203e-05,713.8070995670996,0.0018166967412217,0.0001661007575757,0.0019827974987974,0.004068560058346,0.0055755128266108,0.0096440728849568,0.0116268703837543,wordCounts,10,False,True,False,False,-0.0,-130.45591333012345,-152.54749175253008,-167.754037286876
116,trigramString_500000000000,10,32,16,2.871,2024-10-29 04:59:03.630600,2024-10-29 04:59:32.494600,662.234285116202,58.68239587264809,764.154163066202,66.75225052264808,696.207577766202,59.35488376014808,2279.8791637630657,266.1630662020906,23.250522648083624,91.872,45.936,1.81891991163538e-05,1.2463145624577203e-05,755.56246152635,0.0019339099382394,0.0001648746771115,0.0020987846153509,0.0016710781012176,0.0005725070574105,0.0022435851586282,0.0043423697739792,wordCounts,10,True,False,False,False,62.65229050762795,13.929994981472774,5.679296449992796,-0.0
137,trigramString_500000000000,10,48,32,2.496,2024-10-29 04:52:10.624800,2024-10-29 04:52:35.703200,574.6636063999999,53.2406368,663.2710655999999,60.256435200000006,618.9673359999999,54.40993653333334,3091.19344,265.7336,24.1412,119.808,79.872,1.81891991163538e-05,1.2463145624577203e-05,673.3772725333333,0.0017193537111111,0.0001511387125925,0.0018704924237037,0.0021792115677321,0.0009954563673262,0.0031746679350583,0.005045160358762,wordCounts,10,False,False,True,False,56.60775262609469,-0.0,-9.586032357850973,-16.184494213139914
150,trigramString_500000000000,10,16,16,4.364,2024-10-29 04:59:57.929200,2024-10-29 05:00:41.833700,779.6116112867578,80.42973853242007,934.5326657534246,92.6961424657534,805.4317870312022,81.45193886019786,1337.4581278538817,214.14589041095888,21.24109589041096,69.824,69.824,1.81891991163538e-05,1.2463145624577203e-05,886.8837258914001,0.0022373105195311,0.0002262553857227,0.0024635659052538,0.0012700426391002,0.0008702266800904,0.0021402693191907,0.0046038352244446,wordCounts,10,False,False,False,True,60.40348715955989,8.747494686684137,-0.0,-6.0212617550946606
167,trigramString_500000000000,10,96,192,2.33,2024-10-27 21:59:27.028400,2024-10-27 21:59:50.407200,571.2963316731602,53.24706989393939,654.0108268398269,59.79627272727272,654.0108268398269,59.79627272727272,6787.881471861472,280.69134199134203,25.66363636363636,223.68,447.36,1.81891991163538e-05,1.2463145624577203e-05,713.8070995670996,0.0036333934824434,0.0003322015151515,0.0039655949975949,0.004068560058346,0.0055755128266108,0.0096440728849568,0.0136096678825518,wordCounts,20,False,True,False,False,-0.0,-96.79512998481427,-92.56962542229998,-111.29237183161582
194,trigramString_500000000000,10,32,16,2.871,2024-10-29 04:59:03.630600,2024-10-29 04:59:32.494600,662.234285116202,58.68239587264809,764.154163066202,66.75225052264808,696.207577766202,59.35488376014808,2279.8791637630657,266.1630662020906,23.250522648083624,91.872,45.936,1.81891991163538e-05,1.2463145624577203e-05,755.56246152635,0.0038678198764789,0.000329749354223,0.0041975692307019,0.0016710781012176,0.0005725070574105,0.0022435851586282,0.0064411543893301,wordCounts,20,True,False,False,False,52.67221474531391,6.861223489106731,8.861061214380454,-0.0
215,trigramString_500000000000,10,48,32,2.496,2024-10-29 04:52:10.624800,2024-10-29 04:52:35.703200,574.6636063999999,53.2406368,663.2710655999999,60.256435200000006,618.9673359999999,54.40993653333334,3091.19344,265.7336,24.1412,119.808,79.872,1.81891991163538e-05,1.2463145624577203e-05,673.3772725333333,0.0034387074222222,0.0003022774251851,0.0037409848474074,0.0021792115677321,0.0009954563673262,0.0031746679350583,0.0069156527824657,wordCounts,20,False,False,True,False,49.18573441948664,-0.0,2.147159110512716,-7.366666973883064
