,memory,threads,read_file runtime,total sum column runtime,total count distinct runtime,total aggregate runtime,avg sum column runtime,avg count distinct runtime,avg aggregate runtime,rounds,start,end,total_runtime,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,Max Memory Usage (GiB),CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied
0,1,8,4.4231,547.4798000000001,359.0668,1282.1653,182.4932666666667,179.5334,213.69421666666668,3,1730121492.2440836,1730123037.8310432,2188.7119,392524.39963194367,48689.30577429644,392524.39963194367,48689.30577429644,392524.39963194367,48689.30577429644,179.34036893203884,22.245644012944982,17509.6952,2188.7119,2.104,1.81891991163538e-05,1.2463145624577203e-05,3.271036663599531,0.4057442147858037,3.676780878385335,0.3184873324594643,0.027278235139945,0.3457655675994093,4.022546445984744,spark,30,False,False,False,False
1,1,16,4.5321,326.8419,218.3177,805.2934,108.9473,109.15885,134.21556666666666,3,1730085079.872407,1730086022.864401,1350.453,304790.2392207105,33492.580556755034,304790.2392207105,33492.580556755034,304790.2392207105,33492.580556755034,225.69481442205725,24.80099681866384,21607.248,1350.453,1.922,1.81891991163538e-05,1.2463145624577203e-05,2.5399186601725874,0.2791048379729586,2.819023498145546,0.3930185362284373,0.0168308923981471,0.4098494286265845,3.2288729267721306,spark,30,False,False,False,False
2,1,24,4.4646,268.20680000000004,177.6353,676.9711,89.40226666666668,88.81765,112.82851666666666,3,1730064914.2091317,1730065694.8552144,1122.8132,271385.8912822792,28971.06771343918,271385.8912822792,28971.06771343918,271385.8912822792,28971.06771343918,241.701728553137,25.802215108834822,26947.5168,1122.8132,2.243,1.81891991163538e-05,1.2463145624577203e-05,2.261549094018993,0.2414255642786598,2.5029746582976533,0.4901537487664891,0.0139937844207975,0.5041475331872867,3.00712219148494,spark,30,False,False,False,False
3,1,32,4.6789,256.2636,169.61739999999998,649.1659,85.4212,84.80869999999999,108.19431666666668,3,1730049691.379261,1730050438.2000673,1075.0468999999998,254777.07742244707,28169.03512732932,254777.07742244707,28169.03512732932,254777.07742244707,28169.03512732932,236.99159303882195,26.202610441767067,34401.500799999994,1075.0468999999998,2.281,1.81891991163538e-05,1.2463145624577203e-05,2.1231423118537256,0.234741959394411,2.3578842712481367,0.6257357479526043,0.0133984660679502,0.6391342140205546,2.997018485268691,spark,30,False,False,False,False
4,1,48,4.6405,270.165,180.2106,714.3906,90.055,90.1053,119.0651,3,1730036379.051731,1730037186.051193,1164.7662,235410.4781166989,29851.16797850557,235410.4781166989,29851.16797850557,235410.4781166989,29851.16797850557,202.10964064436183,25.62846344485749,55908.7776,1164.7662,2.234,1.81891991163538e-05,1.2463145624577203e-05,1.9617539843058245,0.2487597331542131,2.2105137174600373,1.016935888118341,0.0145166507691854,1.0314525388875264,3.241966256347564,spark,30,False,False,False,False
5,1,64,4.9673,295.0775,198.5035,872.429,98.35916666666668,99.25175,145.40483333333333,3,1730024584.4778893,1730025502.0058415,1366.01,256867.0081172301,33849.83207557252,256867.0081172301,33849.83207557252,256867.0081172301,33849.83207557252,188.0418211559433,24.780076335877865,87424.64,1366.01,2.613,1.81891991163538e-05,1.2463145624577203e-05,2.140558400976918,0.2820819339631044,2.4226403349400223,1.590184184635549,0.0170247815546287,1.6072089661901776,4.0298493011302,spark,30,False,False,False,False
6,2,8,4.3974,504.2692,326.4726,1143.5709,168.08973333333333,163.2363,190.59515,3,1730118526.9977224,1730119930.02197,1974.3127,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,184.8237731811697,22.78363766048502,15794.5016,3948.6254,3.252,1.81891991163538e-05,1.2463145624577203e-05,3.04083268877919,0.3748502098774488,3.4156828986566388,0.2872893345459686,0.0492122933771044,0.3365016279230731,3.752184526579712,spark,30,False,False,False,True
7,2,16,4.5888,293.348,192.2397,690.7388,97.78266666666669,96.11985,115.12313333333331,3,1730083277.4686651,1730084106.3832283,1176.3265,284221.01490235823,30482.819767521105,284221.01490235823,30482.819767521105,284221.01490235823,30482.819767521105,241.6174547647768,25.913570566948128,18821.224,2352.653,3.33,1.81891991163538e-05,1.2463145624577203e-05,2.368508457519652,0.2540234980626759,2.6225319555823283,0.3423429909494969,0.0293214569430984,0.3716644478925953,2.994196403474924,spark,30,False,False,False,False
8,2,24,4.7064,220.0799,144.0946,523.461,73.35996666666666,72.0473,87.2435,3,1730063479.9237907,1730064106.4263327,887.6355,250400.34651040667,24805.34920444976,250400.34651040667,24805.34920444976,250400.34651040667,24805.34920444976,282.09816586921846,27.94542264752791,21303.252,1775.271,3.331,1.81891991163538e-05,1.2463145624577203e-05,2.086669554253389,0.2067112433704147,2.293380797623804,0.3874890924538623,0.0221254609960887,0.4096145534499511,2.702995351073755,spark,30,False,False,False,False
9,2,32,4.768,198.8197,130.8973,479.4583,66.27323333333334,65.44865,79.90971666666667,3,1730048350.104839,1730048919.7689073,809.1753,229901.39303026185,23397.325131010548,229901.39303026185,23397.325131010548,229901.39303026185,23397.325131010548,284.1181546572935,28.915026362038667,25893.6096,1618.3506,3.311,1.81891991163538e-05,1.2463145624577203e-05,1.9158449419188488,0.1949777094250879,2.1108226513439368,0.4709840208555302,0.0201697391994218,0.4911537600549521,2.601976411398889,spark,30,False,False,False,False
10,2,48,4.4187,182.5429,119.3357,448.1855,60.84763333333333,59.66785,74.69758333333333,3,1730035025.3671515,1730035551.751394,750.0641,197881.31308795448,22120.71395152941,197881.31308795448,22120.71395152941,197881.31308795448,22120.71395152941,263.8192030360531,29.49176470588236,36003.0768,1500.1282,3.237,1.81891991163538e-05,1.2463145624577203e-05,1.6490109423996206,0.1843392829294117,1.8333502253290324,0.6548671327165779,0.0186963162121348,0.6735634489287128,2.506913674257745,spark,30,False,False,False,False
11,2,64,4.7101,180.5094,119.0697,444.8257,60.1698,59.53485,74.13761666666666,3,1730023108.1182818,1730023630.327042,744.4048,195461.4628923525,22314.860118436784,195461.4628923525,22314.860118436784,195461.4628923525,22314.860118436784,262.5741570881226,29.97678160919541,47641.9072,1488.8096,3.668,1.81891991163538e-05,1.2463145624577203e-05,1.6288455241029374,0.1859571676536398,1.8148026917565767,0.8665681363436497,0.0185552508520685,0.8851233871957183,2.6999260789522954,spark,30,False,False,False,False
12,2,80,4.6305,187.3297,122.5162,469.8853,62.44323333333333,61.2581,78.31421666666667,3,1730012394.012101,1730012937.324853,779.7312000000001,196825.3928624089,23192.551695911603,196825.3928624089,23192.551695911603,196825.3928624089,23192.551695911603,252.4272375690608,29.74429097605893,62378.49600000001,1559.4624,3.685,1.81891991163538e-05,1.2463145624577203e-05,1.6402116071867407,0.1932712641325967,1.8334828713193372,1.134614884322679,0.0194358069872526,1.1540506913099318,2.9875335626292694,spark,30,False,False,False,False
13,2,92,4.7916,197.1014,127.8493,491.0029,65.70046666666667,63.92465,81.83381666666666,3,1730001516.1087856,1730002085.8808925,815.9535999999999,199780.2839302176,23883.634675845617,199780.2839302176,23883.634675845617,199780.2839302176,23883.634675845617,244.842701754386,29.270824561403515,75067.7312,1631.9072,3.834,1.81891991163538e-05,1.2463145624577203e-05,1.6648356994184803,0.1990302889653801,1.8638659883838604,1.3654219100097242,0.020338697079396,1.3857606070891202,3.2496265954729804,spark,30,False,False,False,False
14,3,8,4.7159,506.8887,331.0051,1161.5472,168.9629,165.50255,193.5912,3,1730115696.3470454,1730117114.5286047,1999.441,374548.7117295346,45724.40968439351,374548.7117295346,45724.40968439351,374548.7117295346,45724.40968439351,187.3267136812412,22.86859661495064,15995.528,5998.323,4.062,1.81891991163538e-05,1.2463145624577203e-05,3.1212392644127886,0.3810367473699459,3.5022760117827345,0.2909458437632124,0.0747579730522508,0.3657038168154632,3.8679798285981977,spark,30,False,False,False,False
15,3,16,4.4121,275.1517,181.4391,643.5431000000001,91.71723333333334,90.71955,107.25718333333334,3,1730081655.7972536,1730082433.6636393,1100.1339,277922.16077927506,29063.034762674808,277922.16077927506,29063.034762674808,277922.16077927506,29063.034762674808,252.6257583547558,26.417724935732647,17602.1424,3300.4017000000003,4.218,1.81891991163538e-05,1.2463145624577203e-05,2.316018006493959,0.2421919563556234,2.558209962849582,0.3201688729880137,0.0411333870067021,0.3613022599947159,2.919512222844298,spark,30,False,False,False,False
16,3,24,4.7919,200.72860000000003,133.16809999999998,476.3914,66.90953333333334,66.58404999999999,79.39856666666667,3,1730062274.914371,1730062845.1179583,810.2881,242554.312383172,23529.600746382457,242554.312383172,23529.600746382457,242554.312383172,23529.600746382457,299.34329824561405,29.038561403508773,19446.9144,2430.8643,4.344,1.81891991163538e-05,1.2463145624577203e-05,2.021285936526433,0.1960800062198538,2.2173659427462877,0.353723798220288,0.0302962157644859,0.3840200139847739,2.601385956731061,spark,30,False,False,False,False
17,3,32,4.4487,175.728,115.1104,420.2894,58.576,57.5552,70.04823333333333,3,1730047269.931237,1730047770.1052375,711.1278,218362.998364128,21628.326244536,218362.998364128,21628.326244536,218362.998364128,21628.326244536,307.06576,30.41412,22756.0896,2133.3834,4.292,1.81891991163538e-05,1.2463145624577203e-05,1.8196916530344,0.1802360520378,1.9999277050722,0.4139150448439878,0.0265886679872556,0.4405037128312434,2.440431417903444,spark,30,False,False,False,False
18,3,48,4.5059,159.6703,103.5968,383.4788,53.22343333333333,51.7984,63.91313333333333,3,1730034023.5742412,1730034478.7436802,646.7459,189341.81296665053,20340.684480237363,189341.81296665053,20340.684480237363,189341.81296665053,20340.684480237363,292.7607472527472,31.45081318681319,31043.8032,1940.2377,4.637,1.81891991163538e-05,1.2463145624577203e-05,1.5778484413887544,0.169505704001978,1.7473541453907324,0.5646619177337012,0.0241814650013947,0.588843382735096,2.3361975281258283,spark,30,False,False,False,False
19,3,64,4.831,155.50979999999998,100.049,374.6515,51.8366,50.0245,62.44191666666666,3,1730022133.6960714,1730022575.7861428,630.2103,182112.48349151813,20138.313103893663,182112.48349151813,20138.313103893663,182112.48349151813,20138.313103893663,288.9709728506788,31.95490950226244,40333.4592,1890.6309,4.665,1.81891991163538e-05,1.2463145624577203e-05,1.5176040290959845,0.1678192758657805,1.685423304961765,0.733633320440132,0.0235632082290254,0.7571965286691574,2.4426198336309226,spark,30,False,False,False,False
20,3,80,4.8647,157.7682,102.9221,383.6312,52.589400000000005,51.46105,63.93853333333334,3,1730011385.5758078,1730011837.6674955,644.3215,182171.71187118365,20445.00543022124,182171.71187118365,20445.00543022124,182171.71187118365,20445.00543022124,282.73418141592924,31.731061946902653,51545.72,1932.9645,4.8,1.81891991163538e-05,1.2463145624577203e-05,1.5180975989265304,0.1703750452518437,1.6884726441783742,0.9375753646758204,0.024090818050638,0.9616661827264584,2.6501388269048327,spark,30,False,False,False,False
21,3,92,5.0882,169.0078,106.1737,406.4957,56.33593333333334,53.08685,67.74928333333334,3,1730000452.689611,1730000928.614044,681.6772000000001,187914.9463245883,21476.225865050423,187914.9463245883,21476.225865050423,187914.9463245883,21476.225865050423,275.66558823529414,31.50497899159664,62714.30240000001,2045.0316000000005,4.858,1.81891991163538e-05,1.2463145624577203e-05,1.565957886038236,0.1789685488754201,1.7449264349136562,1.140722933796825,0.0254875266376621,1.1662104604344872,2.911136895348143,spark,30,False,False,False,False
22,4,8,4.4428,496.0052,323.8781,1127.5406,165.33506666666668,161.93905,187.9234333333333,3,1730112883.6795137,1730114267.9166503,1947.4239,367923.74402391975,44889.07772177168,367923.74402391975,44889.07772177168,367923.74402391975,44889.07772177168,188.92843208092484,23.05049132947977,15579.3912,7789.6956,5.05,1.81891991163538e-05,1.2463145624577203e-05,3.0660312001993315,0.3740756476814307,3.440106847880762,0.2833766486483701,0.0970841106339283,0.3804607592822984,3.8205676071630608,spark,30,False,False,False,False
23,4,16,4.5484,271.8129,179.4428,633.2885000000001,90.6043,89.7214,105.54808333333337,3,1730080097.149958,1730080861.422136,1084.5442000000005,279244.8207367986,28882.00826139792,279244.8207367986,28882.00826139792,279244.8207367986,28882.00826139792,257.4766623036649,26.63054973821989,17352.707200000008,4338.176800000002,5.073,1.81891991163538e-05,1.2463145624577203e-05,2.327040172806655,0.240683402178316,2.567723574984971,0.3156318464685863,0.0540673292035623,0.3696991756721487,2.93742275065712,spark,30,False,False,False,False
24,4,24,4.701,201.4426,130.8831,469.1662,67.14753333333333,65.44155,78.19436666666667,3,1730061121.4636147,1730061685.533981,801.4919,247316.8387518759,23477.50252885993,247316.8387518759,23477.50252885993,247316.8387518759,23477.50252885993,308.57060283687946,29.29225177304965,19235.8056,3205.9676,5.453,1.81891991163538e-05,1.2463145624577203e-05,2.0609736562656327,0.1956458544071661,2.256619510672799,0.3498838982218734,0.0399564410664762,0.3898403392883497,2.6464598499611487,spark,30,False,False,False,False
25,4,32,4.7723,168.6036,109.3313,395.8566,56.2012,54.66565,65.9761,3,1730046285.4014971,1730046759.964827,673.7915,213609.04880272155,20940.913864609705,213609.04880272155,20940.913864609705,213609.04880272155,20940.913864609705,317.0254430379747,31.0792194092827,21561.328,2695.166,5.392,1.81891991163538e-05,1.2463145624577203e-05,1.7800754066893465,0.1745076155384142,1.9545830222277605,0.3921832882050144,0.0335902463404092,0.4257735345454236,2.380356556773184,spark,30,False,False,False,False
26,4,48,4.6998,149.1913,96.3835,355.5984,49.73043333333334,48.19175,59.2664,3,1730033137.0903263,1730033557.4487686,601.1732,185733.29033156188,19443.45853464762,185733.29033156188,19443.45853464762,185733.29033156188,19443.45853464762,308.95138095238093,32.34252380952381,28856.3136,2404.6928,5.281,1.81891991163538e-05,1.2463145624577203e-05,1.5477774194296825,0.1620288211220635,1.7098062405517458,0.5248732338343481,0.0299700365487723,0.5548432703831204,2.2646495109348663,spark,30,False,False,False,False
