,memory,threads,read_file runtime,total sum column runtime,total count distinct runtime,total aggregate runtime,avg sum column runtime,avg count distinct runtime,avg aggregate runtime,rounds,start,end,total_runtime,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,Max Memory Usage (GiB),CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
66,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49,1.81891991163538e-05,1.2463145624577203e-05,1.3135772100979826,0.1459057529729106,1.4594829630708932,0.4277289412480974,0.1465388346270928,0.5742677758751903,2.0337507389460834,spark,30,True,False,False,False,8.70981367455384,8.70981367455384,45.79822168820838,-0.0
175,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49,1.81891991163538e-05,1.2463145624577203e-05,3.940731630293948,0.437717258918732,4.37844888921268,0.4277289412480974,0.1465388346270928,0.5742677758751903,4.952716665087871,spark,90,True,False,False,False,-122.31555643211031,-122.31555643211031,-31.995551658076334,-143.52623801156844
284,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49,1.81891991163538e-05,1.2463145624577203e-05,6.567886050489913,0.7295287648645533,7.297414815354466,0.4277289412480974,0.1465388346270928,0.5742677758751903,7.871682591229657,spark,150,True,False,False,False,-253.3409265387744,-253.3409265387744,-109.78932500436103,-287.0524760231368
393,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49,1.81891991163538e-05,1.2463145624577203e-05,9.195040470685878,1.0213402708103747,10.216380741496254,0.4277289412480974,0.1465388346270928,0.5742677758751903,10.790648517371444,spark,210,True,False,False,False,-384.3662966454386,-384.3662966454386,-187.58309835064574,-430.5787140347053
502,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49,1.81891991163538e-05,1.2463145624577203e-05,11.822194890881844,1.313151776756196,13.13534666763804,0.4277289412480974,0.1465388346270928,0.5742677758751903,13.70961444351323,spark,270,True,False,False,False,-515.3916667521027,-515.3916667521027,-265.3768716969304,-574.1049520462735
611,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49,1.81891991163538e-05,1.2463145624577203e-05,14.449349311077809,1.6049632827020175,16.054312593779827,0.4277289412480974,0.1465388346270928,0.5742677758751903,16.628580369655015,spark,330,True,False,False,False,-646.4170368587668,-646.4170368587668,-343.1706450432151,-717.631190057842
720,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49,1.81891991163538e-05,1.2463145624577203e-05,17.076503731273775,1.8967747886478388,18.97327851992161,0.4277289412480974,0.1465388346270928,0.5742677758751903,19.547546295796803,spark,390,True,False,False,False,-777.4424069654309,-777.4424069654309,-420.96441838949977,-861.1574280694103
829,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49,1.81891991163538e-05,1.2463145624577203e-05,19.70365815146974,2.18858629459366,21.8922444460634,0.4277289412480974,0.1465388346270928,0.5742677758751903,22.466512221938583,spark,450,True,False,False,False,-908.4677770720946,-908.4677770720946,-498.75819173578435,-1004.6836660809785
938,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49,1.81891991163538e-05,1.2463145624577203e-05,22.330812571665707,2.480397800539482,24.81121037220519,0.4277289412480974,0.1465388346270928,0.5742677758751903,25.385478148080377,spark,510,True,False,False,False,-1039.4931471787593,-1039.4931471787593,-576.5519650820693,-1148.2099040925473
1047,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49,1.81891991163538e-05,1.2463145624577203e-05,26.271544201959653,2.9181150594582133,29.189659261417862,0.4277289412480974,0.1465388346270928,0.5742677758751903,29.76392703729305,spark,600,True,False,False,False,-1236.031202338755,-1236.031202338755,-693.2426251014962,-1363.4992611098996
