,memory,threads,read_file runtime,total sum column runtime,total count distinct runtime,total aggregate runtime,avg sum column runtime,avg count distinct runtime,avg aggregate runtime,rounds,start,end,total_runtime,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,Max Memory Usage (GiB)
0,1,8,4.4231,547.4798000000001,359.0668,1282.1653,182.4932666666667,179.5334,213.69421666666668,3,1730121492.2440836,1730123037.8310432,2188.7119,392524.39963194367,48689.30577429644,392524.39963194367,48689.30577429644,392524.39963194367,48689.30577429644,179.34036893203884,22.245644012944982,17509.6952,2188.7119,2.104
1,1,16,4.5321,326.8419,218.3177,805.2934,108.9473,109.15885,134.21556666666666,3,1730085079.872407,1730086022.864401,1350.453,304790.2392207105,33492.580556755034,304790.2392207105,33492.580556755034,304790.2392207105,33492.580556755034,225.69481442205725,24.80099681866384,21607.248,1350.453,1.922
2,1,24,4.4646,268.20680000000004,177.6353,676.9711,89.40226666666668,88.81765,112.82851666666666,3,1730064914.2091317,1730065694.8552144,1122.8132,271385.8912822792,28971.06771343918,271385.8912822792,28971.06771343918,271385.8912822792,28971.06771343918,241.701728553137,25.802215108834822,26947.5168,1122.8132,2.243
3,1,32,4.6789,256.2636,169.61739999999998,649.1659,85.4212,84.80869999999999,108.19431666666668,3,1730049691.379261,1730050438.2000673,1075.0468999999998,254777.07742244707,28169.035127329316,254777.07742244707,28169.035127329316,254777.07742244707,28169.035127329316,236.99159303882195,26.202610441767067,34401.500799999994,1075.0468999999998,2.281
4,1,48,4.6405,270.165,180.2106,714.3906,90.055,90.1053,119.0651,3,1730036379.051731,1730037186.051193,1164.7662,235410.4781166989,29851.16797850557,235410.4781166989,29851.16797850557,235410.4781166989,29851.16797850557,202.10964064436183,25.62846344485749,55908.7776,1164.7662,2.234
5,1,64,4.9673,295.0775,198.5035,872.429,98.35916666666668,99.25175,145.40483333333333,3,1730024584.4778893,1730025502.0058415,1366.01,256867.0081172301,33849.83207557252,256867.0081172301,33849.83207557252,256867.0081172301,33849.83207557252,188.0418211559433,24.780076335877865,87424.64,1366.01,2.613
6,2,8,4.3974,504.2692,326.4726,1143.5709,168.08973333333333,163.2363,190.59515,3,1730118526.9977224,1730119930.02197,1974.3127,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,184.8237731811697,22.78363766048502,15794.5016,3948.6254,3.252
7,2,16,4.5888,293.348,192.2397,690.7388,97.78266666666669,96.11985,115.12313333333331,3,1730083277.4686651,1730084106.3832283,1176.3265,284221.01490235823,30482.819767521105,284221.01490235823,30482.819767521105,284221.01490235823,30482.819767521105,241.6174547647768,25.913570566948128,18821.224,2352.653,3.33
8,2,24,4.7064,220.0799,144.0946,523.461,73.35996666666666,72.0473,87.2435,3,1730063479.9237907,1730064106.4263327,887.6355,250400.34651040667,24805.34920444976,250400.34651040667,24805.34920444976,250400.34651040667,24805.34920444976,282.09816586921846,27.94542264752791,21303.252,1775.271,3.331
9,2,32,4.768,198.8197,130.8973,479.4583,66.27323333333334,65.44865,79.90971666666667,3,1730048350.104839,1730048919.7689073,809.1753,229901.39303026185,23397.325131010548,229901.39303026185,23397.325131010548,229901.39303026185,23397.325131010548,284.1181546572935,28.915026362038667,25893.6096,1618.3506,3.311
10,2,48,4.4187,182.5429,119.3357,448.1855,60.84763333333333,59.66785,74.69758333333333,3,1730035025.3671515,1730035551.751394,750.0641,197881.31308795448,22120.71395152941,197881.31308795448,22120.71395152941,197881.31308795448,22120.71395152941,263.8192030360531,29.491764705882357,36003.0768,1500.1282,3.237
11,2,64,4.7101,180.5094,119.0697,444.8257,60.1698,59.53485,74.13761666666666,3,1730023108.1182818,1730023630.327042,744.4048,195461.4628923525,22314.860118436784,195461.4628923525,22314.860118436784,195461.4628923525,22314.860118436784,262.5741570881226,29.97678160919541,47641.9072,1488.8096,3.668
12,2,80,4.6305,187.3297,122.5162,469.8853,62.44323333333333,61.2581,78.31421666666667,3,1730012394.012101,1730012937.324853,779.7312000000001,196825.3928624089,23192.551695911603,196825.3928624089,23192.551695911603,196825.3928624089,23192.551695911603,252.4272375690608,29.74429097605893,62378.49600000001,1559.4624,3.685
13,2,92,4.7916,197.1014,127.8493,491.0029,65.70046666666667,63.92465,81.83381666666666,3,1730001516.1087856,1730002085.8808925,815.9535999999999,199780.28393021756,23883.634675845617,199780.28393021756,23883.634675845617,199780.28393021756,23883.634675845617,244.842701754386,29.270824561403515,75067.7312,1631.9072,3.834
14,3,8,4.7159,506.8887,331.0051,1161.5472,168.9629,165.50255,193.5912,3,1730115696.3470454,1730117114.5286047,1999.441,374548.7117295346,45724.40968439351,374548.7117295346,45724.40968439351,374548.7117295346,45724.40968439351,187.3267136812412,22.868596614950636,15995.528,5998.323,4.062
15,3,16,4.4121,275.1517,181.4391,643.5431000000001,91.71723333333334,90.71955,107.25718333333334,3,1730081655.7972536,1730082433.6636393,1100.1339,277922.16077927506,29063.034762674808,277922.16077927506,29063.034762674808,277922.16077927506,29063.034762674808,252.6257583547558,26.417724935732647,17602.1424,3300.4017000000003,4.218
16,3,24,4.7919,200.72860000000003,133.16809999999998,476.3914,66.90953333333334,66.58404999999999,79.39856666666667,3,1730062274.914371,1730062845.1179583,810.2881,242554.31238317196,23529.600746382457,242554.31238317196,23529.600746382457,242554.31238317196,23529.600746382457,299.34329824561405,29.038561403508773,19446.9144,2430.8643,4.344
17,3,32,4.4487,175.728,115.1104,420.2894,58.576,57.5552,70.04823333333333,3,1730047269.931237,1730047770.1052375,711.1278,218362.998364128,21628.326244536,218362.998364128,21628.326244536,218362.998364128,21628.326244536,307.06576,30.41412,22756.0896,2133.3834,4.292
18,3,48,4.5059,159.6703,103.5968,383.4788,53.22343333333333,51.7984,63.91313333333333,3,1730034023.5742412,1730034478.7436802,646.7459,189341.81296665053,20340.684480237363,189341.81296665053,20340.684480237363,189341.81296665053,20340.684480237363,292.7607472527472,31.45081318681319,31043.8032,1940.2377,4.637
19,3,64,4.831,155.50979999999998,100.049,374.6515,51.8366,50.0245,62.44191666666666,3,1730022133.6960714,1730022575.7861428,630.2103,182112.48349151813,20138.313103893663,182112.48349151813,20138.313103893663,182112.48349151813,20138.313103893663,288.9709728506788,31.95490950226244,40333.4592,1890.6309,4.665
20,3,80,4.8647,157.7682,102.9221,383.6312,52.589400000000005,51.46105,63.93853333333334,3,1730011385.5758078,1730011837.6674955,644.3215,182171.71187118365,20445.00543022124,182171.71187118365,20445.00543022124,182171.71187118365,20445.00543022124,282.73418141592924,31.731061946902653,51545.72,1932.9645,4.8
21,3,92,5.0882,169.0078,106.1737,406.4957,56.33593333333334,53.08685,67.74928333333334,3,1730000452.689611,1730000928.614044,681.6772000000001,187914.9463245883,21476.225865050423,187914.9463245883,21476.225865050423,187914.9463245883,21476.225865050423,275.66558823529414,31.50497899159664,62714.30240000001,2045.0316000000005,4.858
22,4,8,4.4428,496.0052,323.8781,1127.5406,165.33506666666668,161.93905,187.9234333333333,3,1730112883.6795137,1730114267.9166503,1947.4239,367923.74402391975,44889.07772177168,367923.74402391975,44889.07772177168,367923.74402391975,44889.07772177168,188.92843208092484,23.05049132947977,15579.3912,7789.6956,5.05
23,4,16,4.5484,271.8129,179.4428,633.2885000000001,90.6043,89.7214,105.54808333333337,3,1730080097.149958,1730080861.422136,1084.5442000000005,279244.8207367986,28882.00826139792,279244.8207367986,28882.00826139792,279244.8207367986,28882.00826139792,257.4766623036649,26.63054973821989,17352.707200000008,4338.176800000002,5.073
24,4,24,4.701,201.4426,130.8831,469.1662,67.14753333333333,65.44155,78.19436666666667,3,1730061121.4636147,1730061685.533981,801.4919,247316.8387518759,23477.50252885993,247316.8387518759,23477.50252885993,247316.8387518759,23477.50252885993,308.57060283687946,29.29225177304965,19235.8056,3205.9676,5.453
25,4,32,4.7723,168.6036,109.3313,395.8566,56.2012,54.66565,65.9761,3,1730046285.4014971,1730046759.964827,673.7915,213609.04880272155,20940.913864609705,213609.04880272155,20940.913864609705,213609.04880272155,20940.913864609705,317.0254430379747,31.0792194092827,21561.328,2695.166,5.392
26,4,48,4.6998,149.1913,96.3835,355.5984,49.73043333333334,48.19175,59.2664,3,1730033137.0903263,1730033557.4487686,601.1732,185733.29033156188,19443.45853464762,185733.29033156188,19443.45853464762,185733.29033156188,19443.45853464762,308.95138095238093,32.34252380952381,28856.3136,2404.6928,5.281
