,Grid CI (gCO2eq/kWh),Grid CI (gCO2eq/J),cpu CI (gCO2eq/core-second),mem CI (gCO2eq/GB-second),Min CF Config,Min Runtime Config,Min Energy Config,Min Embodied CF Config,Min CF CF (gCO2eq),Min Runtime CF (gCO2eq),Min Energy CF (gCO2eq),Min Embodied CF (gCO2eq),Min CF Embodied CF (gCO2eq),Min Runtime Embodied CF (gCO2eq),Min Energy Embodied CF (gCO2eq),Min Embodied Embodied CF (gCO2eq),Min CF Operational CF (gCO2eq),Min Runtime Operational CF (gCO2eq),Min Energy Operational CF (gCO2eq),Min Embodied Operational CF (gCO2eq)
0,0,0.0,1.8189199116353798e-05,1.2463145624577203e-05,"[2.0, 8.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",0.3365016279230731,0.8759812366937787,0.8759812366937787,0.3365016279230731,0.3365016279230731,0.8759812366937787,0.8759812366937787,0.3365016279230731,0.0,0.0,0.0,0.0
1,10,2.777777777777778e-06,1.8189199116353798e-05,1.2463145624577203e-05,"[8.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",1.0192563800874324,1.3265830978083952,1.3265830978083952,1.4750625941419526,0.5048444988940219,0.8759812366937787,0.8759812366937787,0.3365016279230731,0.5144118811934104,0.45060186111461664,0.45060186111461664,1.1385609662188796
2,20,5.555555555555556e-06,1.8189199116353798e-05,1.2463145624577203e-05,"[8.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",1.5336682612808428,1.7771849589230118,1.7771849589230118,2.613623560360832,0.5048444988940219,0.8759812366937787,0.8759812366937787,0.3365016279230731,1.0288237623868208,0.9012037222292333,0.9012037222292333,2.277121932437759
3,30,8.333333333333334e-06,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",2.033750738946084,2.2277868200376285,2.2277868200376285,3.7521845265797116,0.5742677758751903,0.8759812366937787,0.8759812366937787,0.3365016279230731,1.4594829630708934,1.35180558334385,1.35180558334385,3.4156828986566388
4,40,1.1111111111111112e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",2.493113135266948,2.6783886811522453,2.6783886811522453,4.890745492798592,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,1.8273228415129512,1.8024074444584666,1.8024074444584666,4.554243864875518
5,50,1.388888888888889e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",2.949943845645186,3.128990542266862,3.128990542266862,6.029306459017472,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,2.284153551891189,2.2530093055730833,2.2530093055730833,5.692804831094398
6,60,1.6666666666666667e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",3.406774556023424,3.5795924033814788,3.5795924033814788,7.167867425236351,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,2.740984262269427,2.7036111666877,2.7036111666877,6.8313657973132775
7,70,1.9444444444444445e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",3.8636052664016614,4.030194264496095,4.030194264496095,8.306428391455231,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,3.197814972647665,3.1542130278023164,3.1542130278023164,7.969926763532158
8,80,2.2222222222222223e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",4.320435976779899,4.480796125610712,4.480796125610712,9.44498935767411,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,3.6546456830259024,3.604814888916933,3.604814888916933,9.108487729751037
9,90,2.5e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",4.777266687158137,4.931397986725329,4.931397986725329,10.583550323892991,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,4.11147639340414,4.05541675003155,4.05541675003155,10.247048695969918
